LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.581810375, 58, 17, 59, 184, 15
Language_1, 0.274637, 42, 15, 56, 105, 12
Language_2, 0.001891417, 6, 3, 6, 4, 4
Language_3, 0.322937083, 47, 15, 53, 98, 15
Language_4, 0.04228575, 28, 12, 31, 37, 12
Language_5, 0.031286167, 32, 13, 46, 23, 9
Language_6, 0.055245, 25, 11, 35, 52, 9
Language_7, 0.001442667, 6, 4, 8, 4, 4
Language_8, 0.0099175, 22, 9, 26, 11, 9
Language_9, 0.013589417, 22, 10, 23, 17, 9
Language_10, 0.141227625, 29, 15, 48, 50, 12
Language_11, 0.022005167, 21, 9, 25, 43, 9
Language_12, 0.151144625, 35, 17, 48, 66, 6
Language_13, 0.000605209, 3, 0, 4, 2, 3
Language_14, 0.028782416, 28, 11, 34, 41, 9
Language_15, 0.145203708, 36, 13, 47, 92, 12
Language_16, 0.013973334, 25, 11, 35, 14, 6
Language_17, 0.000418833, 3, 0, 2, 1, 1
Language_18, 0.014256208, 22, 9, 22, 24, 9
Language_19, 0.072568417, 25, 12, 36, 85, 6
Language_20, 0.000586458, 4, 3, 4, 4, 3
Language_21, 0.012061792, 22, 9, 24, 12, 9
Language_22, 0.186559542, 26, 20, 51, 81, 6
Language_23, 0.001406, 6, 3, 7, 7, 4
Language_24, 0.015518458, 22, 10, 25, 22, 9
Language_25, 0.013339958, 14, 9, 23, 18, 6
Language_26, 0.045291333, 25, 11, 34, 47, 9
Language_27, 0.000351084, 3, 0, 3, 2, 3
Language_28, 0.488941458, 60, 24, 65, 148, 15
Language_29, 0.053412333, 21, 9, 28, 71, 9
Language_30, 0.01238875, 19, 9, 28, 19, 6
Language_31, 0.010025917, 23, 10, 23, 18, 9
Language_32, 0.024470333, 23, 10, 34, 30, 9
Language_33, 0.0314185, 29, 12, 31, 39, 12
Language_34, 0.004922292, 13, 8, 17, 14, 6
Language_35, 0.000571042, 7, 3, 7, 3, 4
Language_36, 0.004789458, 22, 9, 22, 7, 9
Language_37, 0.000537333, 6, 3, 6, 3, 4
Language_38, 0.0002585, 4, 2, 3, 3, 3
Language_39, 0.0106045, 22, 9, 22, 21, 9
Language_40, 0.024622208, 22, 9, 30, 47, 9
Language_41, 0.030194459, 24, 13, 35, 36, 6
Language_42, 0.004092083, 13, 7, 17, 12, 6
Language_43, 0.000722, 4, 2, 4, 4, 3
Language_44, 0.000836125, 6, 4, 8, 4, 4
Language_45, 0.005267708, 13, 7, 17, 6, 6
Language_46, 0.013469833, 22, 9, 22, 17, 9
Language_47, 0.095013, 29, 11, 36, 43, 12
Language_48, 0.0864855, 29, 15, 48, 73, 12
Language_49, 0.006677416, 14, 7, 17, 17, 6
Language_50, 0.024418833, 22, 9, 29, 19, 9
Language_51, 0.000487, 4, 2, 4, 4, 3
Language_52, 0.001173666, 8, 3, 8, 8, 4
Language_53, 0.655394292, 66, 20, 78, 256, 15
Language_54, 0.000466875, 4, 3, 4, 4, 3
Language_55, 0.007460958, 13, 8, 19, 16, 6
Language_56, 0.000461125, 4, 2, 4, 2, 3
Language_57, 0.0105475, 15, 7, 22, 19, 6
Language_58, 0.000961208, 7, 4, 7, 6, 4
Language_59, 0.025390667, 30, 11, 39, 22, 8
Language_60, 0.039664833, 21, 10, 26, 60, 9
Language_61, 0.013793208, 21, 9, 27, 21, 9
Language_62, 0.000583541, 4, 3, 5, 3, 3
Language_63, 0.000320375, 3, 1, 3, 4, 3
Language_64, 0.539938917, 47, 15, 58, 188, 12
Language_65, 0.000628917, 6, 3, 6, 3, 4
Language_66, 0.000263917, 4, 2, 3, 4, 3
Language_67, 0.006040375, 22, 10, 25, 12, 9
Language_68, 0.409808583, 59, 17, 66, 106, 15
Language_69, 0.205025333, 47, 17, 61, 93, 15
Language_70, 0.000488292, 4, 2, 4, 4, 3
Language_71, 0.000278875, 4, 2, 4, 3, 3
Language_72, 0.0056725, 22, 9, 22, 8, 6
Language_73, 0.000323042, 4, 2, 3, 4, 3
Language_74, 0.009376208, 22, 9, 22, 21, 9
Language_75, 0.000519625, 4, 2, 4, 2, 2
Language_76, 0.233858333, 49, 15, 58, 97, 15
Language_77, 0.199888084, 29, 12, 38, 122, 12
Language_78, 0.000806083, 7, 3, 7, 3, 4
Language_79, 0.000253417, 3, 1, 3, 4, 3
Language_80, 0.019861042, 21, 9, 25, 50, 9
Language_81, 0.000932166, 7, 4, 7, 6, 4
Language_82, 0.000850292, 7, 3, 8, 8, 4
Language_83, 0.000442583, 7, 4, 5, 5, 4
Language_84, 0.017433875, 20, 9, 26, 37, 9
Language_85, 0.047939334, 22, 13, 28, 71, 9
Language_86, 0.003798542, 13, 7, 14, 13, 6
Language_87, 0.014494167, 22, 10, 23, 22, 9
Language_88, 0.007058333, 14, 8, 16, 15, 6
Language_89, 0.135269084, 34, 20, 65, 55, 12
Language_90, 0.026713708, 22, 10, 30, 35, 9
Language_91, 0.01001075, 13, 7, 17, 22, 6
Language_92, 0.030961, 14, 9, 26, 56, 6
Language_93, 0.001333375, 6, 3, 6, 10, 5
Language_94, 0.016296917, 23, 9, 24, 25, 9
Language_95, 0.000666834, 7, 4, 6, 4, 4
Language_96, 0.085889667, 35, 14, 49, 65, 12
Language_97, 0.001191458, 6, 4, 7, 8, 5
Language_98, 0.038662083, 21, 9, 28, 64, 9
Language_99, 0.122817792, 58, 17, 57, 65, 15

, 0.06086981, 19.89, 8.49, 24.61, 35.35, 7.43, 100
