LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.003226959, 13, 7, 15, 11, 4
Language_1, 0.000143292, 3, 1, 2, 2, 2
Language_2, 0.004592, 21, 9, 22, 7, 6
Language_3, 0.000191958, 3, 1, 3, 2, 2
Language_4, 0.003293458, 13, 7, 15, 11, 4
Language_5, 0.002346791, 13, 7, 16, 5, 4
Language_6, 0.000286875, 3, 1, 3, 3, 2
Language_7, 0.003566125, 13, 8, 15, 10, 4
Language_8, 0.003540042, 13, 7, 17, 10, 4
Language_9, 0.0001385, 3, 1, 2, 2, 2
Language_10, 0.000112542, 3, 0, 2, 1, 1
Language_11, 0.000216375, 3, 0, 3, 3, 2
Language_12, 0.000159292, 3, 0, 2, 1, 1
Language_13, 0.000303375, 6, 3, 4, 3, 3
Language_14, 0.0004745, 6, 3, 5, 4, 3
Language_15, 0.000130708, 3, 1, 2, 2, 2
Language_16, 0.002386, 13, 7, 15, 7, 4
Language_17, 0.000218584, 3, 0, 3, 3, 2
Language_18, 0.001927, 13, 7, 15, 5, 4
Language_19, 0.000126792, 3, 0, 2, 2, 2
Language_20, 0.000355416, 6, 3, 5, 3, 3
Language_21, 0.000154333, 3, 1, 2, 2, 2
Language_22, 0.000288125, 4, 2, 4, 3, 2
Language_23, 0.000210875, 3, 0, 3, 3, 2
Language_24, 0.000116375, 3, 1, 2, 2, 2
Language_25, 0.000478792, 6, 3, 6, 4, 3
Language_26, 0.000418417, 6, 3, 5, 4, 3
Language_27, 0.004236, 21, 9, 20, 8, 6
Language_28, 0.000293917, 6, 3, 4, 3, 3
Language_29, 0.009020417, 21, 9, 22, 20, 6
Language_30, 0.000251166, 3, 1, 3, 3, 2
Language_31, 0.00013675, 3, 1, 2, 2, 2
Language_32, 0.000447959, 6, 4, 5, 3, 3
Language_33, 0.000187042, 3, 1, 3, 2, 2
Language_34, 0.004421416, 21, 9, 20, 8, 6
Language_35, 0.000159084, 3, 0, 2, 1, 1
Language_36, 0.002127958, 13, 7, 14, 5, 4
Language_37, 0.002261667, 13, 7, 14, 5, 4
Language_38, 0.006149167, 21, 9, 20, 19, 6
Language_39, 0.000225833, 3, 0, 3, 3, 2
Language_40, 0.000353083, 6, 3, 5, 3, 3
Language_41, 0.000230458, 4, 2, 4, 2, 2
Language_42, 0.00593875, 13, 7, 17, 16, 4
Language_43, 0.00014775, 3, 0, 2, 2, 2
Language_44, 0.00009925, 3, 0, 2, 1, 1
Language_45, 0.004030625, 13, 8, 16, 15, 4
Language_46, 0.002358125, 13, 8, 15, 5, 4
Language_47, 0.000158042, 3, 0, 2, 1, 1
Language_48, 0.002946625, 13, 7, 18, 7, 4
Language_49, 0.000133958, 3, 1, 2, 2, 2
Language_50, 0.000119917, 3, 0, 2, 1, 2
Language_51, 0.000273875, 4, 2, 4, 3, 2
Language_52, 0.00012875, 3, 1, 2, 2, 2
Language_53, 0.00017775, 3, 1, 3, 2, 2
Language_54, 0.000101791, 3, 0, 2, 1, 1
Language_55, 0.000171083, 3, 1, 2, 2, 2
Language_56, 0.000121042, 3, 0, 2, 2, 2
Language_57, 0.000566041, 6, 3, 6, 4, 3
Language_58, 0.003997125, 21, 9, 20, 8, 6
Language_59, 0.008288417, 21, 9, 22, 20, 6
Language_60, 0.003340917, 13, 7, 16, 11, 4
Language_61, 0.000162125, 3, 0, 2, 2, 2
Language_62, 0.00030675, 6, 3, 4, 3, 3
Language_63, 0.0001325, 3, 0, 2, 1, 1
Language_64, 0.000129834, 3, 1, 2, 2, 2
Language_65, 0.00227375, 13, 7, 15, 5, 4
Language_66, 0.000115958, 3, 1, 2, 1, 2
Language_67, 0.000495875, 7, 3, 6, 4, 3
Language_68, 0.007433, 21, 10, 21, 17, 6
Language_69, 0.00014875, 3, 0, 2, 2, 2
Language_70, 0.000202667, 3, 0, 3, 3, 2
Language_71, 0.002714334, 13, 8, 15, 5, 4
Language_72, 0.000222916, 3, 0, 3, 3, 2
Language_73, 0.000117708, 3, 0, 2, 1, 1
Language_74, 0.006321625, 21, 9, 20, 16, 6
Language_75, 0.000152792, 3, 0, 2, 2, 2
Language_76, 0.00238975, 13, 8, 15, 5, 4
Language_77, 0.00019125, 3, 1, 3, 2, 2
Language_78, 0.00431275, 13, 7, 15, 16, 4
Language_79, 0.000446375, 6, 3, 5, 4, 3
Language_80, 0.000121208, 3, 0, 2, 1, 1
Language_81, 0.003747334, 13, 8, 15, 12, 4
Language_82, 0.002428792, 13, 8, 15, 7, 4
Language_83, 0.004609875, 13, 7, 16, 15, 4
Language_84, 0.000353084, 6, 4, 5, 3, 3
Language_85, 0.003148375, 13, 7, 16, 10, 4
Language_86, 0.000115041, 3, 0, 2, 1, 1
Language_87, 0.000116791, 3, 0, 2, 2, 2
Language_88, 0.000115625, 3, 1, 2, 2, 2
Language_89, 0.00040575, 6, 3, 5, 4, 3
Language_90, 0.0041285, 21, 9, 20, 8, 6
Language_91, 0.000191, 3, 0, 2, 1, 1
Language_92, 0.000112875, 3, 1, 2, 2, 2
Language_93, 0.000090958, 3, 0, 2, 1, 1
Language_94, 0.000160708, 3, 1, 3, 2, 2
Language_95, 0.000111916, 3, 0, 2, 2, 2
Language_96, 0.004585334, 22, 9, 22, 8, 6
Language_97, 0.000253959, 3, 0, 3, 2, 2
Language_98, 0.008549084, 21, 10, 21, 17, 6
Language_99, 0.000159792, 3, 1, 2, 2, 2

, 0.0015478197, 7.83, 3.42, 7.84, 5.03, 2.94, 100
