LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.032001584, 23, 10, 28, 28, 12
Language_1, 0.061831083, 22, 9, 29, 71, 12
Language_2, 0.053057583, 22, 9, 23, 26, 12
Language_3, 32.004019875, 237, 33, 191, 817, 20
Language_4, 0.012336375, 14, 7, 20, 13, 8
Language_5, Failed
Language_6, 0.513593625, 31, 11, 42, 53, 16
Language_7, 0.078096792, 15, 8, 25, 31, 8
Language_8, 0.016602042, 14, 9, 23, 29, 6
Language_9, 0.030094958, 15, 7, 21, 21, 8
Language_10, 0.04079975, 19, 9, 27, 45, 6
Language_11, 0.068471917, 22, 9, 30, 49, 12
Language_12, Failed
Language_13, 0.101663417, 23, 10, 25, 18, 12
Language_14, 1.723199125, 57, 17, 70, 266, 16
Language_15, 0.030438625, 15, 7, 19, 17, 8
Language_16, 0.000349416, 3, 1, 2, 2, 2
Language_17, 0.823584666, 60, 17, 75, 122, 20
Language_18, 0.418326166, 43, 13, 63, 62, 20
Language_19, 0.718314875, 45, 16, 66, 207, 16
Language_20, 0.07055, 28, 12, 33, 67, 12
Language_21, 0.00911725, 14, 8, 20, 15, 8
Language_22, Failed
Language_23, 2.17621625, 59, 19, 68, 105, 20
Language_24, 0.126011333, 23, 10, 25, 27, 12
Language_25, 0.064994541, 23, 10, 25, 22, 12
Language_26, 0.160156917, 28, 11, 36, 87, 12
Language_27, 0.678424042, 50, 15, 53, 99, 20
Language_28, 0.324534167, 60, 17, 68, 57, 20
Language_29, 0.798228792, 61, 18, 71, 100, 20
Language_30, 0.029018417, 23, 10, 23, 16, 12
Language_31, 0.001229875, 4, 2, 6, 5, 4
Language_32, Failed
Language_33, 3.107080625, 49, 15, 68, 233, 24
Language_34, Failed
Language_35, 0.035071875, 14, 7, 21, 30, 8
Language_36, 3.673839667, 81, 19, 93, 208, 24
Language_37, 0.628769333, 50, 16, 61, 37, 20
Language_38, 0.156646875, 29, 11, 36, 42, 16
Language_39, Failed
Language_40, 0.46117975, 47, 15, 64, 73, 12
Language_41, 0.048649708, 23, 9, 25, 30, 12
Language_42, 0.01222125, 15, 7, 19, 20, 8
Language_43, 0.0011035, 7, 3, 8, 6, 5
Language_44, 0.020429708, 22, 9, 27, 17, 12
Language_45, 0.879110333, 77, 20, 78, 113, 24
Language_46, 0.903895208, 45, 15, 68, 201, 12
Language_47, 0.278072, 30, 12, 38, 154, 12
Language_48, 0.310200541, 38, 13, 44, 89, 20
Language_49, 0.04317375, 22, 9, 26, 30, 12
Language_50, 0.223457125, 32, 11, 42, 97, 12
Language_51, 0.11603075, 36, 13, 49, 28, 16
Language_52, 0.86974625, 41, 19, 62, 62, 20
Language_53, Failed
Language_54, 0.142408083, 22, 10, 28, 53, 12
Language_55, 0.293686375, 46, 15, 58, 72, 16
Language_56, 0.00139175, 5, 3, 8, 6, 4
Language_57, 0.071347958, 23, 10, 28, 26, 12
Language_58, Failed
Language_59, 0.010319875, 3, 0, 2, 1, 1
Language_60, 0.047154083, 14, 8, 22, 22, 8
Language_61, 1.02743, 59, 17, 75, 58, 20
Language_62, 0.02673575, 14, 9, 25, 36, 8
Language_63, 0.168438708, 26, 12, 35, 89, 12
Language_64, 0.106191333, 22, 9, 28, 51, 12
Language_65, 0.001315125, 8, 3, 8, 7, 5
Language_66, 0.019774959, 22, 9, 25, 10, 12
Language_67, 0.000763584, 4, 2, 5, 3, 4
Language_68, 0.001178083, 8, 3, 8, 6, 5
Language_69, 0.00524925, 11, 6, 16, 17, 8
Language_70, 0.0281115, 22, 9, 25, 25, 12
Language_71, Failed
Language_72, 0.039184583, 24, 9, 29, 14, 12
Language_73, 0.002092209, 8, 3, 9, 8, 5
Language_74, 0.765703292, 39, 13, 45, 108, 20
Language_75, 0.091287417, 22, 9, 30, 28, 12
Language_76, Failed
Language_77, 0.061616166, 29, 12, 34, 37, 9
Language_78, 0.649414084, 29, 11, 41, 40, 16
Language_79, 2.370831541, 61, 18, 68, 128, 20
Language_80, Failed
Language_81, 0.603155458, 58, 17, 66, 85, 20
Language_82, 0.001955833, 6, 5, 9, 9, 6
Language_83, 0.105487625, 23, 9, 25, 31, 12
Language_84, 0.158270917, 31, 11, 39, 73, 16
Language_85, Failed
Language_86, 0.016712292, 12, 5, 17, 18, 9
Language_87, 0.290540375, 60, 17, 71, 52, 20
Language_88, 0.184776292, 22, 10, 35, 29, 12
Language_89, 0.093395334, 29, 11, 38, 56, 12
Language_90, 7.240291625, 91, 23, 89, 32, 24
Language_91, 0.096257791, 36, 13, 47, 30, 16
Language_92, Failed
Language_93, 0.205186625, 22, 9, 28, 42, 12
Language_94, 0.021731917, 13, 9, 19, 34, 8
Language_95, 0.001177667, 5, 2, 7, 4, 4
Language_96, 0.00173325, 8, 3, 10, 8, 6
Language_97, 0.058010084, 23, 10, 23, 26, 12
Language_98, 17.313542416, 193, 31, 188, 492, 24
Language_99, 0.07642175, 14, 7, 21, 21, 8

, 0.980853, 33.08046, 10.908046, 39.310345, 67.05747, 12.655172, 87
