LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.19044625, 4, 3, 4, 5, 4
Language_1, 0.004156875, 3, 1, 4, 3, 3
Language_2, 0.007465125, 4, 2, 5, 5, 4
Language_3, 0.003030042, 3, 0, 4, 2, 3
Language_4, 0.089257541, 25, 14, 36, 47, 8
Language_5, 0.00358325, 6, 4, 9, 5, 5
Language_6, 0.001650834, 4, 2, 4, 2, 2
Language_7, Failed
Language_8, 0.009354, 14, 8, 17, 16, 8
Language_9, 0.089378834, 29, 17, 42, 20, 12
Language_10, 0.001422083, 4, 3, 4, 3, 3
Language_11, 0.000668, 4, 3, 4, 5, 4
Language_12, 0.002283833, 10, 7, 10, 17, 7
Language_13, 0.001090791, 4, 3, 6, 5, 4
Language_14, 0.0050925, 15, 9, 19, 13, 8
Language_15, 0.000952417, 7, 3, 6, 4, 4
Language_16, 0.001462375, 6, 4, 9, 14, 6
Language_17, 0.001735291, 11, 5, 14, 6, 6
Language_18, 2.621429042, 46, 21, 52, 62, 24
Language_19, 0.001780125, 7, 5, 7, 6, 5
Language_20, 0.001775583, 8, 4, 8, 7, 5
Language_21, 0.001492958, 3, 1, 4, 5, 3
Language_22, 0.00071075, 3, 0, 2, 1, 1
Language_23, 0.041099375, 21, 9, 22, 17, 12
Language_24, 0.001037125, 7, 5, 6, 4, 4
Language_25, 0.000756291, 6, 4, 6, 4, 4
Language_26, 0.000593625, 4, 2, 3, 2, 2
Language_27, 0.002632667, 6, 3, 7, 6, 5
Language_28, 0.00123825, 3, 1, 2, 2, 2
Language_29, 0.001551708, 3, 0, 4, 2, 3
Language_30, 0.054118667, 24, 13, 37, 45, 12
Language_31, 0.002909083, 8, 8, 14, 22, 8
Language_32, 0.00116975, 3, 1, 4, 3, 4
Language_33, 0.002026084, 7, 4, 9, 5, 5
Language_34, 0.036266208, 20, 10, 25, 26, 12
Language_35, 0.00097275, 4, 4, 5, 6, 4
Language_36, 0.000492958, 3, 2, 4, 3, 4
Language_37, 0.00091925, 5, 4, 6, 3, 3
Language_38, 0.000884917, 4, 3, 6, 3, 3
Language_39, 0.001500584, 7, 4, 9, 6, 6
Language_40, 0.004930375, 11, 11, 19, 23, 8
Language_41, 0.00134125, 4, 2, 4, 2, 2
Language_42, 0.526430666, 53, 39, 89, 130, 15
Language_43, 0.003070334, 4, 4, 6, 5, 4
Language_44, 0.0027045, 6, 4, 6, 10, 5
Language_45, 0.003544542, 7, 5, 7, 4, 5
Language_46, 0.002951709, 6, 3, 7, 9, 5
Language_47, 0.001698625, 4, 3, 6, 5, 6
Language_48, 0.0004805, 3, 0, 2, 1, 2
Language_49, 0.001564375, 8, 8, 11, 8, 8
Language_50, 0.000972834, 7, 4, 7, 7, 5
Language_51, 0.005533666, 10, 5, 12, 13, 7
Language_52, 0.0006225, 3, 0, 2, 1, 1
Language_53, 0.018589709, 8, 4, 9, 5, 5
Language_54, 0.004026916, 7, 5, 10, 7, 5
Language_55, 0.001465041, 3, 1, 3, 3, 2
Language_56, 0.001999541, 4, 2, 4, 3, 3
Language_57, 0.016718125, 26, 11, 30, 24, 8
Language_58, 0.002429167, 7, 5, 8, 7, 6
Language_59, 0.002117833, 6, 4, 7, 6, 4
Language_60, 0.003950292, 11, 6, 14, 10, 7
Language_61, 0.235739917, 35, 18, 46, 35, 16
Language_62, 0.001837208, 5, 3, 6, 6, 4
Language_63, 0.018187667, 4, 2, 6, 5, 4
Language_64, 0.084602292, 35, 20, 59, 46, 16
Language_65, 0.000522417, 4, 2, 4, 4, 4
Language_66, 0.000534792, 5, 4, 6, 6, 5
Language_67, 0.001441333, 7, 4, 7, 9, 5
Language_68, 0.055594, 28, 14, 35, 42, 12
Language_69, 0.0008825, 6, 4, 7, 6, 5
Language_70, 0.009091666, 22, 9, 23, 12, 12
Language_71, 0.001774667, 10, 8, 16, 11, 7
Language_72, 0.000474042, 4, 3, 5, 4, 3
Language_73, 0.00069175, 5, 4, 7, 6, 4
Language_74, 0.000494125, 6, 3, 5, 4, 4
Language_75, 0.0003415, 4, 2, 4, 4, 4
Language_76, 0.127532333, 55, 28, 100, 37, 12
Language_77, 0.001101791, 7, 4, 10, 9, 6
Language_78, 0.000694167, 8, 4, 9, 8, 6
Language_79, 0.769606625, 38, 21, 63, 124, 20
Language_80, 0.723374958, 62, 17, 85, 91, 20
Language_81, 0.000703625, 4, 2, 4, 5, 4
Language_82, 0.000410917, 5, 3, 7, 4, 4
Language_83, 1.848064625, 114, 35, 171, 276, 32
Language_84, 0.189383375, 39, 19, 46, 53, 20
Language_85, 0.160003583, 29, 15, 35, 28, 16
Language_86, 0.085040792, 45, 23, 74, 56, 16
Language_87, 0.174474542, 43, 19, 57, 89, 20
Language_88, 0.002085167, 10, 7, 13, 22, 9
Language_89, Failed
Language_90, 0.012513583, 5, 4, 7, 6, 4
Language_91, 0.136293167, 30, 15, 43, 14, 12
Language_92, 0.000739333, 7, 4, 6, 4, 5
Language_93, 0.000536209, 7, 4, 5, 4, 4
Language_94, 0.000878292, 6, 4, 7, 9, 5
Language_95, 0.000575708, 3, 2, 5, 3, 4
Language_96, 0.000373125, 4, 3, 4, 4, 3
Language_97, 22.84306675, 210, 50, 313, 993, 18
Language_98, 0.001055958, 6, 3, 8, 6, 7
Language_99, 0.325439292, 33, 13, 47, 90, 16

, 0.32258865, 15.336735, 7.357143, 20.989796, 28.87755, 7.1734695, 98
