LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 3.084139208, 63, 17, 81, 344, 24
Language_1, 0.001529625, 8, 3, 10, 6, 5
Language_2, 5.218037459, 59, 15, 91, 367, 24
Language_3, 1.425184583, 47, 15, 61, 179, 20
Language_4, 0.000600167, 4, 2, 4, 2, 2
Language_5, Failed
Language_6, Failed
Language_7, 0.704269167, 58, 18, 68, 170, 20
Language_8, 0.001232625, 8, 3, 9, 6, 5
Language_9, 0.268708292, 35, 14, 45, 37, 16
Language_10, 0.023665792, 21, 11, 29, 24, 12
Language_11, 0.384061916, 61, 17, 63, 55, 24
Language_12, Failed
Language_13, 0.009577791, 7, 3, 7, 7, 5
Language_14, 0.027384667, 22, 10, 26, 30, 12
Language_15, 0.0234975, 23, 10, 23, 25, 12
Language_16, 0.183275541, 39, 13, 46, 48, 20
Language_17, 0.06127475, 25, 11, 35, 41, 8
Language_18, 0.019398375, 23, 10, 24, 20, 12
Language_19, 0.00164575, 8, 3, 9, 7, 5
Language_20, 0.132818833, 29, 11, 42, 121, 12
Language_21, 0.071896875, 27, 12, 41, 58, 12
Language_22, 4.017435792, 94, 21, 92, 111, 24
Language_23, 0.001292916, 5, 3, 7, 5, 4
Language_24, 0.001281, 4, 2, 6, 4, 4
Language_25, 0.77119775, 50, 18, 66, 133, 16
Language_26, 0.000748833, 5, 3, 6, 4, 4
Language_27, 0.001200792, 8, 3, 11, 4, 6
Language_28, 0.108528416, 21, 9, 30, 59, 12
Language_29, 0.000815667, 4, 3, 7, 4, 4
Language_30, 0.232841791, 27, 12, 38, 52, 16
Language_31, Failed
Language_32, 0.089107959, 22, 9, 33, 62, 12
Language_33, 0.006503125, 14, 9, 19, 6, 8
Language_34, 0.001108542, 8, 4, 7, 7, 5
Language_35, 0.8452605, 44, 15, 66, 206, 16
Language_36, Failed
Language_37, Failed
Language_38, 0.233380792, 30, 12, 64, 107, 12
Language_39, 0.484902875, 30, 11, 45, 74, 16
Language_40, 0.136709834, 36, 13, 44, 43, 20
Language_41, 5.140575583, 70, 20, 84, 156, 24
Language_42, 0.142516958, 25, 11, 35, 45, 12
Language_43, 0.053576, 15, 7, 19, 13, 8
Language_44, 0.103997041, 21, 11, 32, 42, 12
Language_45, 0.001355042, 6, 3, 8, 6, 5
Language_46, 0.008592458, 15, 9, 19, 17, 8
Language_47, 0.7013755, 22, 12, 26, 45, 12
Language_48, 1.315210166, 51, 20, 65, 198, 24
Language_49, 0.313495417, 23, 9, 32, 57, 12
Language_50, 0.395373, 36, 13, 53, 92, 12
Language_51, 0.430019125, 63, 19, 65, 134, 12
Language_52, 4.747287875, 55, 15, 60, 83, 24
Language_53, 0.025946542, 23, 9, 26, 26, 12
Language_54, 0.090224333, 28, 13, 49, 32, 16
Language_55, 0.005972917, 15, 9, 20, 10, 8
Language_56, 0.00069875, 5, 4, 6, 5, 4
Language_57, 0.068277375, 22, 10, 27, 27, 12
Language_58, 0.177431291, 25, 12, 37, 56, 12
Language_59, 0.021439292, 20, 10, 26, 35, 12
Language_60, 0.000901542, 8, 5, 7, 7, 5
Language_61, 0.009174542, 23, 9, 27, 8, 12
Language_62, 0.000642125, 5, 3, 6, 5, 4
Language_63, 0.731977125, 49, 16, 56, 72, 20
Language_64, 0.225930583, 48, 20, 56, 19, 20
Language_65, 0.644261166, 78, 19, 80, 117, 24
Language_66, 0.000774208, 4, 3, 6, 4, 4
Language_67, 1.046105917, 59, 17, 69, 99, 20
Language_68, 0.001437875, 8, 5, 8, 5, 5
Language_69, 0.308458875, 29, 11, 42, 45, 16
Language_70, Failed
Language_71, 0.047432667, 14, 7, 24, 50, 8
Language_72, 0.094141625, 22, 9, 28, 47, 12
Language_73, 0.056353875, 29, 12, 34, 43, 16
Language_74, 0.079168458, 18, 10, 31, 74, 8
Language_75, Failed
Language_76, 0.111466417, 21, 10, 28, 65, 12
Language_77, 0.095305625, 23, 9, 26, 26, 12
Language_78, 0.121104375, 15, 12, 33, 77, 8
Language_79, 0.017198167, 23, 9, 24, 27, 12
Language_80, 0.001526125, 6, 3, 8, 5, 4
Language_81, Failed
Language_82, 38.650343125, 227, 34, 209, 1034, 21
Language_83, 0.002039792, 8, 4, 10, 6, 5
Language_84, 0.000506417, 3, 0, 4, 3, 3
Language_85, 0.050551, 23, 9, 24, 14, 12
Language_86, 0.617829167, 60, 17, 67, 38, 20
Language_87, 0.21983775, 26, 16, 49, 79, 12
Language_88, 0.075745042, 23, 9, 26, 29, 12
Language_89, 0.341116292, 45, 16, 63, 145, 16
Language_90, 0.001150417, 7, 4, 9, 7, 6
Language_91, 0.27212075, 39, 13, 43, 59, 15
Language_92, 0.305086542, 39, 18, 65, 98, 20
Language_93, Failed
Language_94, 0.01434325, 12, 5, 14, 14, 7
Language_95, 0.723137292, 58, 19, 71, 217, 16
Language_96, 0.734051166, 48, 15, 64, 139, 24
Language_97, 0.001612834, 5, 2, 7, 5, 4
Language_98, 0.260194875, 25, 14, 33, 55, 12
Language_99, 0.121165375, 26, 16, 45, 71, 8

, 0.870023, 29.61111, 10.677778, 37.11111, 70.166664, 12.277778, 90
