LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.000297791, 6, 3, 4, 3, 3
Language_1, 0.000090666, 3, 0, 2, 1, 1
Language_2, 0.000089, 3, 0, 2, 1, 1
Language_3, 0.000326875, 6, 4, 5, 4, 3
Language_4, 0.000095333, 3, 0, 2, 1, 1
Language_5, 0.000136708, 3, 1, 3, 2, 2
Language_6, 0.000109792, 3, 1, 2, 2, 2
Language_7, 0.000078875, 3, 0, 2, 1, 1
Language_8, 0.000990583, 13, 7, 15, 5, 4
Language_9, 0.001562875, 13, 8, 15, 11, 4
Language_10, 0.003288833, 22, 9, 22, 17, 6
Language_11, 0.000127917, 3, 0, 2, 1, 1
Language_12, 0.0003025, 6, 4, 5, 4, 3
Language_13, 0.000177958, 4, 2, 4, 2, 2
Language_14, 0.000103709, 3, 1, 2, 2, 2
Language_15, 0.000093542, 3, 1, 2, 2, 2
Language_16, 0.000103375, 3, 0, 2, 1, 1
Language_17, 0.000224083, 6, 3, 4, 3, 3
Language_18, 0.000326791, 6, 3, 5, 3, 3
Language_19, 0.0002845, 6, 3, 5, 4, 3
Language_20, 0.0001265, 3, 1, 3, 2, 2
Language_21, 0.000276208, 6, 3, 5, 4, 3
Language_22, 0.000094125, 3, 1, 2, 2, 2
Language_23, 0.000179458, 6, 3, 4, 3, 3
Language_24, 0.00010225, 3, 1, 2, 2, 2
Language_25, 0.000268292, 3, 0, 2, 1, 1
Language_26, 0.000201125, 6, 3, 5, 3, 3
Language_27, 0.000084916, 3, 1, 2, 2, 2
Language_28, 0.000070167, 3, 0, 2, 1, 1
Language_29, 0.000393125, 3, 0, 3, 3, 2
Language_30, 0.001252667, 13, 7, 17, 5, 4
Language_31, 0.000893333, 13, 7, 15, 5, 4
Language_32, 0.000085042, 3, 0, 2, 1, 1
Language_33, 0.00008125, 3, 0, 2, 2, 2
Language_34, 0.000101708, 3, 0, 2, 1, 1
Language_35, 0.000091709, 3, 0, 2, 2, 2
Language_36, 0.000225708, 6, 3, 5, 3, 3
Language_37, 0.0000795, 3, 0, 2, 1, 2
Language_38, 0.000069333, 3, 0, 2, 1, 1
Language_39, 0.000340291, 7, 3, 6, 4, 3
Language_40, 0.000086458, 3, 0, 2, 1, 1
Language_41, 0.000098792, 3, 0, 2, 2, 2
Language_42, 0.000232625, 3, 0, 2, 1, 1
Language_43, 0.001441125, 13, 7, 15, 11, 4
Language_44, 0.00305925, 21, 9, 21, 17, 6
Language_45, 0.000123625, 3, 0, 2, 1, 1
Language_46, 0.000126292, 3, 1, 3, 2, 2
Language_47, 0.000247042, 6, 4, 5, 4, 3
Language_48, 0.000116417, 3, 0, 2, 1, 1
Language_49, 0.000125125, 3, 1, 3, 2, 2
Language_50, 0.0002385, 6, 3, 5, 4, 3
Language_51, 0.000090458, 3, 1, 2, 2, 2
Language_52, 0.000092708, 3, 1, 2, 2, 2
Language_53, 0.000092958, 3, 0, 2, 1, 1
Language_54, 0.000085625, 3, 0, 2, 2, 2
Language_55, 0.0002285, 6, 3, 4, 3, 3
Language_56, 0.000102791, 3, 1, 2, 2, 2
Language_57, 0.000093041, 3, 0, 2, 1, 1
Language_58, 0.003651375, 21, 9, 20, 20, 6
Language_59, 0.000141917, 3, 0, 2, 1, 1
Language_60, 0.00312425, 22, 9, 22, 7, 6
Language_61, 0.000424208, 6, 4, 5, 5, 3
Language_62, 0.000100833, 3, 0, 2, 1, 1
Language_63, 0.000132042, 3, 1, 2, 2, 2
Language_64, 0.00013675, 3, 1, 3, 2, 2
Language_65, 0.000192417, 3, 0, 3, 3, 2
Language_66, 0.000101167, 3, 0, 2, 2, 2
Language_67, 0.000337208, 6, 4, 5, 5, 3
Language_68, 0.000278541, 6, 3, 5, 3, 3
Language_69, 0.00014925, 3, 1, 3, 2, 2
Language_70, 0.0002755, 6, 4, 5, 3, 3
Language_71, 0.00010475, 3, 1, 2, 2, 2
Language_72, 0.002145875, 21, 9, 20, 8, 6
Language_73, 0.001861042, 13, 7, 15, 11, 4
Language_74, 0.000235458, 6, 3, 4, 3, 3
Language_75, 0.000101125, 3, 0, 2, 1, 1
Language_76, 0.000152791, 3, 1, 3, 2, 2
Language_77, 0.000134, 3, 1, 3, 2, 2
Language_78, 0.000301042, 6, 4, 5, 4, 3
Language_79, 0.002197083, 3, 0, 2, 1, 2
Language_80, 0.000875833, 6, 4, 5, 4, 3
Language_81, 0.000968542, 3, 1, 2, 2, 2
Language_82, 0.000282458, 3, 1, 3, 2, 2
Language_83, 0.000199334, 3, 0, 2, 2, 2
Language_84, 0.000260417, 3, 1, 2, 2, 2
Language_85, 0.000120875, 3, 0, 2, 1, 1
Language_86, 0.000309583, 3, 0, 3, 3, 2
Language_87, 0.000186042, 3, 0, 2, 1, 2
Language_88, 0.000227042, 3, 1, 3, 2, 2
Language_89, 0.00016375, 3, 1, 2, 1, 2
Language_90, 0.000165958, 3, 0, 2, 1, 1
Language_91, 0.000135333, 3, 1, 2, 2, 2
Language_92, 0.000117292, 3, 0, 2, 1, 1
Language_93, 0.005760791, 21, 9, 20, 20, 6
Language_94, 0.004170958, 21, 10, 21, 7, 6
Language_95, 0.000527375, 6, 3, 5, 4, 3
Language_96, 0.000209542, 3, 1, 3, 2, 2
Language_97, 0.000152417, 3, 0, 2, 1, 1
Language_98, 0.001068958, 6, 3, 5, 3, 3
Language_99, 0.000179291, 3, 0, 2, 1, 1

, 5.2870164E-4, 5.59, 2.12, 4.93, 3.29, 2.38, 100
