LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.013229458, 22, 9, 22, 16, 9
Language_1, 0.008097708, 13, 8, 16, 15, 6
Language_2, 0.05130075, 30, 11, 39, 33, 9
Language_3, 0.015572208, 14, 8, 17, 20, 6
Language_4, 0.009598125, 22, 10, 24, 6, 9
Language_5, 0.004602083, 14, 8, 16, 7, 6
Language_6, 0.048859709, 21, 9, 30, 38, 9
Language_7, 0.023337417, 23, 9, 27, 21, 9
Language_8, 0.069887084, 21, 12, 33, 40, 9
Language_9, 0.000479125, 4, 2, 4, 2, 3
Language_10, 0.006878583, 14, 7, 16, 7, 6
Language_11, 0.023294375, 22, 9, 29, 19, 9
Language_12, 0.520361084, 40, 13, 49, 213, 15
Language_13, 0.057608, 26, 12, 39, 49, 6
Language_14, 0.007488166, 22, 9, 23, 7, 9
Language_15, 0.054091583, 25, 11, 35, 48, 9
Language_16, 0.078660917, 37, 13, 42, 41, 12
Language_17, 0.007846875, 13, 7, 18, 19, 6
Language_18, 0.248783875, 50, 15, 53, 76, 18
Language_19, 0.009375125, 21, 9, 23, 6, 9
Language_20, 0.007231708, 14, 7, 17, 9, 6
Language_21, 0.00044275, 4, 3, 4, 3, 3
Language_22, 0.000598792, 4, 2, 5, 4, 3
Language_23, 0.000621375, 3, 1, 4, 6, 3
Language_24, 0.021155792, 14, 7, 20, 38, 6
Language_25, 0.0005825, 7, 3, 6, 3, 4
Language_26, 0.357391667, 49, 15, 59, 109, 15
Language_27, 0.001070084, 7, 3, 7, 8, 4
Language_28, 0.010919792, 21, 9, 24, 17, 9
Language_29, 0.000375875, 4, 2, 4, 3, 3
Language_30, 0.000108625, 3, 1, 2, 2, 2
Language_31, 0.018164916, 22, 9, 25, 25, 9
Language_32, 0.004145875, 14, 7, 17, 8, 6
Language_33, 0.017947875, 13, 9, 22, 31, 6
Language_34, 0.018748583, 15, 7, 23, 29, 6
Language_35, 0.014422417, 22, 10, 27, 16, 9
Language_36, 0.597764791, 58, 17, 66, 160, 15
Language_37, 0.349143709, 43, 16, 55, 137, 12
Language_38, 0.88516075, 71, 19, 80, 136, 15
Language_39, 0.078913375, 29, 11, 36, 63, 12
Language_40, 0.022497417, 21, 9, 23, 22, 9
Language_41, 0.000375209, 4, 2, 4, 4, 3
Language_42, 0.000246834, 4, 2, 4, 2, 2
Language_43, 0.022141875, 22, 10, 23, 20, 9
Language_44, 0.005513667, 14, 7, 17, 11, 6
Language_45, 0.28519925, 46, 15, 57, 107, 12
Language_46, 0.018524209, 22, 9, 24, 12, 9
Language_47, 0.013604375, 22, 9, 22, 24, 9
Language_48, 0.025383375, 22, 9, 29, 36, 9
Language_49, 0.222102417, 54, 16, 58, 89, 18
Language_50, 0.006124417, 14, 7, 16, 11, 6
Language_51, 0.024673708, 21, 9, 26, 36, 9
Language_52, 0.018689667, 21, 9, 23, 16, 9
Language_53, 0.00060425, 5, 2, 6, 4, 3
Language_54, 0.04980275, 25, 11, 36, 38, 9
Language_55, 0.010203041, 21, 9, 30, 10, 9
Language_56, 0.000404625, 4, 2, 4, 4, 3
Language_57, 0.07345725, 45, 15, 55, 37, 12
Language_58, 0.000492, 4, 2, 4, 2, 2
Language_59, 0.000427583, 4, 2, 5, 4, 3
Language_60, 0.00800525, 14, 8, 18, 16, 6
Language_61, 0.081906459, 29, 11, 40, 60, 9
Language_62, 0.075701167, 46, 15, 60, 29, 12
Language_63, 0.000734334, 6, 4, 8, 4, 4
Language_64, 0.0155485, 21, 9, 26, 17, 9
Language_65, 0.012712167, 15, 7, 26, 22, 6
Language_66, 0.012338959, 22, 9, 22, 17, 9
Language_67, 0.0284615, 29, 11, 34, 29, 12
Language_68, 0.11124025, 29, 11, 39, 40, 12
Language_69, 0.027951125, 14, 7, 21, 54, 6
Language_70, 0.104958625, 28, 16, 45, 72, 12
Language_71, 0.018857375, 22, 10, 30, 18, 9
Language_72, 0.011007333, 21, 10, 23, 17, 9
Language_73, 0.005810583, 14, 8, 18, 12, 6
Language_74, 0.006941291, 21, 9, 21, 12, 9
Language_75, 0.006260167, 22, 9, 22, 7, 9
Language_76, 0.000433542, 3, 0, 4, 4, 3
Language_77, 0.017326917, 22, 9, 27, 24, 9
Language_78, 0.211879542, 35, 13, 44, 104, 12
Language_79, 0.009314125, 14, 8, 17, 16, 6
Language_80, 0.167845, 42, 15, 56, 53, 12
Language_81, 0.153910375, 35, 13, 48, 100, 12
Language_82, 0.027875084, 22, 9, 25, 27, 9
Language_83, 0.027966083, 24, 9, 35, 27, 9
Language_84, 0.000632709, 4, 3, 6, 4, 3
Language_85, 0.114825625, 41, 13, 47, 22, 15
Language_86, 0.005436417, 14, 7, 17, 9, 6
Language_87, 0.037320917, 21, 12, 35, 41, 9
Language_88, 0.0876195, 25, 11, 35, 69, 9
Language_89, 0.000848375, 7, 4, 7, 6, 4
Language_90, 0.000698042, 7, 5, 6, 6, 4
Language_91, 0.018294917, 14, 7, 20, 47, 6
Language_92, 0.013058167, 14, 8, 23, 21, 6
Language_93, 0.050323834, 21, 10, 29, 60, 9
Language_94, 0.472638708, 70, 19, 76, 120, 15
Language_95, 0.247796333, 73, 19, 81, 64, 15
Language_96, 0.002557125, 11, 5, 12, 11, 6
Language_97, 0.507845625, 89, 21, 90, 72, 18
Language_98, 0.017083958, 20, 9, 25, 25, 6
Language_99, 0.00628175, 14, 8, 18, 11, 6

, 0.071729794, 22.61, 8.96, 27.6, 33.48, 8.21, 100
