LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States,
Language_0, TimeOut,,,,,,
Language_1, Failed,,,,,,
Language_2, Failed,,,,,,
Language_3, Failed,,,,,,
Language_4, Failed,,,,,,
Language_5, Failed,,,,,,
Language_6, Failed,,,,,,
Language_7, Failed,,,,,,
Language_8, TimeOut,,,,,,
Language_9, TimeOut,,,,,,
Language_10, TimeOut,,,,,,
Language_11, Failed,,,,,,
Language_12, Failed,,,,,,
Language_13, Failed,,,,,,
Language_14, Failed,,,,,,
Language_15, Failed,,,,,,
Language_16, Failed,,,,,,
Language_17, Failed,,,,,,
Language_18, Failed,,,,,,
Language_19, TimeOut,,,,,,
Language_20, Failed,,,,,,
Language_21, Failed,,,,,,
Language_22, Failed,,,,,,
Language_23, TimeOut,,,,,,
Language_24, Failed,,,,,,
Language_25, TimeOut,,,,,,
Language_26, TimeOut,,,,,,
Language_27, TimeOut,,,,,,
Language_28, Failed,,,,,,
Language_29, Failed,,,,,,
Language_30, Failed,,,,,,
Language_31, TimeOut,,,,,,
Language_32, Failed,,,,,,
Language_33, TimeOut,,,,,,
Language_34, Failed,,,,,,
Language_35, Failed,,,,,,
Language_36, TimeOut,,,,,,
Language_37, Failed,,,,,,
Language_38, Failed,,,,,,
Language_39, Failed,,,,,,
Language_40, TimeOut,,,,,,
Language_41, TimeOut,,,,,,
Language_42, Failed,,,,,,
Language_43, TimeOut,,,,,,
Language_44, TimeOut,,,,,,
Language_45, TimeOut,,,,,,
Language_46, TimeOut,,,,,,
Language_47, Failed,,,,,,
Language_48, TimeOut,,,,,,
Language_49, TimeOut,,,,,,
Language_50, TimeOut,,,,,,
Language_51, Cancelled,,,,,,
Language_52, TimeOut,,,,,,
Language_53, Failed,,,,,,
Language_54, TimeOut,,,,,,
Language_55, TimeOut,,,,,,
Language_56, Failed,,,,,,
Language_57, Failed,,,,,,
Language_58, TimeOut,,,,,,
Language_59, Failed,,,,,,
Language_60, Failed,,,,,,
Language_61, Failed,,,,,,
Language_62, TimeOut,,,,,,
Language_63, Failed,,,,,,
Language_64, TimeOut,,,,,,
Language_65, Cancelled,,,,,,
Language_66, TimeOut,,,,,,
Language_67, Failed,,,,,,
Language_68, Failed,,,,,,
Language_69, Failed,,,,,,
Language_70, Failed,,,,,,
Language_71, TimeOut,,,,,,
Language_72, Failed,,,,,,
Language_73, TimeOut,,,,,,
Language_74, TimeOut,,,,,,
Language_75, Failed,,,,,,
Language_76, Failed,,,,,,
Language_77, TimeOut,,,,,,
Language_78, Failed,,,,,,
Language_79, Failed,,,,,,
Language_80, TimeOut,,,,,,
Language_81, Failed,,,,,,
Language_82, TimeOut,,,,,,
Language_83, Failed,,,,,,
Language_84, Failed,,,,,,
Language_85, Failed,,,,,,
Language_86, TimeOut,,,,,,
Language_87, TimeOut,,,,,,
Language_88, Failed,,,,,,
Language_89, Failed,,,,,,
Language_90, Failed,,,,,,
Language_91, Failed,,,,,,
Language_92, TimeOut,,,,,,
Language_93, TimeOut,,,,,,
Language_94, Cancelled,,,,,,
Language_95, Failed,,,,,,
Language_96, TimeOut,,,,,,
Language_97, TimeOut,,,,,,
Language_98, TimeOut,,,,,,
Language_99, Failed,,,,,,
,,,,,,,
, NaN, NaN, NaN, NaN, NaN, NaN,0
