LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, Cancelled
Language_1, 0.82591475, 23, 10, 27, 28, 15
Language_2, 0.137829583, 23, 9, 30, 21, 15
Language_3, 0.680262625, 35, 13, 59, 149, 20
Language_4, 6.447984416, 249, 35, 210, 300, 25
Language_5, 0.003106291, 8, 4, 9, 12, 7
Language_6, 2.406767417, 37, 14, 43, 63, 20
Language_7, 0.021004625, 14, 7, 18, 28, 10
Language_8, Failed
Language_9, Failed
Language_10, Failed
Language_11, 0.142847209, 24, 9, 35, 35, 15
Language_12, Failed
Language_13, Failed
Language_14, Failed
Language_15, Failed
Language_16, 0.682255375, 22, 9, 28, 40, 15
Language_17, 2.100815209, 51, 15, 62, 87, 30
Language_18, Failed
Language_19, 0.365117209, 24, 11, 29, 26, 15
Language_20, 0.081094875, 15, 8, 23, 20, 10
Language_21, Failed
Language_22, 0.092985416, 16, 8, 24, 24, 10
Language_23, Cancelled
Language_24, Failed
Language_25, 0.002724667, 5, 3, 7, 7, 5
Language_26, Failed
Language_27, 0.216422458, 23, 9, 27, 16, 15
Language_28, 0.0025455, 4, 3, 7, 6, 5
Language_29, Failed
Language_30, 0.00376875, 11, 5, 13, 11, 8
Language_31, Failed
Language_32, Failed
Language_33, Failed
Language_34, 0.505953084, 20, 10, 28, 37, 15
Language_35, 0.573340334, 22, 12, 30, 24, 15
Language_36, 0.525890791, 30, 12, 37, 53, 15
Language_37, Failed
Language_38, Failed
Language_39, 0.001234709, 5, 3, 6, 8, 5
Language_40, Failed
Language_41, Failed
Language_42, 0.079556292, 23, 10, 29, 28, 15
Language_43, 0.957094833, 30, 12, 39, 43, 16
Language_44, 2.452046542, 30, 11, 39, 18, 20
Language_45, 0.036918708, 7, 4, 9, 8, 5
Language_46, TimeOut
Language_47, Failed
Language_48, TimeOut
Language_49, Failed
Language_50, Failed
Language_51, Failed
Language_52, 0.003758917, 7, 4, 9, 7, 6
Language_53, 0.00138375, 5, 3, 7, 10, 5
Language_54, 0.00959925, 6, 3, 8, 17, 6
Language_55, 0.003812417, 4, 2, 6, 4, 5
Language_56, 0.003096334, 6, 5, 9, 5, 6
Language_57, Failed
Language_58, Failed
Language_59, 0.000510875, 3, 0, 2, 1, 1
Language_60, 0.067153208, 23, 9, 26, 26, 15
Language_61, 1.340114333, 29, 12, 36, 21, 20
Language_62, Failed
Language_63, Failed
Language_64, Failed
Language_65, Failed
Language_66, Failed
Language_67, 2.628207292, 35, 13, 51, 206, 20
Language_68, Failed
Language_69, TimeOut
Language_70, 18.629708333, 13, 13, 30, 55, 10
Language_71, Failed
Language_72, 0.399950416, 30, 17, 49, 73, 20
Language_73, Failed
Language_74, 1.788955625, 87, 21, 100, 282, 21
Language_75, TimeOut
Language_76, 22.433077625, 21, 9, 30, 25, 15
Language_77, Failed
Language_78, 0.003010375, 8, 3, 11, 11, 7
Language_79, Failed
Language_80, Failed
Language_81, 0.036337083, 15, 8, 22, 20, 10
Language_82, 11.331017083, 231, 31, 188, 552, 25
Language_83, 0.179940125, 25, 10, 36, 35, 15
Language_84, 0.7419165, 30, 13, 37, 30, 20
Language_85, 0.432168709, 29, 12, 36, 42, 15
Language_86, TimeOut
Language_87, Failed
Language_88, TimeOut
Language_89, Failed
Language_90, Failed
Language_91, 1.165110917, 50, 16, 57, 97, 25
Language_92, 0.001398583, 5, 2, 7, 5, 5
Language_93, Failed
Language_94, 0.713593916, 30, 14, 46, 60, 20
Language_95, Failed
Language_96, Failed
Language_97, Failed
Language_98, Failed
Language_99, 0.054392125, 15, 7, 20, 10, 10

, 1.6940354, 30.375, 9.854167, 35.229168, 55.958332, 13.5, 48
