LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.000524541, 3, 0, 2, 1, 1
Language_1, 0.006560209, 22, 10, 21, 8, 9
Language_2, 0.000533875, 4, 3, 4, 3, 3
Language_3, 0.010933959, 22, 9, 22, 17, 9
Language_4, 0.000345041, 4, 2, 4, 3, 3
Language_5, 0.000235333, 4, 2, 4, 5, 3
Language_6, 0.000211709, 4, 2, 4, 2, 2
Language_7, 0.000260458, 6, 3, 4, 3, 3
Language_8, 0.024161208, 25, 15, 36, 69, 12
Language_9, 0.000315583, 4, 3, 4, 4, 3
Language_10, 0.000118292, 3, 1, 2, 1, 2
Language_11, 0.000214458, 4, 3, 4, 3, 3
Language_12, 0.000144, 3, 1, 4, 2, 3
Language_13, 0.000220125, 4, 3, 5, 3, 3
Language_14, 0.000197333, 4, 3, 4, 4, 3
Language_15, 0.000097625, 3, 0, 2, 1, 2
Language_16, 0.000435708, 6, 4, 7, 5, 4
Language_17, 0.018051083, 28, 13, 30, 36, 12
Language_18, 0.000281166, 3, 0, 2, 1, 1
Language_19, 0.019673, 34, 19, 43, 37, 12
Language_20, 0.000332959, 3, 1, 3, 3, 3
Language_21, 0.008257167, 22, 9, 22, 16, 9
Language_22, 0.000216041, 3, 0, 2, 1, 1
Language_23, 0.000782791, 8, 5, 10, 8, 5
Language_24, 0.000208041, 4, 2, 4, 3, 3
Language_25, 0.016541084, 24, 15, 38, 58, 6
Language_26, 0.000170541, 3, 0, 2, 1, 1
Language_27, 0.002312375, 13, 9, 17, 13, 6
Language_28, 0.000322542, 4, 4, 5, 8, 5
Language_29, 0.000308792, 7, 3, 6, 3, 4
Language_30, 0.000542667, 6, 5, 7, 11, 5
Language_31, 0.001306625, 13, 8, 15, 7, 4
Language_32, 0.000181291, 3, 0, 3, 3, 2
Language_33, 0.0001825, 4, 2, 3, 3, 3
Language_34, 0.000292417, 6, 4, 6, 4, 4
Language_35, 0.00009575, 3, 1, 2, 1, 2
Language_36, 0.000402458, 6, 5, 8, 7, 4
Language_37, 0.000264916, 6, 3, 5, 4, 4
Language_38, 0.002288334, 22, 9, 22, 7, 9
Language_39, 0.000287292, 6, 3, 5, 4, 3
Language_40, 0.000114458, 3, 1, 3, 2, 2
Language_41, 0.000274333, 6, 3, 5, 4, 3
Language_42, 0.000149, 4, 2, 3, 4, 3
Language_43, 0.000599416, 4, 3, 5, 5, 4
Language_44, 0.000138125, 3, 1, 3, 2, 2
Language_45, 0.010620542, 22, 10, 29, 35, 9
Language_46, 0.000474208, 7, 5, 7, 4, 4
Language_47, 0.000373666, 7, 5, 6, 4, 4
Language_48, 0.000195375, 4, 2, 4, 2, 2
Language_49, 0.005288, 22, 10, 23, 17, 9
Language_50, 0.000465583, 4, 2, 5, 6, 3
Language_51, 0.005443292, 21, 10, 22, 7, 9
Language_52, 0.007103959, 21, 13, 25, 29, 6
Language_53, 0.000245167, 3, 2, 3, 4, 3
Language_54, 0.000101958, 3, 0, 2, 1, 1
Language_55, 0.000149292, 3, 1, 3, 2, 2
Language_56, 0.000207709, 4, 2, 4, 4, 3
Language_57, 0.000086917, 3, 0, 2, 1, 1
Language_58, 0.000149166, 4, 2, 3, 2, 2
Language_59, 0.000168291, 4, 2, 4, 2, 2
Language_60, 0.000275083, 6, 4, 5, 5, 4
Language_61, 0.000090125, 3, 0, 2, 1, 1
Language_62, 0.000432583, 7, 4, 8, 6, 5
Language_63, 0.000205459, 4, 3, 4, 4, 3
Language_64, 0.001911375, 14, 8, 17, 14, 6
Language_65, 0.003099542, 13, 11, 21, 22, 6
Language_66, 0.043017583, 45, 21, 66, 76, 12
Language_67, 0.00054225, 4, 2, 4, 3, 3
Language_68, 0.000624333, 4, 2, 3, 2, 2
Language_69, 0.000590084, 7, 5, 8, 7, 4
Language_70, 0.001000417, 7, 3, 7, 4, 4
Language_71, 0.000187416, 3, 0, 3, 2, 2
Language_72, 0.000243958, 6, 3, 5, 3, 3
Language_73, 0.000133, 3, 0, 2, 1, 1
Language_74, 0.000156959, 4, 3, 4, 4, 4
Language_75, 0.000293958, 4, 2, 4, 3, 3
Language_76, 0.000217208, 4, 2, 4, 3, 3
Language_77, 0.000223959, 4, 2, 3, 2, 2
Language_78, 0.010883541, 25, 13, 31, 43, 9
Language_79, 0.000571167, 3, 1, 4, 3, 3
Language_80, 0.000367875, 4, 3, 4, 4, 3
Language_81, 0.000191, 4, 2, 4, 2, 2
Language_82, 0.000637167, 7, 7, 9, 8, 5
Language_83, 0.000271292, 4, 3, 4, 4, 3
Language_84, 0.000640917, 7, 6, 9, 4, 4
Language_85, 0.000582084, 6, 3, 6, 4, 4
Language_86, 0.000206083, 3, 1, 2, 1, 2
Language_87, 0.0003215, 4, 3, 4, 6, 4
Language_88, 0.028201167, 35, 19, 58, 28, 12
Language_89, 0.000468792, 6, 4, 6, 4, 4
Language_90, 0.000175084, 4, 2, 3, 2, 2
Language_91, 0.000356209, 3, 1, 3, 3, 2
Language_92, 0.000632791, 7, 3, 6, 4, 4
Language_93, 0.000252542, 3, 2, 3, 4, 3
Language_94, 0.049652166, 62, 23, 62, 62, 10
Language_95, 0.0006015, 3, 1, 3, 4, 3
Language_96, 0.000147917, 3, 0, 2, 1, 1
Language_97, 0.014610791, 24, 15, 32, 44, 12
Language_98, 0.000314833, 4, 3, 4, 4, 3
Language_99, 0.004428, 13, 7, 21, 38, 6

, 0.0031891945, 8.84, 4.57, 10.04, 9.49, 4.19, 100
