LangName ,  TimeElapsed  , totalEqQueries , LongestCELength, rows, columns, #States
Language_0, 0.259451916, 6, 5, 10, 8, 7
Language_1, 0.007921875, 5, 4, 7, 6, 5
Language_2, Failed
Language_3, Failed
Language_4, 0.001610333, 4, 2, 5, 6, 5
Language_5, 0.001391375, 4, 5, 7, 3, 4
Language_6, 0.005585375, 7, 7, 9, 9, 6
Language_7, Failed
Language_8, 0.003263792, 6, 4, 8, 5, 5
Language_9, 0.001515291, 4, 2, 5, 6, 5
Language_10, 0.005288917, 11, 7, 19, 15, 8
Language_11, 0.000818042, 3, 0, 4, 3, 3
Language_12, Failed
Language_13, Failed
Language_14, Failed
Language_15, Failed
Language_16, 0.00107275, 4, 2, 4, 3, 3
Language_17, Cancelled
Language_18, Failed
Language_19, 0.003242792, 11, 7, 16, 13, 8
Language_20, 0.140819083, 33, 13, 41, 88, 16
Language_21, 0.246220917, 35, 16, 45, 29, 20
Language_22, 0.001328708, 8, 4, 9, 7, 6
Language_23, 0.000557625, 4, 3, 6, 6, 6
Language_24, 0.000507, 4, 3, 6, 6, 5
Language_25, 0.000773458, 5, 2, 5, 4, 3
Language_26, 0.000939458, 7, 5, 8, 7, 6
Language_27, 0.0006785, 6, 4, 6, 7, 5
Language_28, 0.000741875, 7, 4, 8, 5, 5
Language_29, 0.000780416, 4, 3, 5, 3, 3
Language_30, 0.518702833, 28, 14, 37, 41, 12
Language_31, 0.00066625, 5, 3, 6, 5, 5
Language_32, 0.001162792, 8, 5, 11, 13, 6
Language_33, 0.451878875, 29, 12, 31, 18, 20
Language_34, 5.002121333, 23, 18, 47, 49, 15
Language_35, 0.001187917, 5, 4, 6, 3, 3
Language_36, 0.000808875, 8, 3, 8, 8, 6
Language_37, 0.000836292, 6, 5, 11, 6, 7
Language_38, Failed
Language_39, 0.002742833, 11, 6, 17, 22, 8
Language_40, 0.000669792, 6, 4, 8, 8, 7
Language_41, 0.001659208, 11, 8, 16, 16, 8
Language_42, 0.000863042, 7, 5, 10, 10, 7
Language_43, 0.001326958, 10, 6, 16, 10, 8
Language_44, 0.00057125, 7, 5, 8, 6, 6
Language_45, Failed
Language_46, Failed
Language_47, 0.019391042, 21, 9, 22, 10, 9
Language_48, 0.258208625, 30, 16, 43, 21, 12
Language_49, 0.020514, 27, 18, 47, 30, 8
Language_50, 0.000598459, 4, 2, 4, 2, 2
Language_51, 0.000484584, 4, 4, 5, 7, 5
Language_52, 0.000688416, 5, 4, 7, 4, 5
Language_53, 0.00070575, 6, 3, 6, 4, 3
Language_54, 0.056764583, 21, 11, 28, 30, 15
Language_55, 0.001970875, 5, 5, 9, 6, 6
Language_56, 0.001178042, 7, 8, 9, 15, 8
Language_57, 0.00181825, 11, 6, 15, 17, 9
Language_58, 0.001895291, 7, 4, 9, 12, 6
Language_59, 0.002953166, 11, 7, 20, 18, 9
Language_60, 0.001971375, 7, 5, 11, 5, 6
Language_61, 0.001255041, 8, 4, 8, 8, 5
Language_62, 0.000653875, 6, 5, 8, 6, 4
Language_63, 0.000575375, 8, 4, 8, 7, 5
Language_64, Failed
Language_65, 0.001276542, 3, 2, 5, 3, 4
Language_66, Failed
Language_67, 0.001273, 7, 6, 7, 9, 6
Language_68, 0.005544667, 8, 5, 10, 13, 6
Language_69, 0.000700334, 7, 6, 7, 7, 6
Language_70, Failed
Language_71, 0.000834209, 6, 3, 6, 7, 5
Language_72, 0.00079175, 6, 4, 11, 12, 7
Language_73, 0.0005005, 8, 5, 7, 6, 5
Language_74, 0.00046175, 5, 4, 8, 4, 4
Language_75, TimeOut
Language_76, 0.002127625, 6, 6, 11, 11, 6
Language_77, 0.000831834, 8, 4, 9, 9, 6
Language_78, 0.001369333, 12, 9, 13, 9, 8
Language_79, 0.002334625, 11, 7, 16, 13, 10
Language_80, 0.001458, 8, 5, 10, 9, 6
Language_81, Failed
Language_82, 0.001311834, 7, 5, 11, 15, 8
Language_83, 0.000449916, 7, 5, 7, 5, 6
Language_84, 0.279339083, 28, 11, 43, 35, 16
Language_85, 0.866299416, 22, 10, 26, 26, 15
Language_86, 0.001153, 8, 6, 9, 8, 6
Language_87, Failed
Language_88, 0.000899375, 4, 2, 4, 2, 3
Language_89, 0.001121292, 6, 6, 9, 5, 4
Language_90, 0.033778166, 17, 11, 26, 29, 12
Language_91, Failed
Language_92, 0.00251725, 9, 6, 12, 8, 6
Language_93, 0.000224792, 3, 0, 2, 1, 1
Language_94, 0.000727083, 6, 5, 10, 8, 5
Language_95, 0.000786208, 7, 4, 11, 7, 7
Language_96, Failed
Language_97, 0.044929041, 33, 13, 40, 48, 12
Language_98, 0.000666084, 4, 3, 7, 4, 5
Language_99, 0.000599792, 4, 3, 7, 4, 4

, 0.10369551, 9.875, 5.8875, 13.35, 12.1625, 6.975, 80
