Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 3.7632501125335693, 3, 4, 26, 2, 6, 3.73599910736084, 1.2453330357869465, 4.0
Language_1, 2.459259033203125, 2, 4, 17, 1, 6, 2.4419310092926025, 1.2209655046463013, 4.0
Language_2, 2.4628469944000244, 2, 5, 19, 1, 6, 2.4446861743927, 1.22234308719635, 5.0
Language_3, 2.4529201984405518, 2, 4, 20, 1, 6, 2.4287590980529785, 1.2143795490264893, 4.0
Language_4, 2.4243578910827637, 2, 3, 16, 2, 6, 2.400749921798706, 1.200374960899353, 3.0
Language_5, 3.659816026687622, 3, 4, 22, 2, 6, 3.6433682441711426, 1.2144560813903809, 3.5
Language_6, 2.44376802444458, 2, 3, 19, 2, 6, 2.418226957321167, 1.2091134786605835, 3.0
Language_7, 1.2604050636291504, 1, 0, 12, 1, 6, 1.2384798526763916, 1.2384798526763916, 0
Language_8, 3.6998751163482666, 3, 5, 26, 2, 6, 3.6785593032836914, 1.2261864344278972, 3.5
Language_9, 2.457822322845459, 2, 5, 18, 1, 6, 2.4344794750213623, 1.2172397375106812, 5.0
Language_10, 2.4651880264282227, 2, 5, 19, 1, 6, 2.441861152648926, 1.220930576324463, 5.0
Language_11, 2.4898149967193604, 2, 3, 19, 2, 6, 2.465977907180786, 1.232988953590393, 3.0
Language_12, 2.470615863800049, 2, 3, 19, 2, 6, 2.446561813354492, 1.223280906677246, 3.0
Language_13, 2.462736129760742, 2, 4, 18, 1, 6, 2.444840908050537, 1.2224204540252686, 4.0
Language_14, 2.4700868129730225, 2, 4, 16, 1, 6, 2.446882724761963, 1.2234413623809814, 4.0
Language_15, 7.402091026306152, 6, 4, 50, 1, 6, 7.355294942855835, 1.2258824904759724, 3.4
Language_16, 2.4918301105499268, 2, 3, 19, 2, 6, 2.467785120010376, 1.233892560005188, 3.0
Language_17, 2.506042718887329, 2, 4, 19, 1, 6, 2.4827566146850586, 1.2413783073425293, 4.0
Language_18, 3.729196786880493, 3, 4, 25, 1, 6, 3.7032570838928223, 1.2344190279642742, 4.0
Language_19, 3.7013750076293945, 3, 3, 26, 1, 6, 3.675389289855957, 1.225129763285319, 3.0
Language_20, 2.4586520195007324, 2, 3, 17, 2, 6, 2.4351038932800293, 1.2175519466400146, 3.0
Language_21, 2.496047019958496, 2, 4, 19, 1, 6, 2.4724550247192383, 1.2362275123596191, 4.0
Language_22, 2.4292922019958496, 2, 5, 16, 1, 6, 2.4065909385681152, 1.2032954692840576, 5.0
Language_23, 4.990949869155884, 4, 4, 34, 2, 6, 4.958397150039673, 1.2395992875099182, 3.6666666666666665
Language_24, 2.4873788356781006, 2, 3, 18, 2, 6, 2.4636311531066895, 1.2318155765533447, 3.0
Language_25, 2.4973137378692627, 2, 3, 18, 2, 6, 2.4734880924224854, 1.2367440462112427, 3.0
Language_26, 3.725421905517578, 3, 5, 27, 2, 6, 3.697409152984619, 1.2324697176615398, 4.0
Language_27, 2.4426450729370117, 2, 4, 19, 2, 6, 2.418611526489258, 1.209305763244629, 4.0
Language_28, 2.481973886489868, 2, 5, 17, 1, 6, 2.4582183361053467, 1.2291091680526733, 5.0
Language_29, 4.97862982749939, 4, 7, 34, 1, 6, 4.9459099769592285, 1.2364774942398071, 6.0
Language_30, 3.7291457653045654, 3, 7, 27, 1, 6, 3.7023706436157227, 1.2341235478719075, 5.0
Language_31, 3.737318277359009, 3, 4, 26, 2, 6, 3.709568738937378, 1.236522912979126, 3.5
Language_32, 2.4930930137634277, 2, 2, 19, 2, 6, 2.4690709114074707, 1.2345354557037354, 2.0
Language_33, 3.7114157676696777, 3, 6, 25, 2, 6, 3.682415246963501, 1.2274717489878337, 4.5
Language_34, 2.4891130924224854, 2, 4, 18, 1, 6, 2.465949058532715, 1.2329745292663574, 4.0
Language_35, 2.553292989730835, 2, 4, 19, 1, 6, 2.529926061630249, 1.2649630308151245, 4.0
Language_36, 3.790437936782837, 3, 5, 27, 1, 6, 3.7639591693878174, 1.2546530564626057, 4.5
Language_37, 2.493340015411377, 2, 4, 20, 1, 6, 2.4712557792663574, 1.2356278896331787, 4.0
Language_38, 2.549422264099121, 2, 4, 18, 1, 6, 2.5263831615448, 1.2631915807724, 4.0
Language_39, 3.832594156265259, 3, 3, 27, 2, 6, 3.8049092292785645, 1.2683030764261882, 2.5
Language_40, 5.034562110900879, 4, 4, 32, 2, 6, 5.00028920173645, 1.2500723004341125, 4.0
Language_41, 3.8612060546875, 3, 4, 26, 2, 6, 3.8334810733795166, 1.2778270244598389, 4.0
Language_42, 3.6987802982330322, 3, 4, 27, 2, 6, 3.670088052749634, 1.223362684249878, 4.0
Language_43, 2.4845099449157715, 2, 4, 19, 1, 6, 2.461408853530884, 1.230704426765442, 4.0
Language_44, 2.485969066619873, 2, 5, 19, 1, 6, 2.4625909328460693, 1.2312954664230347, 5.0
Language_45, 2.495332717895508, 2, 3, 18, 2, 6, 2.476685047149658, 1.238342523574829, 3.0
Language_46, 2.4769577980041504, 2, 3, 17, 2, 6, 2.459078073501587, 1.2295390367507935, 3.0
Language_47, 2.456373453140259, 2, 4, 18, 2, 6, 2.4300320148468018, 1.2150160074234009, 4.0
Language_48, 2.52679181098938, 2, 4, 20, 1, 6, 2.5031371116638184, 1.2515685558319092, 4.0
Language_49, 2.449949026107788, 2, 4, 19, 1, 6, 2.432337999343872, 1.216168999671936, 4.0
Language_50, 2.465618371963501, 2, 3, 19, 1, 6, 2.4418389797210693, 1.2209194898605347, 3.0
Language_51, 2.5092179775238037, 2, 5, 20, 1, 6, 2.485581874847412, 1.242790937423706, 5.0
Language_52, 4.956486225128174, 4, 7, 29, 2, 6, 4.925567865371704, 1.231391966342926, 4.333333333333333
Language_53, 2.468736171722412, 2, 3, 19, 2, 6, 2.44511342048645, 1.222556710243225, 3.0
Language_54, 3.8465778827667236, 3, 4, 27, 3, 6, 3.81384015083313, 1.27128005027771, 3.5
Language_55, 2.4871621131896973, 2, 3, 19, 2, 6, 2.4624600410461426, 1.2312300205230713, 3.0
Language_56, 3.897944688796997, 3, 5, 27, 3, 6, 3.864867925643921, 1.2882893085479736, 4.0
Language_57, 2.454779863357544, 2, 4, 19, 1, 6, 2.4313430786132812, 1.2156715393066406, 4.0
Language_58, 2.4916188716888428, 2, 4, 19, 1, 6, 2.474219560623169, 1.2371097803115845, 4.0
Language_59, 2.4905481338500977, 2, 5, 20, 1, 6, 2.4666874408721924, 1.2333437204360962, 5.0
Language_60, 3.7065541744232178, 3, 4, 25, 2, 6, 3.679013252258301, 1.2263377507527669, 3.0
Language_61, 3.7153358459472656, 3, 4, 28, 2, 6, 3.686614751815796, 1.2288715839385986, 4.0
Language_62, 2.476984739303589, 2, 4, 19, 1, 6, 2.4531590938568115, 1.2265795469284058, 4.0
Language_63, 2.4894471168518066, 2, 4, 20, 2, 6, 2.464930295944214, 1.232465147972107, 4.0
Language_64, 3.797306776046753, 3, 5, 28, 2, 6, 3.768326997756958, 1.2561089992523193, 4.0
Language_65, 2.447096824645996, 2, 3, 17, 2, 6, 2.429612874984741, 1.2148064374923706, 3.0
Language_66, 3.6924901008605957, 3, 5, 28, 2, 6, 3.665024995803833, 1.2216749986012776, 4.5
Language_67, 2.4654669761657715, 2, 5, 18, 1, 6, 2.441462755203247, 1.2207313776016235, 5.0
Language_68, 2.4618289470672607, 2, 4, 18, 1, 6, 2.4381771087646484, 1.2190885543823242, 4.0
Language_69, 2.5302767753601074, 2, 4, 19, 1, 6, 2.5065269470214844, 1.2532634735107422, 4.0
Language_70, 6.307663202285767, 5, 5, 44, 2, 6, 6.260688066482544, 1.2521376132965087, 3.75
Language_71, 6.142636775970459, 5, 5, 43, 2, 6, 6.095449209213257, 1.2190898418426515, 3.5
