Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 1.1636509895324707, 1, 0, 4, 1, 2, 1.1632168292999268, 1.1632168292999268, 0
Language_1, 1.150604009628296, 1, 0, 4, 1, 2, 1.1501576900482178, 1.1501576900482178, 0
Language_2, 2.2948429584503174, 2, 3, 5, 1, 2, 2.2940926551818848, 1.1470463275909424, 3.0
Language_3, 1.172790765762329, 1, 0, 3, 1, 2, 1.1724090576171875, 1.1724090576171875, 0
Language_4, 1.142024040222168, 1, 0, 4, 1, 2, 1.1416058540344238, 1.1416058540344238, 0
Language_5, 1.1625819206237793, 1, 0, 4, 1, 2, 1.1621482372283936, 1.1621482372283936, 0
Language_6, 2.2544519901275635, 2, 3, 6, 1, 2, 2.253580331802368, 1.126790165901184, 3.0
Language_7, 1.1434659957885742, 1, 0, 4, 1, 2, 1.1430139541625977, 1.1430139541625977, 0
Language_8, 1.1364490985870361, 1, 0, 4, 1, 2, 1.1360132694244385, 1.1360132694244385, 0
Language_9, 1.1433629989624023, 1, 0, 3, 1, 2, 1.1430459022521973, 1.1430459022521973, 0
Language_10, 1.1405401229858398, 1, 0, 4, 1, 2, 1.1401000022888184, 1.1401000022888184, 0
Language_11, 1.1309559345245361, 1, 0, 4, 1, 2, 1.1305856704711914, 1.1305856704711914, 0
Language_12, 1.1783599853515625, 1, 0, 4, 1, 2, 1.177889108657837, 1.177889108657837, 0
Language_13, 1.1362812519073486, 1, 0, 4, 1, 2, 1.1358351707458496, 1.1358351707458496, 0
Language_14, 1.1340839862823486, 1, 0, 4, 1, 2, 1.1336567401885986, 1.1336567401885986, 0
Language_15, 1.1431472301483154, 1, 0, 4, 1, 2, 1.1427068710327148, 1.1427068710327148, 0
Language_16, 2.2830679416656494, 2, 3, 7, 1, 2, 2.2821741104125977, 1.1410870552062988, 3.0
Language_17, 1.142005443572998, 1, 0, 3, 1, 2, 1.1416471004486084, 1.1416471004486084, 0
Language_18, 1.1475601196289062, 1, 0, 4, 1, 2, 1.147184133529663, 1.147184133529663, 0
Language_19, 1.139176845550537, 1, 0, 4, 1, 2, 1.13873291015625, 1.13873291015625, 0
Language_20, 1.1497468948364258, 1, 0, 4, 1, 2, 1.1493000984191895, 1.1493000984191895, 0
Language_21, 1.1419687271118164, 1, 0, 4, 1, 2, 1.14164400100708, 1.14164400100708, 0
Language_22, 2.276489019393921, 2, 4, 6, 1, 2, 2.2757680416107178, 1.1378840208053589, 4.0
Language_23, 1.1529719829559326, 1, 0, 4, 1, 2, 1.1525371074676514, 1.1525371074676514, 0
Language_24, 1.1348299980163574, 1, 0, 4, 1, 2, 1.1343932151794434, 1.1343932151794434, 0
Language_25, 1.1380119323730469, 1, 0, 4, 1, 2, 1.1375763416290283, 1.1375763416290283, 0
Language_26, 1.1511831283569336, 1, 0, 4, 1, 2, 1.1507339477539062, 1.1507339477539062, 0
Language_27, 1.1749112606048584, 1, 0, 4, 1, 2, 1.1744492053985596, 1.1744492053985596, 0
Language_28, 1.1484429836273193, 1, 0, 2, 1, 2, 1.1482429504394531, 1.1482429504394531, 0
Language_29, 1.1353058815002441, 1, 0, 4, 1, 2, 1.134861946105957, 1.134861946105957, 0
Language_30, 1.1404290199279785, 1, 0, 4, 1, 2, 1.1400139331817627, 1.1400139331817627, 0
Language_31, 1.154559850692749, 1, 0, 4, 1, 2, 1.1541919708251953, 1.1541919708251953, 0
Language_32, 1.151109218597412, 1, 0, 4, 1, 2, 1.1506788730621338, 1.1506788730621338, 0
Language_33, 1.1424329280853271, 1, 0, 4, 1, 2, 1.141982078552246, 1.141982078552246, 0
Language_34, 1.1530232429504395, 1, 0, 4, 1, 2, 1.152580738067627, 1.152580738067627, 0
Language_35, 1.1343021392822266, 1, 0, 4, 1, 2, 1.1338610649108887, 1.1338610649108887, 0
Language_36, 1.151803970336914, 1, 0, 4, 1, 2, 1.1513559818267822, 1.1513559818267822, 0
Language_37, 1.1682391166687012, 1, 0, 4, 1, 2, 1.167773962020874, 1.167773962020874, 0
Language_38, 1.1567442417144775, 1, 0, 4, 1, 2, 1.1562998294830322, 1.1562998294830322, 0
Language_39, 2.2850286960601807, 2, 3, 6, 1, 2, 2.284151077270508, 1.142075538635254, 3.0
Language_40, 1.1508872509002686, 1, 0, 4, 1, 2, 1.1504502296447754, 1.1504502296447754, 0
Language_41, 1.1462600231170654, 1, 0, 4, 1, 2, 1.1458642482757568, 1.1458642482757568, 0
Language_42, 1.1386418342590332, 1, 0, 4, 1, 2, 1.138200283050537, 1.138200283050537, 0
Language_43, 1.1378512382507324, 1, 0, 4, 1, 2, 1.1374180316925049, 1.1374180316925049, 0
Language_44, 1.143347978591919, 1, 0, 4, 1, 2, 1.1429240703582764, 1.1429240703582764, 0
Language_45, 1.1510179042816162, 1, 0, 4, 1, 2, 1.1505777835845947, 1.1505777835845947, 0
Language_46, 1.139312982559204, 1, 0, 4, 1, 2, 1.1388599872589111, 1.1388599872589111, 0
Language_47, 2.302211046218872, 2, 3, 7, 1, 2, 2.301196813583374, 1.150598406791687, 3.0
Language_48, 2.2927918434143066, 2, 4, 6, 1, 2, 2.2920448780059814, 1.1460224390029907, 4.0
Language_49, 1.1424381732940674, 1, 0, 4, 1, 2, 1.1420080661773682, 1.1420080661773682, 0
Language_50, 2.291092872619629, 2, 3, 7, 1, 2, 2.2901206016540527, 1.1450603008270264, 3.0
Language_51, 1.1468169689178467, 1, 0, 3, 1, 2, 1.146522045135498, 1.146522045135498, 0
