Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, SAT Failed
Language_1, SAT Failed
Language_2, SAT Failed
Language_3, SAT Failed
Language_4, SAT Failed
Language_5, 23.869569063186646, 4, 9, 33, 4, 11, 23.854914903640747, 5.963728725910187, 6.666666666666667
Language_6, 143.5351378917694, 5, 7, 63, 4, 12, 142.99228167533875, 28.59845633506775, 6.0
Language_7, SAT Failed
Language_8, 75.47741603851318, 2, 3, 28, 2, 12, 75.2010509967804, 37.6005254983902, 3.0
Language_9, SAT Failed
Language_10, 114.72124004364014, 3, 9, 33, 2, 13, 114.65228319168091, 38.2174277305603, 5.5
Language_11, 143.31213784217834, 2, 2, 33, 2, 13, 142.25759625434875, 71.12879812717438, 2.0
Language_12, 90.6460189819336, 3, 6, 41, 2, 11, 90.41432929039001, 30.138109763463337, 4.5
Language_13, SAT Failed
Language_14, SAT Failed
Language_15, SAT Failed
Language_16, SAT Failed
Language_17, SAT Failed
Language_18, SAT Failed
Language_19, SAT Failed
Language_20, SAT Failed
Language_21, SAT Failed
Language_22, SAT Failed
Language_23, SAT Failed
Language_24, 23.619040966033936, 2, 4, 27, 2, 13, 23.005123615264893, 11.502561807632446, 4.0
Language_25, SAT Failed
Language_26, SAT Failed
Language_27, 226.15871810913086, 4, 8, 59, 3, 13, 225.2841556072235, 56.32103890180588, 5.666666666666667
Language_28, SAT Failed
Language_29, SAT Failed
Language_30, SAT Failed
Language_31, SAT Failed
Language_32, SAT Failed
Language_33, 175.38521885871887, 5, 9, 64, 4, 13, 174.74334192276, 34.948668384552, 5.75
Language_34, SAT Failed
Language_35, 33.179381132125854, 4, 7, 53, 3, 11, 32.71814203262329, 8.179535508155823, 5.333333333333333
Language_36, SAT Failed
Language_37, 49.79299712181091, 3, 9, 33, 2, 11, 49.49857020378113, 16.499523401260376, 7.0
Language_38, 187.33404803276062, 5, 6, 65, 3, 12, 186.59186625480652, 37.3183732509613, 4.5
Language_39, 221.645770072937, 5, 11, 73, 4, 13, 220.9820237159729, 44.19640474319458, 6.75
Language_40, SAT Failed
Language_41, 282.41989302635193, 3, 4, 42, 4, 13, 281.3745234012604, 93.79150780042012, 3.5
Language_42, 190.319748878479, 4, 9, 57, 3, 13, 189.4345109462738, 47.35862773656845, 5.666666666666667
Language_43, SAT Failed
Language_44, 161.65926480293274, 5, 6, 57, 3, 12, 161.1128101348877, 32.22256202697754, 5.0
Language_45, 129.04805517196655, 3, 9, 45, 2, 12, 128.40381526947021, 42.801271756490074, 6.0
Language_46, SAT Failed
Language_47, SAT Failed
Language_48, 249.3608157634735, 4, 6, 50, 3, 12, 248.98667812347412, 62.24666953086853, 5.333333333333333
Language_49, SAT Failed
Language_50, 199.61331415176392, 7, 7, 55, 2, 12, 199.58359622955322, 28.511942318507604, 6.0
Language_51, 209.8709270954132, 5, 8, 68, 4, 12, 209.30406880378723, 41.860813760757445, 6.25
Language_52, 277.36174297332764, 6, 8, 65, 2, 12, 276.9904820919037, 46.16508034865061, 6.0
Language_53, 210.45531606674194, 5, 9, 74, 4, 13, 209.34764409065247, 41.86952881813049, 6.0
Language_54, SAT Failed
Language_55, SAT Failed
Language_56, SAT Failed
Language_57, SAT Failed
Language_58, 173.62716794013977, 5, 13, 55, 4, 12, 172.97602462768555, 34.59520492553711, 7.25
Language_59, SAT Failed
Language_60, SAT Failed
Language_61, SAT Failed
Language_62, SAT Failed
Language_63, 116.70767712593079, 5, 9, 58, 4, 12, 116.34610414505005, 23.26922082901001, 5.25
Language_64, SAT Failed
Language_65, SAT Failed
Language_66, SAT Failed
Language_67, SAT Failed
Language_68, SAT Failed
Language_69, SAT Failed
Language_70, SAT Failed
Language_71, SAT Failed
Language_72, 102.28547978401184, 3, 9, 44, 2, 12, 101.75237679481506, 33.91745893160502, 6.5
Language_73, 9.427337884902954, 3, 6, 25, 3, 11, 9.419089555740356, 3.1396965185801187, 5.0
Language_74, SAT Failed
Language_75, SAT Failed
Language_76, SAT Failed
Language_77, SAT Failed
Language_78, SAT Failed
Language_79, SAT Failed
Language_80, SAT Failed
Language_81, SAT Failed
Language_82, 202.52288508415222, 4, 5, 43, 3, 12, 202.3199942111969, 50.579998552799225, 4.333333333333333
Language_83, 204.68106985092163, 4, 8, 59, 3, 13, 203.93685221672058, 50.984213054180145, 5.333333333333333
Language_84, 234.85955905914307, 4, 8, 59, 3, 12, 234.06559538841248, 58.51639884710312, 5.333333333333333
Language_85, SAT Failed
Language_86, SAT Failed
Language_87, 176.54675579071045, 5, 8, 70, 3, 12, 175.76366996765137, 35.152733993530276, 5.75
Language_88, SAT Failed
Language_89, SAT Failed
Language_90, SAT Failed
Language_91, 135.28236889839172, 7, 8, 94, 2, 12, 134.56155371665955, 19.223079102379934, 5.666666666666667
Language_92, SAT Failed
Language_93, SAT Failed
Language_94, SAT Failed
Language_95, SAT Failed
Language_96, SAT Failed
Language_97, 27.284880876541138, 3, 4, 45, 3, 12, 26.62783122062683, 8.875943740208944, 3.5
Language_98, 197.28019309043884, 5, 7, 73, 3, 13, 196.24452137947083, 39.24890427589416, 5.5
Language_99, 44.52513122558594, 5, 8, 31, 4, 11, 44.50771737098694, 8.901543474197387, 4.75

Average, 148.34753760870765, 4.176470588235294, 7.323529411764706, 52.1764705882353, 2.9705882352941178, 12.147058823529411, 147.80162174561445, 35.99545742707426, 5.311274509803923, 7, 34
