Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 2.73281192779541, 2, 5, 23, 1, 7, 2.6646761894226074, 1.3323380947113037, 5.0
Language_1, 2.7312238216400146, 2, 2, 22, 2, 7, 2.6618478298187256, 1.3309239149093628, 2.0
Language_2, 4.064934253692627, 3, 4, 30, 2, 7, 3.9902448654174805, 1.330081621805827, 4.0
Language_3, 2.7589480876922607, 2, 4, 23, 1, 7, 2.6905717849731445, 1.3452858924865723, 4.0
Language_4, 4.557182788848877, 3, 3, 30, 3, 7, 4.482266902923584, 1.4940889676411946, 2.5
Language_5, 2.7414908409118652, 2, 5, 23, 1, 7, 2.672558069229126, 1.336279034614563, 5.0
Language_6, 2.73081111907959, 2, 2, 22, 2, 7, 2.6618857383728027, 1.3309428691864014, 2.0
Language_7, 2.8118090629577637, 2, 4, 23, 1, 7, 2.7428858280181885, 1.3714429140090942, 4.0
Language_8, 3.976532220840454, 3, 3, 31, 2, 7, 3.9004769325256348, 1.300158977508545, 2.5
Language_9, 2.87282395362854, 2, 4, 22, 1, 7, 2.8057050704956055, 1.4028525352478027, 4.0
Language_10, 2.7099437713623047, 2, 4, 23, 1, 7, 2.642158031463623, 1.3210790157318115, 4.0
Language_11, 2.877897262573242, 2, 4, 23, 1, 7, 2.8097951412200928, 1.4048975706100464, 4.0
Language_12, 2.692568063735962, 2, 4, 23, 1, 7, 2.6247401237487793, 1.3123700618743896, 4.0
Language_13, 4.231968879699707, 3, 4, 32, 2, 7, 4.155903100967407, 1.3853010336558025, 4.0
Language_14, 2.7583718299865723, 2, 4, 21, 1, 7, 2.6913018226623535, 1.3456509113311768, 4.0
Language_15, 2.85703706741333, 2, 4, 22, 1, 7, 2.7884202003479004, 1.3942101001739502, 4.0
Language_16, 2.702249050140381, 2, 4, 22, 1, 7, 2.633162021636963, 1.3165810108184814, 4.0
Language_17, 2.7027671337127686, 2, 3, 23, 2, 7, 2.6318469047546387, 1.3159234523773193, 3.0
Language_18, 2.7644641399383545, 2, 2, 22, 2, 7, 2.6955060958862305, 1.3477530479431152, 2.0
Language_19, 2.942802906036377, 2, 4, 23, 1, 7, 2.875347852706909, 1.4376739263534546, 4.0
Language_20, 2.6879820823669434, 2, 4, 23, 1, 7, 2.62085223197937, 1.310426115989685, 4.0
Language_21, 2.888350009918213, 2, 4, 23, 1, 7, 2.821274995803833, 1.4106374979019165, 4.0
Language_22, 2.6533000469207764, 2, 4, 22, 1, 7, 2.5861527919769287, 1.2930763959884644, 4.0
Language_23, 3.0976791381835938, 2, 4, 22, 1, 7, 3.029707193374634, 1.514853596687317, 4.0
Language_24, 2.8365797996520996, 2, 4, 23, 1, 7, 2.7696080207824707, 1.3848040103912354, 4.0
Language_25, 2.706176996231079, 2, 4, 23, 1, 7, 2.6385674476623535, 1.3192837238311768, 4.0
Language_26, 5.472916841506958, 4, 5, 41, 2, 7, 5.3857080936431885, 1.3464270234107971, 4.666666666666667
Language_27, 2.748553991317749, 2, 4, 22, 1, 7, 2.6806259155273438, 1.3403129577636719, 4.0
Language_28, 2.714462995529175, 2, 4, 23, 1, 7, 2.6462502479553223, 1.3231251239776611, 4.0
Language_29, 1.4237661361694336, 1, 0, 14, 1, 7, 1.3591787815093994, 1.3591787815093994, 0
Language_30, 6.88335108757019, 5, 6, 50, 2, 7, 6.772938966751099, 1.3545877933502197, 4.25
Language_31, 2.747964859008789, 2, 4, 23, 1, 7, 2.67852783203125, 1.339263916015625, 4.0
Language_32, 2.821023941040039, 2, 4, 22, 1, 7, 2.752225160598755, 1.3761125802993774, 4.0
Language_33, 2.7306461334228516, 2, 4, 22, 1, 7, 2.6791601181030273, 1.3395800590515137, 4.0
Language_34, 5.7627739906311035, 4, 4, 40, 3, 7, 5.6705780029296875, 1.4176445007324219, 3.6666666666666665
Language_35, 2.7330539226531982, 2, 4, 23, 1, 7, 2.6647047996520996, 1.3323523998260498, 4.0
Language_36, 4.073354959487915, 3, 4, 30, 1, 7, 4.000203847885132, 1.3334012826283772, 3.5
Language_37, 2.7378358840942383, 2, 4, 23, 1, 7, 2.6702330112457275, 1.3351165056228638, 4.0
Language_38, 2.7314720153808594, 2, 4, 21, 1, 7, 2.6782500743865967, 1.3391250371932983, 4.0
Language_39, 6.776755094528198, 4, 6, 42, 2, 7, 6.6928770542144775, 1.6732192635536194, 4.0
Language_40, 2.7917490005493164, 2, 4, 22, 1, 7, 2.7220568656921387, 1.3610284328460693, 4.0
Language_41, 4.1155922412872314, 3, 5, 30, 2, 7, 4.056560516357422, 1.3521868387858074, 4.5
Language_42, 3.1252050399780273, 2, 4, 22, 1, 7, 3.0732128620147705, 1.5366064310073853, 4.0
Language_43, 2.6706888675689697, 2, 4, 22, 1, 7, 2.602558135986328, 1.301279067993164, 4.0
Language_44, 2.798224925994873, 2, 4, 23, 1, 7, 2.7298810482025146, 1.3649405241012573, 4.0
Language_45, 2.735349178314209, 2, 4, 22, 1, 7, 2.668055772781372, 1.334027886390686, 4.0
Language_46, 2.814671039581299, 2, 4, 22, 2, 7, 2.7431859970092773, 1.3715929985046387, 4.0
Language_47, 2.6892783641815186, 2, 4, 21, 1, 7, 2.620500087738037, 1.3102500438690186, 4.0
Language_48, 2.8465421199798584, 2, 4, 22, 1, 7, 2.777949094772339, 1.3889745473861694, 4.0
Language_49, 2.8735909461975098, 2, 4, 22, 1, 7, 2.8220670223236084, 1.4110335111618042, 4.0
Language_50, 2.703364849090576, 2, 4, 23, 1, 7, 2.6323564052581787, 1.3161782026290894, 4.0
Language_51, 2.726093053817749, 2, 3, 22, 2, 7, 2.6563830375671387, 1.3281915187835693, 3.0
Language_52, 2.7084670066833496, 2, 4, 22, 1, 7, 2.6394879817962646, 1.3197439908981323, 4.0
Language_53, 2.7560551166534424, 2, 4, 22, 1, 7, 2.688277244567871, 1.3441386222839355, 4.0
