Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 3.605499029159546, 2, 4, 24, 2, 8, 3.487416982650757, 1.7437084913253784, 4.0
Language_1, 3.2698581218719482, 2, 4, 26, 1, 8, 3.1476070880889893, 1.5738035440444946, 4.0
Language_2, 4.579600095748901, 3, 4, 34, 2, 8, 4.455843210220337, 1.4852810700734456, 3.5
Language_3, 6.020629405975342, 4, 6, 45, 2, 8, 5.88321590423584, 1.47080397605896, 3.6666666666666665
Language_4, 5.311418771743774, 3, 5, 35, 2, 8, 5.182214260101318, 1.7274047533671062, 4.5
Language_5, 5.130284070968628, 3, 5, 36, 2, 8, 5.000774145126343, 1.6669247150421143, 4.0
Language_6, 3.090426206588745, 2, 3, 24, 2, 8, 2.9953715801239014, 1.4976857900619507, 3.0
Language_7, 4.5665318965911865, 3, 5, 34, 2, 8, 4.3997437953948975, 1.4665812651316326, 4.5
Language_8, 3.1121809482574463, 2, 4, 23, 2, 8, 3.020174980163574, 1.510087490081787, 4.0
Language_9, 4.890587091445923, 3, 4, 35, 2, 8, 4.766404867172241, 1.588801622390747, 3.5
Language_10, 4.978348016738892, 3, 4, 34, 2, 8, 4.851066827774048, 1.6170222759246826, 4.0
Language_11, 3.0900111198425293, 2, 4, 23, 3, 8, 2.9708590507507324, 1.4854295253753662, 4.0
Language_12, 8.815569877624512, 5, 7, 57, 2, 8, 8.654433488845825, 1.730886697769165, 4.75
Language_13, 3.5041489601135254, 2, 3, 26, 2, 8, 3.383010149002075, 1.6915050745010376, 3.0
Language_14, 3.013277053833008, 2, 4, 25, 2, 8, 2.8924999237060547, 1.4462499618530273, 4.0
Language_15, 3.443787097930908, 2, 5, 23, 2, 8, 3.323852062225342, 1.661926031112671, 5.0
Language_16, 9.424310684204102, 5, 5, 57, 2, 8, 9.276187419891357, 1.8552374839782715, 3.75
Language_17, 3.1598191261291504, 2, 4, 26, 2, 8, 3.0379719734191895, 1.5189859867095947, 4.0
Language_18, 2.973996877670288, 2, 4, 24, 1, 8, 2.854306936264038, 1.427153468132019, 4.0
Language_19, 3.272226095199585, 2, 4, 23, 2, 8, 3.1518218517303467, 1.5759109258651733, 4.0
Language_20, 3.216729164123535, 2, 3, 24, 2, 8, 3.1231911182403564, 1.5615955591201782, 3.0
Language_21, 3.5331790447235107, 2, 3, 24, 2, 8, 3.437730312347412, 1.718865156173706, 3.0
Language_22, 2.998278856277466, 2, 4, 25, 2, 8, 2.880300283432007, 1.4401501417160034, 4.0
Language_23, 3.5237600803375244, 2, 5, 26, 1, 8, 3.4037296772003174, 1.7018648386001587, 5.0
Language_24, 6.694320917129517, 4, 5, 42, 2, 8, 6.561115026473999, 1.6402787566184998, 4.0
Language_25, 6.7603209018707275, 4, 5, 41, 2, 8, 6.654137849807739, 1.6635344624519348, 4.333333333333333
Language_26, 3.391921043395996, 2, 4, 25, 1, 8, 3.274311065673828, 1.637155532836914, 4.0
Language_27, 3.4548351764678955, 2, 4, 24, 2, 8, 3.3359410762786865, 1.6679705381393433, 4.0
Language_28, 5.501312732696533, 2, 3, 23, 2, 8, 5.382367372512817, 2.6911836862564087, 3.0
Language_29, 3.7713191509246826, 2, 4, 26, 1, 8, 3.6500298976898193, 1.8250149488449097, 4.0
Language_30, 6.336390018463135, 4, 6, 49, 1, 8, 6.199381351470947, 1.5498453378677368, 4.333333333333333
Language_31, 6.8676371574401855, 4, 4, 46, 2, 8, 6.736114263534546, 1.6840285658836365, 3.6666666666666665
Language_32, 2.8106560707092285, 2, 4, 24, 2, 8, 2.6934168338775635, 1.3467084169387817, 4.0
Language_33, 4.516941070556641, 3, 4, 35, 2, 8, 4.391138792037964, 1.4637129306793213, 3.5
Language_34, 3.4253718852996826, 2, 4, 25, 1, 8, 3.3037960529327393, 1.6518980264663696, 4.0
Language_35, 5.052148103713989, 3, 5, 32, 2, 8, 4.979036092758179, 1.6596786975860596, 4.5
Language_36, 3.4301750659942627, 2, 2, 25, 2, 8, 3.3116841316223145, 1.6558420658111572, 2.0
Language_37, 6.148618936538696, 4, 4, 45, 2, 8, 6.010454416275024, 1.502613604068756, 4.0
Language_38, 5.310847997665405, 3, 5, 31, 2, 8, 5.214517116546631, 1.7381723721822102, 5.0
Language_39, 9.82900595664978, 5, 6, 55, 2, 8, 9.67517375946045, 1.9350347518920898, 4.25
Language_40, 3.0582468509674072, 2, 4, 25, 1, 8, 2.937669038772583, 1.4688345193862915, 4.0
Language_41, 7.8832738399505615, 5, 5, 54, 2, 8, 7.726671934127808, 1.5453343868255616, 4.0
Language_42, 3.016422986984253, 2, 4, 24, 1, 8, 2.8939383029937744, 1.4469691514968872, 4.0
Language_43, 4.727401971817017, 3, 4, 35, 2, 8, 4.598259210586548, 1.5327530701955159, 3.5
Language_44, 4.233482122421265, 2, 3, 24, 2, 8, 4.113662242889404, 2.056831121444702, 3.0
Language_45, 7.961735963821411, 5, 6, 56, 2, 8, 7.7988903522491455, 1.5597780704498292, 5.0
Language_46, 3.080019950866699, 2, 3, 24, 3, 8, 2.94130802154541, 1.470654010772705, 3.0
Language_47, 3.626244306564331, 2, 5, 25, 2, 8, 3.504661798477173, 1.7523308992385864, 5.0
Language_48, 3.318446159362793, 2, 3, 26, 2, 8, 3.196485996246338, 1.598242998123169, 3.0
Language_49, 5.227635145187378, 3, 4, 35, 2, 8, 5.096027612686157, 1.6986758708953857, 3.5
Language_50, 6.6868720054626465, 4, 5, 44, 2, 8, 6.5546088218688965, 1.6386522054672241, 4.0
Language_51, 4.3819379806518555, 3, 3, 30, 1, 8, 4.258557319641113, 1.4195191065470378, 3.0
Language_52, 5.389950275421143, 3, 7, 33, 2, 8, 5.264439344406128, 1.7548131148020427, 6.0
Language_53, 4.8513689041137695, 3, 7, 33, 2, 8, 4.725839376449585, 1.5752797921498616, 5.0
Language_54, 3.1229407787323, 2, 2, 24, 2, 8, 3.0046989917755127, 1.5023494958877563, 2.0
Language_55, 3.283501148223877, 2, 5, 26, 1, 8, 3.164945602416992, 1.582472801208496, 5.0
Language_56, 3.487334966659546, 2, 5, 25, 1, 8, 3.365834951400757, 1.6829174757003784, 5.0
Language_57, 4.192138910293579, 2, 2, 25, 2, 8, 4.06969690322876, 2.03484845161438, 2.0
Language_58, 3.291546106338501, 2, 4, 26, 1, 8, 3.17250394821167, 1.586251974105835, 4.0
Language_59, 6.5694661140441895, 4, 4, 46, 2, 8, 6.428800821304321, 1.6072002053260803, 4.0
Language_60, 5.166639089584351, 3, 3, 33, 3, 8, 5.037630319595337, 1.679210106531779, 3.0
