Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length,,
Language_0, SAT Failed,,,,,,,,,,
Language_1,183.865660905838,3,4,50,3,12,182.91337299346900,60.97112433115640,3.5,,
Language_2,214.74873399734500,4,5,65,2,12,213.73419618606600,53.43354904651640,4.333333333333330,,
Language_3,86.7032310962677,4,5,56,2,11,86.09576606750490,21.52394151687620,4.333333333333330,,
Language_4,201.36156702041600,4,6,53,2,12,200.68426775932300,50.17106693983080,4.333333333333330,,
Language_5, SAT Failed,,,,,,,,,,
Language_6, SAT Failed,,,,,,,,,,
Language_7,69.89220809936520,4,5,60,2,12,68.90014815330510,17.225037038326300,4.666666666666670,,
Language_8,70.09266686439510,3,6,47,2,12,69.08254480361940,23.027514934539800,4.5,,
Language_9,57.454920053482100,4,7,57,2,12,56.76172995567320,14.190432488918300,5.0,,
Language_10,251.7659981250760,5,5,76,2,12,250.90586829185500,50.18117365837100,4.0,,
Language_11, SAT Failed,,,,,,,,,,
Language_12,40.844091176986700,3,5,46,2,12,39.989460706710800,13.329820235570300,5.0,,
Language_13,106.30682492256200,6,6,86,2,12,105.42112994194000,17.57018832365670,5.4,,
Language_14,143.52614307403600,6,6,87,2,12,142.4849772453310,23.747496207555100,5.0,,
Language_15, SAT Failed,,,,,,,,,,
Language_16, SAT Failed,,,,,,,,,,
Language_17, SAT Failed,,,,,,,,,,
Language_18, SAT Failed,,,,,,,,,,
Language_19,75.5053038597107,3,5,49,2,12,74.66176438331600,24.88725479443870,4.0,,
Language_20,172.97763013839700,3,4,46,2,12,172.00117707252500,57.333725690841700,4.0,,
Language_21,291.33315205574000,5,9,73,2,12,290.4851257801060,58.09702515602110,5.25,,
Language_22,191.47569584846500,2,4,35,2,12,190.48758006095900,95.24379003047940,4.0,,
Language_23, SAT Failed,,,,,,,,,,
Language_24,113.75965476036100,3,5,48,2,12,112.79777526855500,37.59925842285160,4.0,,
Language_25, SAT Failed,,,,,,,,,,
Language_26, SAT Failed,,,,,,,,,,
Language_27, SAT Failed,,,,,,,,,,
Language_28,130.76640915870700,2,4,36,2,12,129.79030299186700,64.89515149593350,4.0,,
Language_29,294.80169582366900,7,6,98,2,12,293.88615584373500,41.98373654910500,5.0,,
Language_30,69.64943289756780,2,5,35,2,12,68.66331505775450,34.33165752887730,5.0,,
Language_31,197.30471181869500,4,6,63,3,12,196.33538818359400,49.08384704589840,4.666666666666670,,
Language_32,69.54050827026370,3,5,49,2,12,68.56829881668090,22.856099605560300,4.0,,
Language_33, SAT Failed,,,,,,,,,,
Language_34, SAT Failed,,,,,,,,,,
Language_35,300.3424918651580,4,4,66,2,12,299.3646984100340,74.84117460250850,3.6666666666666700,,
Language_36,15.35393500328060,2,4,34,3,12,14.402143001556400,7.201071500778200,4.0,,
Language_37,257.15762400627100,6,6,80,3,12,256.2939176559450,42.71565294265750,4.2,,
