Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length,,
Language_0,5.511868953704830,2,2,29,2,11,5.137217998504640,2.5686089992523200,2.0,,
Language_1,26.078286170959500,5,6,70,3,11,25.46095895767210,5.0921917915344200,4.25,,
Language_2,29.978258848190300,7,6,82,4,11,29.402068853378300,4.200295550482610,4.666666666666670,,
Language_3,23.903199911117600,3,5,41,3,11,23.507941961288500,7.835980653762820,4.0,,
Language_4,19.501389026641800,4,5,46,3,11,19.207303524017300,4.8018258810043300,3.6666666666666700,,
Language_5,13.917041301727300,2,5,31,2,11,13.521881341934200,6.760940670967100,5.0,,
Language_6,12.291900873184200,3,5,47,2,11,11.71939730644230,3.906465768814090,4.5,,
Language_7,48.19473195075990,3,6,42,3,11,47.61447048187260,15.871490160624200,4.5,,
Language_8,52.103493213653600,5,7,69,3,11,51.56959819793700,10.313919639587400,5.5,,
Language_9,136.16814494133000,4,5,53,2,11,135.6598780155180,33.91496950387960,4.333333333333330,,
Language_10,52.99986004829410,5,6,72,2,11,52.35736894607540,10.471473789215100,4.75,,
Language_11,31.05225419998170,2,3,29,2,11,30.48312497138980,15.241562485694900,3.0,,
Language_12,28.16421389579770,3,3,46,3,11,27.55962824821470,9.186542749404910,3.0,,
Language_13, SAT Failed,,,,,,,,,,
Language_14,28.99982500076290,3,4,43,2,11,28.402339935302700,9.467446645100910,3.5,,
Language_15,27.436609983444200,3,4,42,3,11,26.839999198913600,8.946666399637860,3.0,,
Language_16,31.44163680076600,6,9,77,2,11,30.80210518836980,5.1336841980616300,6.2,,
Language_17, SAT Failed,,,,,,,,,,
Language_18,93.3142499923706,5,6,65,2,11,92.79069089889530,18.558138179779100,4.25,,
Language_19,41.668352127075200,4,6,58,2,11,41.17349672317510,10.293374180793800,4.666666666666670,,
Language_20,65.07867121696470,6,6,77,2,11,64.61135172843930,10.768558621406600,4.2,,
Language_21,70.58827090263370,4,13,61,2,11,69.97899127006530,17.494747817516300,8.333333333333330,,
Language_22,70.93062019348150,7,5,85,3,11,70.39172911643980,10.055961302348500,4.333333333333330,,
Language_23,31.366605043411300,4,5,57,3,11,30.75502610206600,7.68875652551651,3.3333333333333300,,
Language_24, SAT Failed,,,,,,,,,,
Language_25,64.54824209213260,6,6,77,2,11,64.09312319755550,10.68218719959260,4.4,,
Language_26,22.75077199935910,4,4,52,2,11,22.33659791946410,5.584149479866030,3.3333333333333300,,
Language_27,65.90495085716250,3,5,44,2,11,65.32786989212040,21.775956630706800,4.5,,
Language_28,42.97849893569950,6,8,86,2,11,42.3462119102478,7.057701985041300,5.0,,
Language_29,76.25521683692930,7,5,91,2,11,75.6802589893341,10.811465569904900,4.0,,
