Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 1.1466929912567139, 1, 0, 4, 1, 2, 1.1463401317596436, 1.1463401317596436, 0
Language_1, 1.1388118267059326, 1, 0, 3, 1, 2, 1.138545036315918, 1.138545036315918, 0
Language_2, 1.1445910930633545, 1, 0, 4, 1, 2, 1.1442301273345947, 1.1442301273345947, 0
Language_3, 1.141573190689087, 1, 0, 3, 1, 2, 1.1413509845733643, 1.1413509845733643, 0
Language_4, 1.1283700466156006, 1, 0, 3, 1, 2, 1.1280617713928223, 1.1280617713928223, 0
Language_5, 1.1325697898864746, 1, 0, 4, 1, 2, 1.132232904434204, 1.132232904434204, 0
Language_6, 2.284595251083374, 2, 3, 7, 1, 2, 2.2838571071624756, 1.1419285535812378, 3.0
Language_7, 2.270186185836792, 2, 3, 5, 1, 2, 2.2696146965026855, 1.1348073482513428, 3.0
Language_8, 1.13814115524292, 1, 0, 4, 1, 2, 1.1377809047698975, 1.1377809047698975, 0
Language_9, 1.1467583179473877, 1, 0, 4, 1, 2, 1.1464622020721436, 1.1464622020721436, 0
Language_10, 1.132828950881958, 1, 0, 4, 1, 2, 1.1324808597564697, 1.1324808597564697, 0
Language_11, 1.1328520774841309, 1, 0, 4, 1, 2, 1.1325790882110596, 1.1325790882110596, 0
Language_12, 1.1486411094665527, 1, 0, 4, 1, 2, 1.1482949256896973, 1.1482949256896973, 0
Language_13, 1.1866469383239746, 1, 0, 4, 1, 2, 1.1862950325012207, 1.1862950325012207, 0
Language_14, 1.1632213592529297, 1, 0, 4, 1, 2, 1.1628570556640625, 1.1628570556640625, 0
Language_15, 1.1484251022338867, 1, 0, 4, 1, 2, 1.1480729579925537, 1.1480729579925537, 0
Language_16, 1.142482042312622, 1, 0, 4, 1, 2, 1.1421260833740234, 1.1421260833740234, 0
Language_17, 1.1412720680236816, 1, 0, 2, 1, 2, 1.1410949230194092, 1.1410949230194092, 0
Language_18, 1.1397738456726074, 1, 0, 4, 1, 2, 1.1394202709197998, 1.1394202709197998, 0
Language_19, 1.1422197818756104, 1, 0, 4, 1, 2, 1.1418581008911133, 1.1418581008911133, 0
Language_20, 1.1413838863372803, 1, 0, 4, 1, 2, 1.1410129070281982, 1.1410129070281982, 0
Language_21, 1.169018030166626, 1, 0, 4, 1, 2, 1.1686642169952393, 1.1686642169952393, 0
Language_22, 1.137742042541504, 1, 0, 4, 1, 2, 1.13739013671875, 1.13739013671875, 0
Language_23, 1.142395257949829, 1, 0, 4, 1, 2, 1.1420249938964844, 1.1420249938964844, 0
Language_24, 1.1320719718933105, 1, 0, 4, 1, 2, 1.1318120956420898, 1.1318120956420898, 0
Language_25, 1.1401901245117188, 1, 0, 3, 1, 2, 1.1398649215698242, 1.1398649215698242, 0
Language_26, 1.1484732627868652, 1, 0, 4, 1, 2, 1.1481199264526367, 1.1481199264526367, 0
Language_27, 1.1428310871124268, 1, 0, 4, 1, 2, 1.1424639225006104, 1.1424639225006104, 0
Language_28, 1.1447269916534424, 1, 0, 4, 1, 2, 1.1443688869476318, 1.1443688869476318, 0
Language_29, 1.1513020992279053, 1, 0, 3, 1, 2, 1.1510632038116455, 1.1510632038116455, 0
Language_30, 1.1336030960083008, 1, 0, 4, 1, 2, 1.133232831954956, 1.133232831954956, 0
Language_31, 1.1394507884979248, 1, 0, 4, 1, 2, 1.1391031742095947, 1.1391031742095947, 0
Language_32, 1.1400480270385742, 1, 0, 3, 1, 2, 1.1397428512573242, 1.1397428512573242, 0
Language_33, 1.1349170207977295, 1, 0, 4, 1, 2, 1.1346211433410645, 1.1346211433410645, 0
Language_34, 1.1775460243225098, 1, 0, 4, 1, 2, 1.1772539615631104, 1.1772539615631104, 0
Language_35, 2.2890219688415527, 2, 4, 7, 1, 2, 2.2882561683654785, 1.1441280841827393, 4.0
Language_36, 1.143911361694336, 1, 0, 4, 1, 2, 1.1436069011688232, 1.1436069011688232, 0
Language_37, 2.2902209758758545, 2, 3, 6, 1, 2, 2.289541482925415, 1.1447707414627075, 3.0
Language_38, 1.145946979522705, 1, 0, 4, 1, 2, 1.1455681324005127, 1.1455681324005127, 0
Language_39, 1.1523950099945068, 1, 0, 4, 1, 2, 1.152038812637329, 1.152038812637329, 0
Language_40, 1.152726173400879, 1, 0, 4, 1, 2, 1.1523730754852295, 1.1523730754852295, 0
Language_41, 1.13801908493042, 1, 0, 3, 1, 2, 1.1377649307250977, 1.1377649307250977, 0
Language_42, 1.1364638805389404, 1, 0, 4, 1, 2, 1.1361749172210693, 1.1361749172210693, 0
Language_43, 1.1413400173187256, 1, 0, 4, 1, 2, 1.1409952640533447, 1.1409952640533447, 0
Language_44, 1.144542932510376, 1, 0, 4, 1, 2, 1.1442821025848389, 1.1442821025848389, 0
Language_45, 1.1772081851959229, 1, 0, 4, 1, 2, 1.17684006690979, 1.17684006690979, 0
Language_46, 1.1500253677368164, 1, 0, 4, 1, 2, 1.1496500968933105, 1.1496500968933105, 0
Language_47, 1.1397671699523926, 1, 0, 4, 1, 2, 1.1394319534301758, 1.1394319534301758, 0
Language_48, 1.1413061618804932, 1, 0, 4, 1, 2, 1.1409578323364258, 1.1409578323364258, 0
Language_49, 1.1426470279693604, 1, 0, 4, 1, 2, 1.1422746181488037, 1.1422746181488037, 0
Language_50, 1.1362738609313965, 1, 0, 3, 1, 2, 1.1360597610473633, 1.1360597610473633, 0
Language_51, 1.1492068767547607, 1, 0, 3, 1, 2, 1.1489830017089844, 1.1489830017089844, 0
Language_52, 1.1327881813049316, 1, 0, 4, 1, 2, 1.1324360370635986, 1.1324360370635986, 0
Language_53, 1.1391241550445557, 1, 0, 4, 1, 2, 1.1388499736785889, 1.1388499736785889, 0
Language_54, 1.1505341529846191, 1, 0, 2, 1, 2, 1.1503078937530518, 1.1503078937530518, 0
Language_55, 1.1369891166687012, 1, 0, 4, 1, 2, 1.1366488933563232, 1.1366488933563232, 0
Language_56, 1.148979902267456, 1, 0, 4, 1, 2, 1.1486201286315918, 1.1486201286315918, 0
Language_57, 1.1473541259765625, 1, 0, 4, 1, 2, 1.1470069885253906, 1.1470069885253906, 0
Language_58, 1.166916847229004, 1, 0, 4, 1, 2, 1.1666221618652344, 1.1666221618652344, 0
Language_59, 1.1471960544586182, 1, 0, 4, 1, 2, 1.1468510627746582, 1.1468510627746582, 0
Language_60, 1.1708860397338867, 1, 0, 4, 1, 2, 1.1705410480499268, 1.1705410480499268, 0
Language_61, 1.1584608554840088, 1, 0, 3, 1, 2, 1.1581552028656006, 1.1581552028656006, 0
Language_62, 2.2902681827545166, 2, 3, 5, 1, 2, 2.2896411418914795, 1.1448205709457397, 3.0
Language_63, 1.1432318687438965, 1, 0, 4, 1, 2, 1.1428868770599365, 1.1428868770599365, 0
Language_64, 1.1455209255218506, 1, 0, 2, 1, 2, 1.1452949047088623, 1.1452949047088623, 0
Language_65, 1.1427268981933594, 1, 0, 4, 1, 2, 1.1423640251159668, 1.1423640251159668, 0
Language_66, 1.1508491039276123, 1, 0, 2, 1, 2, 1.1506688594818115, 1.1506688594818115, 0
Language_67, 1.150568962097168, 1, 0, 4, 1, 2, 1.1502106189727783, 1.1502106189727783, 0
Language_68, 1.1346170902252197, 1, 0, 4, 1, 2, 1.1343297958374023, 1.1343297958374023, 0
Language_69, 1.1781609058380127, 1, 0, 4, 1, 2, 1.177893877029419, 1.177893877029419, 0
Language_70, 1.1399290561676025, 1, 0, 4, 1, 2, 1.1395652294158936, 1.1395652294158936, 0
Language_71, 1.1481850147247314, 1, 0, 4, 1, 2, 1.1478877067565918, 1.1478877067565918, 0
Language_72, 1.149872064590454, 1, 0, 4, 1, 2, 1.1495978832244873, 1.1495978832244873, 0
Language_73, 1.132660150527954, 1, 0, 4, 1, 2, 1.1323089599609375, 1.1323089599609375, 0
Language_74, 1.1481783390045166, 1, 0, 4, 1, 2, 1.1478281021118164, 1.1478281021118164, 0
Language_75, 1.151550054550171, 1, 0, 3, 1, 2, 1.1512558460235596, 1.1512558460235596, 0
Language_76, 1.154965877532959, 1, 0, 4, 1, 2, 1.1545979976654053, 1.1545979976654053, 0
Language_77, 2.285633087158203, 2, 3, 6, 1, 2, 2.2849371433258057, 1.1424685716629028, 3.0
Language_78, 2.290724754333496, 2, 3, 7, 1, 2, 2.2899670600891113, 1.1449835300445557, 3.0
Language_79, 2.3176679611206055, 2, 3, 6, 1, 2, 2.316962480545044, 1.158481240272522, 3.0
Language_80, 1.1357219219207764, 1, 0, 4, 1, 2, 1.1353778839111328, 1.1353778839111328, 0
Language_81, 1.1462528705596924, 1, 0, 4, 1, 2, 1.1458959579467773, 1.1458959579467773, 0
Language_82, 1.139354944229126, 1, 0, 4, 1, 2, 1.1390020847320557, 1.1390020847320557, 0
Language_83, 1.1405260562896729, 1, 0, 2, 1, 2, 1.1403369903564453, 1.1403369903564453, 0
Language_84, 1.1339831352233887, 1, 0, 4, 1, 2, 1.1336297988891602, 1.1336297988891602, 0
Language_85, 1.1471891403198242, 1, 0, 4, 1, 2, 1.1468331813812256, 1.1468331813812256, 0
Language_86, 1.147726058959961, 1, 0, 4, 1, 2, 1.1474668979644775, 1.1474668979644775, 0
Language_87, 1.139681100845337, 1, 0, 4, 1, 2, 1.1393108367919922, 1.1393108367919922, 0
Language_88, 1.1486701965332031, 1, 0, 4, 1, 2, 1.1483261585235596, 1.1483261585235596, 0
Language_89, 1.1722891330718994, 1, 0, 4, 1, 2, 1.1719179153442383, 1.1719179153442383, 0
Language_90, 1.149704933166504, 1, 0, 4, 1, 2, 1.149355173110962, 1.149355173110962, 0
Language_91, 1.143014907836914, 1, 0, 4, 1, 2, 1.1426692008972168, 1.1426692008972168, 0
Language_92, 1.167022705078125, 1, 0, 4, 1, 2, 1.1667158603668213, 1.1667158603668213, 0
Language_93, 1.1385409832000732, 1, 0, 4, 1, 2, 1.138272762298584, 1.138272762298584, 0
Language_94, 1.14662504196167, 1, 0, 4, 1, 2, 1.1463649272918701, 1.1463649272918701, 0
Language_95, 1.1440868377685547, 1, 0, 4, 1, 2, 1.1438000202178955, 1.1438000202178955, 0
Language_96, 1.1390039920806885, 1, 0, 3, 1, 2, 1.1387789249420166, 1.1387789249420166, 0
Language_97, 1.1457929611206055, 1, 0, 3, 1, 2, 1.145495891571045, 1.145495891571045, 0
Language_98, 1.142164945602417, 1, 0, 3, 1, 2, 1.141860008239746, 1.141860008239746, 0
Language_99, 2.3293938636779785, 2, 3, 6, 1, 2, 2.328688144683838, 1.164344072341919, 3.0

Average, 1.2494866132736206, 1.09, 0.28, 3.95, 1.0, 2.0, 1.2491342997550965, 1.1459269726276398, 0.28, 2, 100
