Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 2.41452693939209, 2, 4, 15, 1, 5, 2.403046131134033, 1.2015230655670166, 4.0
Language_1, 2.4055967330932617, 2, 4, 16, 1, 5, 2.393470048904419, 1.1967350244522095, 4.0
Language_2, 2.3887269496917725, 2, 4, 15, 1, 5, 2.3772432804107666, 1.1886216402053833, 4.0
Language_3, 2.472450017929077, 2, 6, 17, 1, 5, 2.460216760635376, 1.230108380317688, 6.0
Language_4, 2.4106481075286865, 2, 4, 16, 1, 5, 2.3987491130828857, 1.1993745565414429, 4.0
Language_5, 2.4033961296081543, 2, 4, 16, 1, 5, 2.391580104827881, 1.1957900524139404, 4.0
Language_6, 2.431925058364868, 2, 5, 16, 1, 5, 2.4200439453125, 1.21002197265625, 5.0
Language_7, 2.4077699184417725, 2, 4, 17, 1, 5, 2.3957700729370117, 1.1978850364685059, 4.0
Language_8, 2.4083240032196045, 2, 5, 17, 1, 5, 2.3962371349334717, 1.1981185674667358, 5.0
Language_9, 2.4006130695343018, 2, 4, 17, 1, 5, 2.3885140419006348, 1.1942570209503174, 4.0
Language_10, 2.394812822341919, 2, 3, 15, 1, 5, 2.3833930492401123, 1.1916965246200562, 3.0
Language_11, 2.4338698387145996, 2, 5, 16, 1, 5, 2.4219613075256348, 1.2109806537628174, 5.0
Language_12, 2.415343999862671, 2, 4, 16, 2, 5, 2.4025888442993164, 1.2012944221496582, 4.0
Language_13, 2.4296140670776367, 2, 3, 15, 1, 5, 2.4181509017944336, 1.2090754508972168, 3.0
Language_14, 2.4130632877349854, 2, 4, 16, 1, 5, 2.4009757041931152, 1.2004878520965576, 4.0
Language_15, 2.400908946990967, 2, 4, 17, 1, 5, 2.38885498046875, 1.194427490234375, 4.0
Language_16, 2.4069859981536865, 2, 4, 15, 1, 5, 2.395449161529541, 1.1977245807647705, 4.0
Language_17, 2.453510046005249, 2, 4, 17, 1, 5, 2.4415619373321533, 1.2207809686660767, 4.0
Language_18, 2.408635139465332, 2, 4, 17, 2, 5, 2.395575761795044, 1.197787880897522, 4.0
Language_19, 2.4033029079437256, 2, 4, 16, 1, 5, 2.3915109634399414, 1.1957554817199707, 4.0
Language_20, 2.4000399112701416, 2, 4, 16, 1, 5, 2.388303279876709, 1.1941516399383545, 4.0
Language_21, 1.1947989463806152, 1, 0, 10, 1, 5, 1.1849780082702637, 1.1849780082702637, 0
Language_22, 2.4176158905029297, 2, 4, 16, 1, 5, 2.405864953994751, 1.2029324769973755, 4.0
Language_23, 2.4386441707611084, 2, 4, 16, 1, 5, 2.4296228885650635, 1.2148114442825317, 4.0
Language_24, 1.213709831237793, 1, 0, 10, 1, 5, 1.2038021087646484, 1.2038021087646484, 0
