Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length,,
Language_0,13.046118974685700,3,6,43,1,10,12.49047565460210,4.163491884867350,5.0,,
Language_1,16.711850881576500,4,4,56,2,10,16.147062301635700,4.0367655754089400,4.0,,
Language_2,13.754525899887100,3,4,43,2,10,13.187011957168600,4.395670652389530,4.0,,
Language_3,11.32108187675480,3,6,43,2,10,10.736408948898300,3.578802982966110,5.0,,
Language_4,6.784228086471560,2,4,31,1,10,6.2382121086120600,3.1191060543060300,4.0,,
Language_5,15.037212133407600,2,4,30,2,10,14.469313144683800,7.234656572341920,4.0,,
Language_6,13.608004093170200,2,3,31,2,10,13.041774988174400,6.520887494087220,3.0,,
Language_7,8.12104606628418,2,4,31,1,10,7.541785001754760,3.7708925008773800,4.0,,
Language_8,11.35265588760380,2,5,31,1,10,10.801866054534900,5.400933027267460,5.0,,
Language_9,9.454604864120480,2,4,31,1,10,8.894469976425170,4.4472349882125900,4.0,,
Language_10,9.331684112548830,2,3,31,2,10,8.767374992370610,4.383687496185300,3.0,,
Language_11,16.552881956100500,3,3,43,2,10,15.992374420166000,5.330791473388670,3.0,,
Language_12,11.565715789794900,2,2,30,2,10,11.018941164016700,5.509470582008360,2.0,,
Language_13,12.666036128997800,2,4,32,1,10,12.118012189865100,6.059006094932560,4.0,,
Language_14,10.522311925888100,3,5,41,1,10,9.95717716217041,3.3190590540568000,4.5,,
Language_15,7.2836689949035600,2,4,31,2,10,6.7342236042022700,3.3671118021011400,4.0,,
Language_16,19.218257904052700,4,5,50,2,10,18.788172721862800,4.697043180465700,4.0,,
Language_17,7.752746343612670,2,4,31,1,10,7.176869869232180,3.588434934616090,4.0,,
Language_18,9.2116060256958,2,4,30,1,10,8.641345024108890,4.320672512054440,4.0,,
Language_19,11.061769008636500,2,4,31,2,10,10.50698208808900,5.253491044044500,4.0,,
Language_20,8.64361310005188,2,4,31,1,10,8.070393800735470,4.035196900367740,4.0,,
Language_21,68.84931707382200,14,5,185,2,10,67.65033078193670,4.832166484424050,4.461538461538460,,
Language_22,8.720010995864870,2,3,30,1,10,8.151822090148930,4.075911045074460,3.0,,
Language_23,7.728334903717040,2,4,32,1,10,7.1385931968689000,3.5692965984344500,4.0,,
Language_24,8.586850881576540,2,4,31,1,10,8.01759672164917,4.008798360824590,4.0,,
Language_25,8.98574709892273,4,4,46,2,9,8.65323543548584,2.16330885887146,4.0,,
Language_26,15.358962297439600,4,5,54,2,10,14.756229877471900,3.689057469367980,4.0,,
Language_27,27.531055212020900,2,4,30,1,10,27.077725410461400,13.538862705230700,4.0,,
Language_28,14.229030132293700,3,5,42,2,10,13.77371096611020,4.59123698870341,4.0,,
Language_29,30.077506065368700,5,6,67,2,10,29.47346806526180,5.894693613052370,4.75,,
Language_30,8.568334817886350,2,4,31,1,10,7.992549896240230,3.996274948120120,4.0,,
Language_31,10.119472026825000,2,4,31,1,10,9.532880067825320,4.766440033912660,4.0,,
Language_32,6.673182964324950,2,4,32,1,10,6.122660875320440,3.0613304376602200,4.0,,
