Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 2.6813549995422363, 2, 5, 23, 1, 7, 2.639530897140503, 1.3197654485702515, 5.0
Language_1, 5.100281000137329, 4, 7, 28, 2, 7, 5.078490495681763, 1.2696226239204407, 4.333333333333333
Language_2, 5.593731164932251, 4, 10, 31, 2, 7, 5.570227861404419, 1.3925569653511047, 5.666666666666667
Language_3, 4.127449989318848, 3, 5, 30, 2, 7, 4.079514265060425, 1.3598380883534749, 4.5
Language_4, 3.967047929763794, 3, 5, 29, 2, 7, 3.9202589988708496, 1.3067529996236165, 4.5
Language_5, 5.124640941619873, 4, 6, 35, 2, 7, 5.083378314971924, 1.270844578742981, 4.666666666666667
Language_6, 4.106034994125366, 3, 5, 26, 2, 7, 4.061648845672607, 1.3538829485575359, 4.5
Language_7, 9.589489936828613, 7, 5, 65, 2, 7, 9.512961149215698, 1.358994449887957, 4.166666666666667
Language_8, 4.124356031417847, 3, 4, 30, 3, 7, 4.073741674423218, 1.357913891474406, 4.0
Language_9, 5.553668975830078, 4, 6, 36, 2, 7, 5.5121376514434814, 1.3780344128608704, 5.333333333333333
Language_10, 2.6120331287384033, 2, 3, 18, 2, 7, 2.588829755783081, 1.2944148778915405, 3.0
Language_11, 4.368008852005005, 3, 5, 30, 2, 7, 4.318914175033569, 1.4396380583445232, 4.0
Language_12, 4.901957273483276, 3, 4, 30, 3, 7, 4.8521409034729, 1.6173803011576335, 3.0
Language_13, 2.8395183086395264, 2, 4, 23, 1, 7, 2.7976410388946533, 1.3988205194473267, 4.0
Language_14, 2.6925251483917236, 2, 2, 20, 1, 7, 2.661759853363037, 1.3308799266815186, 2.0
Language_15, 4.200007915496826, 3, 6, 31, 1, 7, 4.154991149902344, 1.384997049967448, 4.5
Language_16, 4.184956073760986, 3, 4, 29, 2, 7, 4.1375110149383545, 1.379170338312785, 4.0
Language_17, 5.395391941070557, 4, 8, 30, 2, 7, 5.358294486999512, 1.339573621749878, 5.333333333333333
Language_18, 4.238116264343262, 3, 4, 30, 2, 7, 4.192665100097656, 1.3975550333658855, 3.5
Language_19, 2.9020028114318848, 2, 6, 21, 2, 7, 2.858596086502075, 1.4292980432510376, 6.0
Language_20, 3.5749576091766357, 3, 4, 21, 2, 6, 3.54845929145813, 1.1828197638193767, 3.5
Language_21, 2.6205577850341797, 2, 4, 20, 2, 7, 2.578260898590088, 1.289130449295044, 4.0
Language_22, 4.214771032333374, 3, 6, 27, 2, 7, 4.18898868560791, 1.3963295618693035, 4.5
Language_23, 2.57387113571167, 2, 5, 21, 1, 7, 2.532489776611328, 1.266244888305664, 5.0
Language_24, 2.531101942062378, 2, 4, 19, 2, 7, 2.488718271255493, 1.2443591356277466, 4.0
