Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 5.96843695640564, 3, 5, 31, 2, 9, 5.85101580619812, 1.95033860206604, 4.0
Language_1, 7.575107097625732, 4, 5, 45, 3, 9, 7.466841220855713, 1.8667103052139282, 4.0
Language_2, 9.492733001708984, 5, 9, 53, 3, 9, 9.369705200195312, 1.8739410400390626, 7.25
Language_3, 4.768949031829834, 3, 6, 26, 2, 8, 4.708406686782837, 1.569468895594279, 5.0
Language_4, 14.524255990982056, 5, 11, 45, 2, 9, 14.437187194824219, 2.887437438964844, 8.5
Language_5, 2.522778272628784, 2, 5, 21, 2, 7, 2.4882049560546875, 1.2441024780273438, 5.0
Language_6, 5.95060396194458, 3, 8, 33, 2, 9, 5.871098279953003, 1.9570327599843342, 6.0
Language_7, 5.34817099571228, 4, 6, 25, 3, 8, 5.33999228477478, 1.334998071193695, 5.666666666666667
Language_8, 3.2264819145202637, 2, 4, 22, 2, 9, 3.1345245838165283, 1.5672622919082642, 4.0
Language_9, 8.519587993621826, 4, 4, 29, 2, 9, 8.474298000335693, 2.1185745000839233, 3.6666666666666665
Language_10, 3.8853209018707275, 3, 5, 25, 2, 8, 3.8612730503082275, 1.2870910167694092, 4.5
Language_11, 2.6169939041137695, 2, 2, 22, 2, 8, 2.572707414627075, 1.2863537073135376, 2.0
Language_12, 5.283595085144043, 4, 10, 31, 3, 8, 5.230559825897217, 1.3076399564743042, 5.333333333333333
Language_13, 10.686076879501343, 5, 6, 39, 3, 9, 10.63368034362793, 2.126736068725586, 4.25
Language_14, 12.939345121383667, 4, 9, 38, 3, 9, 12.850489139556885, 3.212622284889221, 8.0
Language_15, 4.321516990661621, 3, 6, 26, 2, 9, 4.222068548202515, 1.4073561827341716, 5.0
Language_16, 6.423512935638428, 4, 6, 41, 3, 9, 6.294703960418701, 1.5736759901046753, 4.333333333333333
Language_17, 13.452749729156494, 2, 3, 27, 2, 9, 13.350433826446533, 6.675216913223267, 3.0
Language_18, 9.614082098007202, 5, 11, 57, 2, 9, 9.515139102935791, 1.9030278205871582, 6.25
Language_19, 6.167030096054077, 4, 6, 39, 2, 8, 6.084161996841431, 1.5210404992103577, 5.0
Language_20, 5.391143798828125, 3, 6, 21, 3, 9, 5.3861236572265625, 1.7953745524088542, 5.0
Language_21, 28.690048933029175, 7, 10, 72, 3, 9, 28.512283086776733, 4.073183298110962, 6.333333333333333
Language_22, 4.573725938796997, 3, 5, 30, 2, 9, 4.477801322937012, 1.492600440979004, 4.0
Language_23, 6.372429847717285, 4, 5, 36, 2, 9, 6.28911566734314, 1.572278916835785, 3.6666666666666665
Language_24, 6.266435861587524, 4, 5, 38, 2, 9, 6.141448020935059, 1.5353620052337646, 4.666666666666667
Language_25, 6.358460903167725, 4, 7, 33, 2, 9, 6.261300086975098, 1.5653250217437744, 6.0
Language_26, 3.526310920715332, 2, 5, 25, 2, 9, 3.452450752258301, 1.7262253761291504, 5.0
Language_27, 8.40478801727295, 5, 7, 50, 2, 9, 8.269942283630371, 1.6539884567260743, 5.0
Language_28, 4.835345268249512, 4, 5, 28, 2, 7, 4.797708034515381, 1.1994270086288452, 5.0
Language_29, 5.1739442348480225, 3, 6, 28, 3, 9, 5.116382122039795, 1.7054607073465984, 4.5
Language_30, 6.256147861480713, 4, 7, 37, 2, 9, 6.208353519439697, 1.5520883798599243, 4.666666666666667
Language_31, 6.846285820007324, 3, 8, 28, 2, 9, 6.749974250793457, 2.2499914169311523, 6.0
Language_32, 5.477948904037476, 4, 9, 42, 2, 8, 5.390470743179321, 1.3476176857948303, 7.0
Language_33, 2.75594425201416, 2, 3, 21, 3, 9, 2.699453115463257, 1.3497265577316284, 3.0
Language_34, 2.6646580696105957, 2, 3, 20, 2, 8, 2.6034998893737793, 1.3017499446868896, 3.0
