Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 4.994625091552734, 2, 4, 28, 1, 9, 4.705687761306763, 2.3528438806533813, 4.0
Language_1, 4.578742980957031, 2, 4, 28, 1, 9, 4.29095983505249, 2.145479917526245, 4.0
Language_2, 4.578657865524292, 2, 5, 27, 1, 9, 4.284339666366577, 2.1421698331832886, 5.0
Language_3, 4.516658067703247, 2, 4, 29, 1, 9, 4.225337982177734, 2.112668991088867, 4.0
Language_4, 19.31840491294861, 7, 7, 82, 2, 9, 18.911269426345825, 2.7016099180494035, 4.5
Language_5, 4.560289144515991, 2, 3, 27, 1, 9, 4.268641233444214, 2.134320616722107, 3.0
Language_6, 5.393971920013428, 2, 4, 26, 1, 9, 5.103479623794556, 2.551739811897278, 4.0
Language_7, 4.485953092575073, 2, 4, 28, 1, 9, 4.1850762367248535, 2.0925381183624268, 4.0
Language_8, 4.612030982971191, 2, 4, 27, 1, 9, 4.323060750961304, 2.161530375480652, 4.0
Language_9, 6.155594110488892, 3, 4, 39, 2, 9, 5.8572471141815186, 1.9524157047271729, 3.5
Language_10, 4.644583225250244, 2, 4, 29, 1, 9, 4.350249290466309, 2.1751246452331543, 4.0
Language_11, 9.44038724899292, 3, 4, 38, 2, 9, 9.13129734992981, 3.0437657833099365, 3.5
Language_12, 12.523855209350586, 4, 5, 50, 2, 9, 12.180558919906616, 3.045139729976654, 4.0
Language_13, 7.0536110401153564, 3, 4, 39, 2, 9, 6.719632387161255, 2.239877462387085, 4.0
Language_14, 6.966499090194702, 3, 4, 36, 2, 9, 6.665018081665039, 2.221672693888346, 4.0
Language_15, 4.783184766769409, 2, 4, 29, 1, 9, 4.480557680130005, 2.2402788400650024, 4.0
Language_16, 9.639856100082397, 4, 4, 50, 2, 9, 9.325469017028809, 2.331367254257202, 3.3333333333333335
Language_17, 6.229089021682739, 3, 5, 41, 2, 9, 5.927478075027466, 1.9758260250091553, 4.5
Language_18, 5.580059766769409, 2, 4, 29, 1, 9, 5.284008979797363, 2.6420044898986816, 4.0
Language_19, 4.611481189727783, 2, 3, 29, 2, 9, 4.311153173446655, 2.1555765867233276, 3.0
Language_20, 4.562398910522461, 2, 5, 28, 1, 9, 4.273051500320435, 2.1365257501602173, 5.0
Language_21, 11.548315048217773, 4, 5, 52, 2, 9, 11.235688209533691, 2.808922052383423, 4.333333333333333
Language_22, 6.686630010604858, 2, 4, 26, 1, 9, 6.505554676055908, 3.252777338027954, 4.0
Language_23, 6.926979064941406, 3, 5, 39, 2, 9, 6.626875638961792, 2.208958546320597, 4.5
Language_24, 4.634763956069946, 2, 4, 28, 1, 9, 4.403487920761108, 2.201743960380554, 4.0
Language_25, 13.791603803634644, 5, 4, 60, 2, 9, 13.453918695449829, 2.690783739089966, 3.75
Language_26, 8.410794973373413, 3, 6, 40, 2, 9, 8.104395151138306, 2.701465050379435, 5.0
Language_27, 4.3928351402282715, 2, 3, 28, 2, 9, 4.09477686882019, 2.047388434410095, 3.0
Language_28, 5.522768974304199, 2, 3, 29, 2, 9, 5.231244802474976, 2.615622401237488, 3.0
Language_29, 7.509876012802124, 3, 4, 37, 2, 9, 7.212574243545532, 2.4041914145151773, 4.0
Language_30, 12.114357948303223, 3, 6, 38, 2, 9, 11.814812898635864, 3.9382709662119546, 5.0
Language_31, 4.3882787227630615, 2, 4, 28, 1, 9, 4.085726976394653, 2.0428634881973267, 4.0
Language_32, 4.585934162139893, 2, 4, 28, 1, 9, 4.252680063247681, 2.1263400316238403, 4.0
Language_33, 10.064644813537598, 4, 4, 50, 1, 9, 9.754520416259766, 2.4386301040649414, 3.3333333333333335
Language_34, 4.765619993209839, 2, 4, 29, 1, 9, 4.457449674606323, 2.2287248373031616, 4.0
Language_35, 14.419749021530151, 4, 5, 50, 3, 9, 14.084073543548584, 3.521018385887146, 4.333333333333333
Language_36, 23.135470151901245, 8, 4, 94, 2, 9, 22.70590877532959, 2.8382385969161987, 3.4285714285714284
Language_37, 5.84277081489563, 2, 4, 29, 1, 9, 5.530133962631226, 2.765066981315613, 4.0
Language_38, 7.023180961608887, 3, 4, 39, 2, 9, 6.714416265487671, 2.238138755162557, 3.5
Language_39, 9.760732173919678, 4, 4, 48, 2, 9, 9.451868295669556, 2.362967073917389, 3.3333333333333335
Language_40, 4.797537803649902, 2, 4, 28, 2, 9, 4.494494676589966, 2.247247338294983, 4.0
Language_41, 12.696899890899658, 4, 5, 51, 2, 9, 12.370573043823242, 3.0926432609558105, 4.0
Language_42, 20.284630060195923, 7, 5, 82, 1, 9, 19.915753602981567, 2.8451076575687955, 4.666666666666667
Language_43, 5.243894100189209, 2, 4, 29, 1, 9, 4.951364755630493, 2.4756823778152466, 4.0
Language_44, 8.134562253952026, 4, 5, 50, 2, 9, 7.805973052978516, 1.951493263244629, 4.666666666666667
Language_45, 9.366546869277954, 4, 6, 52, 2, 9, 9.042391300201416, 2.260597825050354, 5.0
Language_46, 4.84880805015564, 2, 4, 29, 1, 9, 4.53913140296936, 2.26956570148468, 4.0
Language_47, 4.964055061340332, 2, 4, 28, 1, 9, 4.67061710357666, 2.33530855178833, 4.0
Language_48, 7.904603004455566, 3, 3, 39, 2, 9, 7.594465732574463, 2.531488577524821, 3.0
Language_49, 6.152941703796387, 3, 4, 37, 1, 9, 5.9071269035339355, 1.9690423011779785, 3.5
Language_50, 4.5109171867370605, 2, 4, 27, 1, 9, 4.221030235290527, 2.1105151176452637, 4.0
Language_51, 5.185137987136841, 2, 4, 29, 1, 9, 4.858244895935059, 2.4291224479675293, 4.0
Language_52, 4.303183078765869, 2, 4, 29, 1, 9, 4.009679794311523, 2.0048398971557617, 4.0
Language_53, 8.710192918777466, 4, 4, 50, 2, 9, 8.400166749954224, 2.100041687488556, 3.0
Language_54, 9.760930061340332, 4, 4, 49, 2, 9, 9.437278985977173, 2.359319746494293, 3.6666666666666665
Language_55, 18.662617206573486, 6, 6, 72, 2, 9, 18.26906156539917, 3.044843594233195, 4.4
Language_56, 4.92893385887146, 2, 4, 29, 1, 9, 4.635169982910156, 2.317584991455078, 4.0
Language_57, 5.174101114273071, 2, 3, 28, 2, 9, 4.880784034729004, 2.440392017364502, 3.0
Language_58, 5.132830858230591, 2, 5, 29, 1, 9, 4.826120853424072, 2.413060426712036, 5.0
Language_59, 8.701905012130737, 3, 4, 40, 2, 9, 8.402755737304688, 2.8009185791015625, 4.0
Language_60, 9.251437902450562, 3, 6, 40, 2, 9, 8.93206787109375, 2.97735595703125, 5.0
Language_61, 4.72023606300354, 2, 4, 28, 1, 9, 4.413174629211426, 2.206587314605713, 4.0
Language_62, 4.395988941192627, 2, 4, 29, 1, 9, 4.102197885513306, 2.051098942756653, 4.0
Language_63, 6.364663124084473, 3, 4, 36, 2, 9, 6.058100938796997, 2.019366979598999, 3.5
