Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length,,
Language_0, SAT Failed,,,,,,,,,,
Language_1, SAT Failed,,,,,,,,,,
Language_2,237.1747488975530,3,6,54,2,13,235.08631253242500,78.36210417747500,5.5,,
Language_3, SAT Failed,,,,,,,,,,
Language_4,197.1279113292690,4,4,72,2,13,195.07075595855700,48.76768898963930,4.0,,
Language_5, SAT Failed,,,,,,,,,,
Language_6, SAT Failed,,,,,,,,,,
Language_7, SAT Failed,,,,,,,,,,
Language_8,70.13640904426580,2,3,38,2,13,68.05694961547850,34.02847480773930,3.0,,
Language_9, SAT Failed,,,,,,,,,,
Language_10,208.08544421196000,4,4,70,2,13,205.99812173843400,51.49953043460850,3.3333333333333300,,
Language_11, SAT Failed,,,,,,,,,,
Language_12,251.03783106803900,3,4,54,2,13,248.87198400497400,82.95732800165810,3.5,,
Language_13, SAT Failed,,,,,,,,,,
Language_14, SAT Failed,,,,,,,,,,
Language_15, SAT Failed,,,,,,,,,,
Language_16,147.7513029575350,3,4,53,2,13,145.93545389175400,48.64515129725140,3.5,,
Language_17, SAT Failed,,,,,,,,,,
Language_18, SAT Failed,,,,,,,,,,
Language_19, SAT Failed,,,,,,,,,,
Language_20, SAT Failed,,,,,,,,,,
Language_21,186.03912091255200,4,5,67,2,13,184.19905018806500,46.049762547016100,4.333333333333330,,
Language_22,181.71699595451400,2,3,40,2,13,179.63044357299800,89.81522178649900,3.0,,
Language_23, SAT Failed,,,,,,,,,,
Language_24, SAT Failed,,,,,,,,,,
Language_25,212.6012408733370,3,6,54,2,13,210.54703068733200,70.18234356244410,5.0,,
Language_26, SAT Failed,,,,,,,,,,
Language_27,257.9681227207180,6,6,91,2,13,256.33056712150600,42.721761186917600,4.4,,
Language_28, SAT Failed,,,,,,,,,,
Language_29, SAT Failed,,,,,,,,,,
Language_30, SAT Failed,,,,,,,,,,
Language_31, SAT Failed,,,,,,,,,,
Language_32, SAT Failed,,,,,,,,,,
Language_33,153.44794917106600,2,2,38,2,13,151.58719301223800,75.79359650611880,2.0,,
Language_34,292.73532223701500,3,4,54,2,13,290.531858921051,96.84395297368370,3.5,,
Language_35, SAT Failed,,,,,,,,,,
Language_36,162.273521900177,2,3,39,2,13,160.13376379013100,80.06688189506530,3.0,,
Language_37, SAT Failed,,,,,,,,,,
Language_38, SAT Failed,,,,,,,,,,
Language_39, SAT Failed,,,,,,,,,,
