Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 5.405112981796265, 4, 6, 38, 2, 7, 5.333110570907593, 1.3332776427268982, 4.333333333333333
Language_1, 4.089879035949707, 3, 4, 30, 1, 7, 4.031506061553955, 1.3438353538513184, 4.0
Language_2, 4.0805628299713135, 3, 4, 31, 2, 7, 4.020632266998291, 1.340210755666097, 4.0
Language_3, 3.974498987197876, 3, 4, 30, 2, 7, 3.914492130279541, 1.3048307100931804, 3.5
Language_4, 2.9047460556030273, 2, 4, 23, 1, 7, 2.8492698669433594, 1.4246349334716797, 4.0
Language_5, 2.6203746795654297, 2, 4, 23, 1, 7, 2.565019130706787, 1.2825095653533936, 4.0
Language_6, 3.981015920639038, 3, 4, 29, 2, 7, 3.919970750808716, 1.3066569169362385, 4.0
Language_7, 2.8542981147766113, 2, 4, 22, 1, 7, 2.7987890243530273, 1.3993945121765137, 4.0
Language_8, 4.365369081497192, 3, 6, 24, 2, 7, 4.320008754730225, 1.4400029182434082, 4.5
Language_9, 5.334511756896973, 4, 4, 39, 2, 7, 5.268697023391724, 1.317174255847931, 3.6666666666666665
Language_10, 4.248780727386475, 3, 5, 31, 2, 7, 4.1872429847717285, 1.3957476615905762, 3.5
Language_11, 2.7744340896606445, 2, 4, 21, 2, 7, 2.7181921005249023, 1.3590960502624512, 4.0
Language_12, 2.7462961673736572, 2, 3, 20, 1, 7, 2.691617012023926, 1.345808506011963, 3.0
Language_13, 5.270181179046631, 4, 5, 39, 2, 7, 5.204322814941406, 1.3010807037353516, 4.333333333333333
Language_14, 4.061469793319702, 3, 5, 30, 2, 7, 4.002225637435913, 1.3340752124786377, 4.5
Language_15, 4.189640998840332, 3, 4, 30, 2, 7, 4.129803895950317, 1.3766012986501057, 4.0
Language_16, 5.62231707572937, 4, 5, 35, 2, 7, 5.555817604064941, 1.3889544010162354, 4.666666666666667
Language_17, 9.60341191291809, 7, 4, 58, 1, 7, 9.515265941619873, 1.3593237059456962, 3.5
Language_18, 2.663022041320801, 2, 4, 22, 1, 7, 2.6070261001586914, 1.3035130500793457, 4.0
Language_19, 2.8347883224487305, 2, 5, 23, 2, 7, 2.777506113052368, 1.388753056526184, 5.0
Language_20, 2.9764490127563477, 2, 4, 23, 2, 7, 2.9190452098846436, 1.4595226049423218, 4.0
Language_21, 2.5564730167388916, 2, 2, 22, 2, 7, 2.4993600845336914, 1.2496800422668457, 2.0
Language_22, 3.8077149391174316, 3, 4, 29, 2, 7, 3.744570732116699, 1.2481902440388997, 3.5
Language_23, 3.9823081493377686, 3, 5, 29, 2, 7, 3.936718702316284, 1.3122395674387615, 4.5
Language_24, 4.043945074081421, 3, 6, 30, 1, 7, 3.985426187515259, 1.3284753958384197, 5.0
Language_25, 5.621170997619629, 4, 4, 38, 2, 7, 5.555279970169067, 1.3888199925422668, 3.6666666666666665
Language_26, 4.100966215133667, 3, 4, 32, 2, 7, 4.041304111480713, 1.347101370493571, 4.0
Language_27, 4.244304895401001, 3, 4, 30, 2, 7, 4.1842567920684814, 1.3947522640228271, 3.5
Language_28, 2.600924015045166, 2, 4, 21, 1, 7, 2.5592360496520996, 1.2796180248260498, 4.0
Language_29, 2.5974862575531006, 2, 5, 20, 1, 7, 2.555694103240967, 1.2778470516204834, 5.0
Language_30, 2.768685817718506, 2, 5, 19, 1, 7, 2.714668035507202, 1.357334017753601, 5.0
Language_31, 4.037523031234741, 3, 4, 29, 2, 7, 3.9790782928466797, 1.3263594309488933, 3.5
Language_32, 7.214432716369629, 5, 6, 51, 2, 7, 7.135380983352661, 1.4270761966705323, 4.75
Language_33, 2.743475914001465, 2, 5, 22, 1, 7, 2.688706636428833, 1.3443533182144165, 5.0
Language_34, 4.075228929519653, 3, 4, 30, 2, 7, 4.027683973312378, 1.3425613244374592, 4.0
Language_35, 2.7095510959625244, 2, 4, 21, 1, 7, 2.6540751457214355, 1.3270375728607178, 4.0
Language_36, 4.274578094482422, 3, 4, 29, 2, 7, 4.215381383895874, 1.4051271279652913, 4.0
Language_37, 2.6654090881347656, 2, 4, 21, 2, 7, 2.6077871322631836, 1.3038935661315918, 4.0
Language_38, 3.996070146560669, 3, 4, 32, 1, 7, 3.937021017074585, 1.3123403390248616, 3.5
Language_39, 2.71333909034729, 2, 4, 20, 2, 7, 2.657001256942749, 1.3285006284713745, 4.0
Language_40, 3.9354591369628906, 3, 4, 29, 2, 7, 3.874542236328125, 1.2915140787760417, 3.5
Language_41, 2.59725284576416, 2, 3, 22, 2, 7, 2.551635980606079, 1.2758179903030396, 3.0
Language_42, 2.7168502807617188, 2, 4, 21, 1, 7, 2.662651300430298, 1.331325650215149, 4.0
Language_43, 2.686600923538208, 2, 4, 23, 1, 7, 2.6319420337677, 1.31597101688385, 4.0
