Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_0, 1.1515741348266602, 1, 0, 6, 1, 3, 1.1503181457519531, 1.1503181457519531, 0
Language_1, 1.1461272239685059, 1, 0, 6, 1, 3, 1.1448440551757812, 1.1448440551757812, 0
Language_2, 2.32159686088562, 2, 5, 11, 1, 3, 2.3191161155700684, 1.1595580577850342, 5.0
Language_3, 2.2724192142486572, 2, 5, 10, 1, 3, 2.270334005355835, 1.1351670026779175, 5.0
Language_4, 2.2951722145080566, 2, 4, 10, 1, 3, 2.2927677631378174, 1.1463838815689087, 4.0
Language_5, 1.1478781700134277, 1, 0, 5, 1, 3, 1.146726131439209, 1.146726131439209, 0
Language_6, 1.14677095413208, 1, 0, 6, 1, 3, 1.1458027362823486, 1.1458027362823486, 0
Language_7, 2.34028697013855, 2, 4, 10, 1, 3, 2.3379132747650146, 1.1689566373825073, 4.0
Language_8, 1.1708288192749023, 1, 0, 6, 1, 3, 1.1695187091827393, 1.1695187091827393, 0
Language_9, 1.1429200172424316, 1, 0, 6, 1, 3, 1.141639232635498, 1.141639232635498, 0
Language_10, 1.1561567783355713, 1, 0, 6, 1, 3, 1.1548852920532227, 1.1548852920532227, 0
Language_11, 1.1911170482635498, 1, 0, 6, 1, 3, 1.1898431777954102, 1.1898431777954102, 0
Language_12, 1.1725060939788818, 1, 0, 6, 1, 3, 1.1719260215759277, 1.1719260215759277, 0
Language_13, 2.352139949798584, 2, 4, 10, 1, 3, 2.3498220443725586, 1.1749110221862793, 4.0
Language_14, 2.290756940841675, 2, 4, 11, 1, 3, 2.2883360385894775, 1.1441680192947388, 4.0
Language_15, 2.392199993133545, 2, 4, 8, 1, 3, 2.3905036449432373, 1.1952518224716187, 4.0
Language_16, 1.1601929664611816, 1, 0, 5, 1, 3, 1.1590218544006348, 1.1590218544006348, 0
Language_17, 1.111523151397705, 1, 0, 6, 1, 3, 1.110267162322998, 1.110267162322998, 0
Language_18, 2.3368752002716064, 2, 4, 10, 1, 3, 2.3345320224761963, 1.1672660112380981, 4.0
Language_19, 2.3166847229003906, 2, 4, 10, 1, 3, 2.3144240379333496, 1.1572120189666748, 4.0
Language_20, 2.298189163208008, 2, 5, 11, 1, 3, 2.2956652641296387, 1.1478326320648193, 5.0
Language_21, 2.2891807556152344, 2, 4, 10, 1, 3, 2.286769151687622, 1.143384575843811, 4.0
Language_22, 2.323945999145508, 2, 2, 9, 2, 3, 2.3210861682891846, 1.1605430841445923, 2.0
Language_23, 2.324836254119873, 2, 5, 11, 1, 3, 2.322368860244751, 1.1611844301223755, 5.0
Language_24, 2.3169119358062744, 2, 4, 11, 1, 3, 2.314472198486328, 1.157236099243164, 4.0
Language_25, 1.1422550678253174, 1, 0, 5, 1, 3, 1.1410887241363525, 1.1410887241363525, 0
Language_26, 1.147019863128662, 1, 0, 6, 1, 3, 1.1456139087677002, 1.1456139087677002, 0
Language_27, 1.1557340621948242, 1, 0, 6, 1, 3, 1.1549410820007324, 1.1549410820007324, 0
Language_28, 2.289738893508911, 2, 4, 11, 1, 3, 2.2872235774993896, 1.1436117887496948, 4.0
Language_29, 2.3115808963775635, 2, 4, 11, 1, 3, 2.3090338706970215, 1.1545169353485107, 4.0
Language_30, 2.312692880630493, 2, 4, 11, 1, 3, 2.310270071029663, 1.1551350355148315, 4.0
Language_31, 2.330386161804199, 2, 4, 11, 1, 3, 2.3279547691345215, 1.1639773845672607, 4.0
Language_32, 1.1367990970611572, 1, 0, 6, 1, 3, 1.1355259418487549, 1.1355259418487549, 0
Language_33, 1.142982006072998, 1, 0, 6, 1, 3, 1.141719102859497, 1.141719102859497, 0
Language_34, 2.283588171005249, 2, 4, 11, 1, 3, 2.281130075454712, 1.140565037727356, 4.0
Language_35, 2.3219830989837646, 2, 4, 10, 1, 3, 2.319721221923828, 1.159860610961914, 4.0
Language_36, 2.3034579753875732, 2, 4, 10, 1, 3, 2.3010261058807373, 1.1505130529403687, 4.0
Language_37, 1.1251509189605713, 1, 0, 6, 1, 3, 1.1238608360290527, 1.1238608360290527, 0
Language_38, 1.1285090446472168, 1, 0, 6, 1, 3, 1.127223014831543, 1.127223014831543, 0
Language_39, 2.285581111907959, 2, 4, 10, 1, 3, 2.2832159996032715, 1.1416079998016357, 4.0
Language_40, 2.2870309352874756, 2, 4, 11, 1, 3, 2.2845215797424316, 1.1422607898712158, 4.0
Language_41, 2.292332887649536, 2, 4, 11, 1, 3, 2.2899210453033447, 1.1449605226516724, 4.0
Language_42, 1.1552419662475586, 1, 0, 6, 1, 3, 1.1539580821990967, 1.1539580821990967, 0
Language_43, 1.1872339248657227, 1, 0, 6, 1, 3, 1.1859660148620605, 1.1859660148620605, 0
Language_44, 1.1335029602050781, 1, 0, 5, 1, 3, 1.1323468685150146, 1.1323468685150146, 0
Language_45, 2.2845141887664795, 2, 4, 11, 1, 3, 2.2821102142333984, 1.1410551071166992, 4.0
Language_46, 2.3208060264587402, 2, 2, 10, 2, 3, 2.318084955215454, 1.159042477607727, 2.0
Language_47, 1.1424860954284668, 1, 0, 6, 1, 3, 1.1412007808685303, 1.1412007808685303, 0
Language_48, 2.307281970977783, 2, 4, 11, 1, 3, 2.3048553466796875, 1.1524276733398438, 4.0
Language_49, 2.3023338317871094, 2, 4, 11, 1, 3, 2.299818992614746, 1.149909496307373, 4.0
Language_50, 2.3238747119903564, 2, 5, 11, 1, 3, 2.321427822113037, 1.1607139110565186, 5.0
Language_51, 2.358245849609375, 2, 4, 11, 1, 3, 2.3557870388031006, 1.1778935194015503, 4.0
Language_52, 2.2858879566192627, 2, 4, 11, 1, 3, 2.2834689617156982, 1.1417344808578491, 4.0
Language_53, 1.1477861404418945, 1, 0, 6, 1, 3, 1.1465201377868652, 1.1465201377868652, 0
