Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length
Language_79, 3.4331541061401367, 3, 4, 14, 1, 4, 3.4308314323425293, 1.1436104774475098, 3.5
Language_80, 2.2963311672210693, 2, 3, 10, 1, 4, 2.2943010330200195, 1.1471505165100098, 3.0
Language_81, 3.4986250400543213, 3, 6, 16, 2, 4, 3.494579553604126, 1.1648598512013753, 4.5
Language_82, 2.302532911300659, 2, 5, 11, 2, 4, 2.299978017807007, 1.1499890089035034, 5.0
Language_83, 4.613033056259155, 4, 4, 20, 2, 4, 4.608880043029785, 1.1522200107574463, 3.3333333333333335
Language_84, 2.2991726398468018, 2, 4, 11, 1, 4, 2.297043800354004, 1.148521900177002, 4.0
Language_85, 3.4158389568328857, 3, 6, 13, 1, 4, 3.4135100841522217, 1.1378366947174072, 4.5
Language_86, 2.3269600868225098, 2, 4, 8, 2, 4, 2.3259730339050293, 1.1629865169525146, 4.0
Language_87, 2.286308765411377, 2, 4, 7, 2, 4, 2.2854628562927246, 1.1427314281463623, 4.0
Language_88, 2.280104160308838, 2, 4, 11, 2, 4, 2.2778189182281494, 1.1389094591140747, 4.0
Language_89, 3.431623935699463, 3, 4, 14, 1, 4, 3.4295654296875, 1.1431884765625, 4.0
Language_90, 2.2905852794647217, 2, 2, 10, 2, 4, 2.288322687149048, 1.144161343574524, 2.0
Language_91, 3.463886022567749, 3, 6, 12, 2, 4, 3.4612183570861816, 1.1537394523620605, 5.0
Language_92, 3.4673573970794678, 3, 4, 12, 2, 4, 3.464412212371826, 1.1548040707906086, 3.5
Language_93, 2.2874209880828857, 2, 4, 11, 2, 4, 2.285036087036133, 1.1425180435180664, 4.0
Language_94, 2.3337972164154053, 2, 3, 12, 2, 4, 2.331498861312866, 1.165749430656433, 3.0
Language_95, 3.465104103088379, 3, 8, 17, 2, 4, 3.4615674018859863, 1.153855800628662, 6.0
Language_96, 1.1528198719024658, 1, 0, 4, 1, 3, 1.152583360671997, 1.152583360671997, 0
Language_97, 2.2877109050750732, 2, 4, 9, 2, 4, 2.2866151332855225, 1.1433075666427612, 4.0
Language_98, 3.4574618339538574, 3, 5, 10, 2, 3, 3.4557650089263916, 1.1519216696421306, 4.0
Language_99, 2.2873599529266357, 2, 6, 11, 1, 4, 2.285270929336548, 1.142635464668274, 6.0

Average, 2.686397440433502, 2.33, 3.99, 11.58, 1.46, 3.92, 2.6842649126052858, 1.1509016102552412, 3.611666666666667, 5, 100
