Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 80.53021121025085, 4, 4, 43, 3, 13, 75.61975908279419, 18.904939770698547, 4.0, 4.883561849594116, 1.569474697113037
Language_1, SAT Failed
Language_2, 29.257620096206665, 3, 4, 31, 3, 13, 25.66669201850891, 8.555564006169638, 3.5, 3.575164794921875, 1.3936941623687744
Language_3, SAT Failed
Language_4, SAT Failed
Language_5, 136.14774680137634, 6, 6, 48, 4, 13, 129.26733446121216, 21.54455574353536, 4.8, 6.826903343200684, 1.3175950050354004
Language_6, 68.12011408805847, 2, 3, 27, 2, 13, 65.47168064117432, 32.73584032058716, 3.0, 2.64125394821167, 1.5524580478668213
Language_7, SAT Failed
Language_8, 174.65894174575806, 3, 3, 38, 2, 13, 170.86342883110046, 56.954476277033486, 3.0, 3.7818143367767334, 1.5764861106872559
Language_9, 242.50591802597046, 3, 6, 33, 3, 13, 238.723464012146, 79.57448800404866, 4.5, 3.765272378921509, 1.5577692985534668
Language_10, SAT Failed
Language_11, SAT Failed
Language_12, SAT Failed
Language_13, SAT Failed
Language_14, SAT Failed
Language_15, SAT Failed
Language_16, 178.06977605819702, 2, 4, 27, 2, 13, 175.24221205711365, 87.62110602855682, 4.0, 2.820369243621826, 1.719665288925171
Language_17, SAT Failed
Language_18, 62.78520584106445, 3, 5, 33, 3, 13, 59.11055397987366, 19.703517993291218, 4.0, 3.6598925590515137, 1.4644668102264404
Language_19, SAT Failed
Language_20, 79.47811484336853, 4, 4, 30, 6, 13, 74.61538004875183, 18.653845012187958, 3.0, 4.833210468292236, 1.5367727279663086
Language_21, SAT Failed
Language_22, SAT Failed
Language_23, 66.36097311973572, 4, 4, 38, 4, 13, 61.60763907432556, 15.40190976858139, 3.6666666666666665, 4.729956150054932, 1.4202148914337158
Language_24, SAT Failed
Language_25, SAT Failed
Language_26, SAT Failed
Language_27, SAT Failed
Language_28, SAT Failed
Language_29, 38.5619261264801, 4, 6, 32, 4, 13, 33.9424192905426, 8.48560482263565, 3.6666666666666665, 4.597019672393799, 1.3161330223083496
Language_30, SAT Failed
Language_31, SAT Failed
Language_32, 179.82089018821716, 5, 8, 60, 3, 12, 173.81696152687073, 34.76339230537415, 5.5, 5.94860577583313, 1.5337650775909424
Language_33, SAT Failed
Language_34, 21.42164897918701, 2, 3, 25, 2, 13, 18.857744932174683, 9.428872466087341, 3.0, 2.5571131706237793, 1.468113899230957
Language_35, SAT Failed
Language_36, SAT Failed
Language_37, 192.76712012290955, 4, 7, 36, 4, 13, 187.86658906936646, 46.966647267341614, 4.0, 4.875199317932129, 1.559812307357788
Language_38, SAT Failed
Language_39, SAT Failed
Language_40, 44.75660586357117, 3, 2, 32, 3, 13, 41.07982397079468, 13.693274656931559, 2.0, 3.659214973449707, 1.4614651203155518
Language_41, 45.45287084579468, 2, 4, 27, 2, 13, 42.96713304519653, 21.483566522598267, 4.0, 2.478436231613159, 1.3757686614990234
Language_42, 48.47297215461731, 6, 7, 60, 3, 13, 41.411401987075806, 6.901900331179301, 5.4, 7.01020359992981, 1.4888660907745361
Language_43, SAT Failed
Language_44, 109.04851794242859, 4, 7, 42, 3, 13, 104.17153191566467, 26.042882978916168, 4.666666666666667, 4.856537818908691, 1.5477571487426758
Language_45, SAT Failed
Language_46, 30.05768918991089, 4, 5, 32, 4, 13, 25.38363528251648, 6.34590882062912, 3.6666666666666665, 4.652694940567017, 1.3433749675750732
Language_47, 31.292004108428955, 3, 3, 31, 3, 13, 27.656171321868896, 9.218723773956299, 2.5, 3.6218223571777344, 1.4189786911010742
Language_48, 120.28586196899414, 3, 4, 30, 3, 13, 116.6380844116211, 38.87936147054037, 3.0, 3.6357362270355225, 1.425408124923706
Language_49, 23.565217971801758, 2, 4, 26, 3, 13, 20.97647261619568, 10.48823630809784, 4.0, 2.5800161361694336, 1.4798681735992432
Language_50, SAT Failed
Language_51, 60.128437995910645, 3, 3, 33, 3, 13, 56.34934902191162, 18.783116340637207, 3.0, 3.76316499710083, 1.5572059154510498
Language_52, 182.4791898727417, 2, 6, 26, 2, 13, 179.89380478858948, 89.94690239429474, 6.0, 2.577631950378418, 1.4734599590301514
Language_53, 109.5320029258728, 5, 6, 48, 5, 13, 103.57297134399414, 20.714594268798827, 4.0, 5.911993026733398, 1.4883549213409424
Language_54, 90.31329917907715, 6, 6, 48, 4, 13, 83.3621563911438, 13.8936927318573, 4.6, 6.903257846832275, 1.3992950916290283
Language_55, 38.20637011528015, 4, 4, 39, 4, 13, 33.38902807235718, 8.347257018089294, 3.6666666666666665, 4.789388418197632, 1.4915661811828613
Language_56, 190.17565631866455, 3, 6, 26, 3, 13, 186.3488850593567, 62.11629501978556, 4.5, 3.8164288997650146, 1.611738681793213
Language_57, 262.83227801322937, 5, 5, 40, 3, 13, 256.9057426452637, 51.38114852905274, 4.75, 5.903978586196899, 1.4888598918914795
Language_58, 91.40730309486389, 5, 8, 37, 5, 13, 85.61156916618347, 17.122313833236696, 5.0, 5.758702278137207, 1.3500826358795166
Language_59, 56.660094022750854, 2, 3, 25, 2, 13, 54.12923502922058, 27.06461751461029, 3.0, 2.524602174758911, 1.417729139328003
Language_60, 78.65316009521484, 5, 7, 50, 3, 13, 72.6935966014862, 14.538719320297242, 4.75, 5.916759014129639, 1.5097901821136475
Language_61, SAT Failed
Language_62, 207.37030005455017, 6, 5, 52, 2, 13, 200.44672298431396, 33.40778716405233, 4.0, 6.8839030265808105, 1.3749597072601318
Language_63, SAT Failed
Language_64, 103.1358380317688, 5, 4, 44, 4, 13, 97.27034258842468, 19.454068517684938, 3.75, 5.83012843132019, 1.4279851913452148
Language_65, 86.6505880355835, 3, 6, 30, 3, 13, 83.02799987792969, 27.675999959309895, 4.5, 3.609951972961426, 1.411879062652588
Language_66, 35.67001819610596, 4, 5, 32, 4, 13, 31.00749397277832, 7.75187349319458, 4.0, 4.642323732376099, 1.3430078029632568
Language_67, 28.47899103164673, 3, 3, 19, 4, 13, 25.157665014266968, 8.38588833808899, 3.0, 3.3096086978912354, 1.0981028079986572
Language_68, 71.74832773208618, 3, 4, 39, 2, 12, 67.98119902610779, 22.660399675369263, 4.0, 3.7527308464050293, 1.5507380962371826
Language_69, 221.9918200969696, 8, 7, 60, 5, 13, 212.7160942554474, 26.589511781930923, 5.285714285714286, 9.160240411758423, 1.4704346656799316
Language_70, SAT Failed
Language_71, 43.82906484603882, 3, 3, 21, 4, 13, 40.40228891372681, 13.467429637908936, 3.0, 3.4152190685272217, 1.1992089748382568
Language_72, 21.02799391746521, 4, 6, 40, 4, 12, 16.279820203781128, 4.069955050945282, 4.0, 4.716808557510376, 1.4078798294067383
Language_73, SAT Failed
Language_74, 84.77791476249695, 5, 5, 55, 3, 13, 78.58681416511536, 15.71736283302307, 4.0, 6.151068925857544, 1.7501220703125
Language_75, 192.49228310585022, 6, 7, 67, 2, 13, 185.2961459159851, 30.882690985997517, 5.4, 7.138668537139893, 1.6154241561889648
Language_76, 34.12916421890259, 4, 5, 22, 5, 13, 29.712042570114136, 7.428010642528534, 4.0, 4.397597551345825, 1.0981009006500244
Language_77, SAT Failed
Language_78, 156.65138697624207, 5, 5, 38, 4, 13, 150.87805485725403, 30.175610971450805, 4.25, 5.741652965545654, 1.3759629726409912
Language_79, 291.2118229866028, 2, 3, 26, 3, 13, 288.3894109725952, 144.1947054862976, 3.0, 2.8131232261657715, 1.7224571704864502
Language_80, 188.87305808067322, 3, 4, 39, 3, 13, 185.01999354362488, 61.67333118120829, 4.0, 3.832780122756958, 1.6429979801177979
Language_81, 146.15746903419495, 3, 4, 27, 3, 13, 142.50402283668518, 47.50134094556173, 3.5, 3.641510009765625, 1.4253251552581787
Language_82, SAT Failed
Language_83, 273.91474509239197, 6, 7, 54, 3, 13, 266.85461497306824, 44.47576916217804, 4.8, 7.0119452476501465, 1.5161948204040527
Language_84, 85.57474708557129, 4, 5, 44, 4, 13, 80.69519519805908, 20.17379879951477, 4.333333333333333, 4.848273754119873, 1.5641381740570068
Language_85, 126.10450005531311, 3, 4, 35, 2, 13, 122.27824425697327, 40.759414752324425, 4.0, 3.813734292984009, 1.6124300956726074
Language_86, 291.28235507011414, 6, 5, 55, 4, 12, 284.3377740383148, 47.3896290063858, 4.0, 6.875290632247925, 1.3874058723449707
Language_87, SAT Failed
Language_88, SAT Failed
Language_89, 49.79032802581787, 2, 4, 22, 2, 12, 47.38653802871704, 23.69326901435852, 4.0, 2.398404598236084, 1.2999138832092285
Language_90, 26.62237000465393, 4, 4, 27, 4, 13, 22.098906993865967, 5.524726748466492, 3.6666666666666665, 4.502264738082886, 1.2006862163543701
Language_91, 102.1832377910614, 4, 4, 28, 4, 13, 97.59970021247864, 24.39992505311966, 3.3333333333333335, 4.565676689147949, 1.2720897197723389
Language_92, SAT Failed
Language_93, 63.479450941085815, 3, 4, 29, 3, 13, 59.79953980445862, 19.933179934819538, 4.0, 3.668543577194214, 1.4763681888580322
Language_94, 57.88243103027344, 4, 7, 38, 3, 13, 52.95634198188782, 13.239085495471954, 5.0, 4.903992414474487, 1.6151533126831055
Language_95, 29.223114013671875, 4, 6, 38, 3, 13, 24.51351046562195, 6.128377616405487, 4.666666666666667, 4.685891628265381, 1.3968470096588135
Language_96, 260.1760699748993, 4, 5, 37, 4, 13, 255.09744787216187, 63.774361968040466, 3.6666666666666665, 5.0550291538238525, 1.7505228519439697
Language_97, 177.7004611492157, 4, 4, 43, 3, 13, 172.78419017791748, 43.19604754447937, 3.6666666666666665, 4.889568090438843, 1.5816261768341064
Language_98, SAT Failed
Language_99, 47.92745590209961, 4, 6, 38, 4, 12, 43.154470920562744, 10.788617730140686, 4.0, 4.743464708328247, 1.407850980758667

Average, 109.34201715031608, 3.8524590163934427, 4.885245901639344, 36.91803278688525, 3.2950819672131146, 12.901639344262295, 104.71221374292843, 29.192941657539276, 3.9828259172521463, 4.6041852802526755, 1.4641279470725137, 8, 61
