Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_92, 260.1619961261749, 3, 4, 40, 2, 14, 255.75637221336365, 85.25212407112122, 3.5, 4.387750148773193, 2.1749329566955566
Language_93, 84.19165706634521, 2, 4, 28, 2, 14, 81.27320909500122, 40.63660454750061, 4.0, 2.9091498851776123, 1.7978849411010742
Language_94, SAT Failed
Language_95, 230.54186916351318, 4, 4, 36, 3, 14, 225.2730700969696, 56.3182675242424, 4.0, 5.242343902587891, 1.9374690055847168
Language_96, SAT Failed
Language_97, 174.86603498458862, 3, 3, 33, 4, 14, 170.69703245162964, 56.89901081720988, 3.0, 4.145631313323975, 1.7809312343597412
Language_98, SAT Failed
Language_99, 71.03079009056091, 2, 4, 27, 2, 14, 67.98501110076904, 33.99250555038452, 4.0, 3.0372555255889893, 1.9357998371124268

Average, 156.15867583375228, 3.236842105263158, 4.026315789473684, 35.921052631578945, 2.9473684210526314, 14.0, 151.64524109740006, 48.68684957644396, 3.5469298245614036, 4.488104770058079, 1.9467839943735223, 6, 38
