Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 2.207674264907837, 1, 0, 5, 1, 3, 1.1062390804290771, 1.1062390804290771, 0, 1.1006741523742676, 1.1006741523742676
Language_1, 4.425235986709595, 2, 4, 9, 1, 3, 2.2196450233459473, 1.1098225116729736, 4.0, 2.2037620544433594, 1.1006779670715332
Language_2, 2.2139551639556885, 1, 0, 4, 1, 3, 1.107212781906128, 1.107212781906128, 0, 1.1059808731079102, 1.1059808731079102
Language_3, 2.207361936569214, 1, 0, 5, 1, 3, 1.1071012020111084, 1.1071012020111084, 0, 1.0994789600372314, 1.0994789600372314
Language_4, 2.204195261001587, 1, 0, 5, 1, 3, 1.1037981510162354, 1.1037981510162354, 0, 1.0995888710021973, 1.0995888710021973
Language_5, 4.4081079959869385, 2, 4, 9, 1, 3, 2.207113265991211, 1.1035566329956055, 4.0, 2.1991539001464844, 1.1016860008239746
Language_6, 2.185983896255493, 1, 0, 5, 1, 3, 1.1015369892120361, 1.1015369892120361, 0, 1.0836730003356934, 1.0836730003356934
Language_7, 2.2067129611968994, 1, 0, 4, 1, 3, 1.104491949081421, 1.104491949081421, 0, 1.1014788150787354, 1.1014788150787354
Language_8, 2.2077109813690186, 1, 0, 4, 1, 3, 1.106153964996338, 1.106153964996338, 0, 1.1008341312408447, 1.1008341312408447
Language_9, 4.430696249008179, 2, 2, 6, 2, 3, 2.2130930423736572, 1.1065465211868286, 2.0, 2.215837001800537, 1.1085450649261475
Language_10, 4.405531167984009, 2, 4, 8, 1, 3, 2.203045606613159, 1.1015228033065796, 4.0, 2.200913429260254, 1.0982511043548584
Language_11, 4.416917324066162, 2, 4, 9, 1, 3, 2.206372022628784, 1.103186011314392, 4.0, 2.208587169647217, 1.1063950061798096
Language_12, 2.206671953201294, 1, 0, 4, 1, 3, 1.1064839363098145, 1.1064839363098145, 0, 1.0994668006896973, 1.0994668006896973
Language_13, 2.200991153717041, 1, 0, 4, 1, 3, 1.1063597202301025, 1.1063597202301025, 0, 1.0938968658447266, 1.0938968658447266
Language_14, 6.623061180114746, 3, 4, 11, 2, 3, 3.3197898864746094, 1.1065966288248699, 3.5, 3.300004243850708, 1.097278118133545
Language_15, 4.413286209106445, 2, 4, 9, 1, 3, 2.20867919921875, 1.104339599609375, 4.0, 2.2026703357696533, 1.1015000343322754
Language_16, 2.202735185623169, 1, 0, 5, 1, 3, 1.103553056716919, 1.103553056716919, 0, 1.0983829498291016, 1.0983829498291016
Language_17, 4.424618244171143, 2, 5, 9, 1, 3, 2.2071921825408936, 1.1035960912704468, 5.0, 2.2154293060302734, 1.1176061630249023
Language_18, 2.211651086807251, 1, 0, 4, 1, 3, 1.103646993637085, 1.103646993637085, 0, 1.1072487831115723, 1.1072487831115723
Language_19, 4.424463987350464, 2, 3, 8, 2, 3, 2.21177077293396, 1.10588538646698, 3.0, 2.210632801055908, 1.1025657653808594
