Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 4.455571174621582, 2, 4, 12, 1, 4, 2.2239506244659424, 1.1119753122329712, 4.0, 2.2293100357055664, 1.1056180000305176
Language_1, 4.4145190715789795, 2, 3, 7, 2, 4, 2.2125420570373535, 1.1062710285186768, 3.0, 2.1999258995056152, 1.0992310047149658
Language_2, 4.429264068603516, 2, 4, 11, 1, 4, 2.218137264251709, 1.1090686321258545, 4.0, 2.2089011669158936, 1.1102731227874756
Language_3, 4.441935062408447, 2, 4, 10, 1, 4, 2.2262210845947266, 1.1131105422973633, 4.0, 2.2138209342956543, 1.1068627834320068
Language_4, 2.214514970779419, 1, 0, 3, 1, 3, 1.1018600463867188, 1.1018600463867188, 0, 1.1119589805603027, 1.1119589805603027
Language_5, 4.389080047607422, 2, 5, 11, 1, 4, 2.183602809906006, 1.091801404953003, 5.0, 2.2032618522644043, 1.0996270179748535
Language_6, 6.651123046875, 3, 4, 16, 2, 4, 3.3371694087982178, 1.1123898029327393, 3.5, 3.3092031478881836, 1.0985798835754395
Language_7, 4.4438488483428955, 2, 5, 10, 1, 4, 2.238950252532959, 1.1194751262664795, 5.0, 2.2027487754821777, 1.1005558967590332
Language_8, 2.20823335647583, 1, 0, 5, 1, 4, 1.108341932296753, 1.108341932296753, 0, 1.0990509986877441, 1.0990509986877441
Language_9, 2.2151260375976562, 1, 0, 6, 1, 4, 1.1154460906982422, 1.1154460906982422, 0, 1.0987908840179443, 1.0987908840179443
Language_10, 4.419256210327148, 2, 5, 8, 1, 4, 2.220954656600952, 1.110477328300476, 5.0, 2.1966631412506104, 1.0949890613555908
Language_11, 4.427987098693848, 2, 3, 9, 2, 4, 2.2199666500091553, 1.1099833250045776, 3.0, 2.205735921859741, 1.1015779972076416
Language_12, 4.432740211486816, 2, 5, 11, 1, 4, 2.2272777557373047, 1.1136388778686523, 5.0, 2.203125, 1.1044409275054932
Language_13, 2.200469970703125, 1, 0, 5, 1, 4, 1.0998399257659912, 1.0998399257659912, 0, 1.0997860431671143, 1.0997860431671143
Language_14, 2.2170748710632324, 1, 0, 5, 1, 4, 1.1068229675292969, 1.1068229675292969, 0, 1.109405279159546, 1.109405279159546
Language_15, 2.1989691257476807, 1, 0, 5, 1, 4, 1.1076359748840332, 1.1076359748840332, 0, 1.0904791355133057, 1.0904791355133057
Language_16, 4.433512210845947, 2, 4, 9, 1, 4, 2.220003128051758, 1.110001564025879, 4.0, 2.21173095703125, 1.106410026550293
Language_17, 4.4034857749938965, 2, 4, 10, 1, 4, 2.2273616790771484, 1.1136808395385742, 4.0, 2.174009084701538, 1.0736110210418701
Language_18, 4.418556213378906, 2, 3, 8, 2, 4, 2.2175700664520264, 1.1087850332260132, 3.0, 2.1987829208374023, 1.1010899543762207
Language_19, 4.412590980529785, 2, 2, 6, 2, 4, 2.2169947624206543, 1.1084973812103271, 2.0, 2.1936450004577637, 1.100956916809082
