Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 21.57424831390381, 3, 4, 35, 3, 11, 17.96207594871521, 5.987358649571736, 3.5, 3.5939934253692627, 1.35382080078125
Language_1, 12.396949052810669, 2, 4, 25, 2, 11, 9.953752994537354, 4.976876497268677, 4.0, 2.435105800628662, 1.3287599086761475
Language_2, 16.18372869491577, 4, 4, 44, 2, 11, 11.353601455688477, 2.838400363922119, 3.6666666666666665, 4.806719779968262, 1.3464100360870361
Language_3, 16.342175006866455, 2, 4, 27, 2, 11, 13.855807304382324, 6.927903652191162, 4.0, 2.47780704498291, 1.3491930961608887
Language_4, 9.530449867248535, 3, 4, 27, 3, 11, 6.090827703475952, 2.030275901158651, 4.0, 3.427273988723755, 1.2245900630950928
Language_5, 21.913718938827515, 3, 6, 33, 2, 11, 18.3575119972229, 6.119170665740967, 5.0, 3.5426223278045654, 1.3355848789215088
Language_6, 19.346594095230103, 6, 3, 36, 5, 11, 12.508196353912354, 2.0846993923187256, 2.6, 6.783217668533325, 1.2259299755096436
Language_7, 14.880581855773926, 3, 4, 29, 2, 11, 11.411155939102173, 3.803718646367391, 4.0, 3.458272933959961, 1.256195068359375
Language_8, 11.274985074996948, 3, 3, 24, 4, 11, 7.744722127914429, 2.581574042638143, 2.5, 3.5157151222229004, 1.3088572025299072
Language_9, 10.324049949645996, 3, 4, 28, 2, 11, 6.764017343521118, 2.2546724478403726, 4.0, 3.5505330562591553, 1.2777369022369385
Language_10, 10.571053743362427, 3, 4, 25, 4, 11, 7.06324577331543, 2.35441525777181, 3.0, 3.4917352199554443, 1.2422192096710205
Language_11, 8.95253872871399, 3, 3, 19, 4, 11, 5.490267038345337, 1.830089012781779, 2.5, 3.4485230445861816, 1.191303014755249
Language_12, 8.413708209991455, 2, 2, 21, 2, 11, 5.995879173278809, 2.9979395866394043, 2.0, 2.4115312099456787, 1.2867801189422607
Language_13, 15.136188983917236, 2, 3, 27, 2, 11, 12.614043235778809, 6.307021617889404, 3.0, 2.5136778354644775, 1.3901739120483398
Language_14, 23.831597805023193, 3, 4, 31, 3, 11, 20.220736742019653, 6.740245580673218, 4.0, 3.593949317932129, 1.2945752143859863
Language_15, 7.4200897216796875, 2, 4, 24, 2, 11, 4.967581033706665, 2.4837905168533325, 4.0, 2.4449729919433594, 1.3361790180206299
Language_16, 30.465385913848877, 2, 3, 26, 2, 11, 28.010376930236816, 14.005188465118408, 3.0, 2.446593999862671, 1.343317985534668
Language_17, 37.86040902137756, 4, 5, 39, 3, 11, 33.24039268493652, 8.31009817123413, 4.0, 4.587495803833008, 1.2883079051971436
Language_18, 29.52829885482788, 4, 4, 39, 2, 11, 24.93706226348877, 6.234265565872192, 3.3333333333333335, 4.57125997543335, 1.2615430355072021
Language_19, 13.07832670211792, 4, 5, 32, 4, 11, 8.519728183746338, 2.1299320459365845, 3.6666666666666665, 4.53321385383606, 1.2273709774017334
Language_20, 38.241617918014526, 3, 5, 34, 3, 11, 34.66054821014404, 11.553516070048014, 4.5, 3.5668892860412598, 1.3633451461791992
Language_21, 13.056088209152222, 4, 4, 31, 3, 11, 8.52101993560791, 2.1302549839019775, 3.6666666666666665, 4.512197017669678, 1.2198231220245361
Language_22, 28.39079189300537, 4, 5, 49, 2, 11, 23.654860496520996, 5.913715124130249, 4.666666666666667, 4.71026349067688, 1.4089572429656982
Language_23, 15.31791377067566, 3, 4, 30, 3, 11, 11.785853862762451, 3.9286179542541504, 4.0, 3.516791820526123, 1.3095500469207764
Language_24, 11.256153106689453, 3, 4, 32, 2, 11, 7.753406047821045, 2.584468682607015, 3.5, 3.4898018836975098, 1.295295000076294
Language_25, 21.856414079666138, 4, 4, 35, 3, 11, 17.253843069076538, 4.3134607672691345, 3.0, 4.57914400100708, 1.2541942596435547
Language_26, 25.012383937835693, 6, 5, 48, 5, 11, 18.174606800079346, 3.0291011333465576, 3.8, 6.767407417297363, 1.2638778686523438
Language_27, 29.214775800704956, 3, 5, 36, 2, 11, 25.671979904174805, 8.557326634724935, 4.5, 3.52937388420105, 1.3104758262634277
Language_28, 27.541929960250854, 3, 4, 34, 3, 11, 23.812255859375, 7.937418619791667, 4.0, 3.712212085723877, 1.4868438243865967
Language_29, 29.718980073928833, 7, 6, 53, 2, 11, 21.84874963760376, 3.1212499482291087, 4.666666666666667, 7.812488555908203, 1.2377660274505615
Language_30, 16.783785820007324, 2, 3, 26, 2, 11, 14.354763269424438, 7.177381634712219, 3.0, 2.422248125076294, 1.3241710662841797
Language_31, 10.86170220375061, 3, 4, 29, 3, 11, 7.389711856842041, 2.4632372856140137, 4.0, 3.4571382999420166, 1.2589759826660156
Language_32, 10.61234188079834, 3, 7, 24, 3, 11, 7.194063186645508, 2.3980210622151694, 5.0, 3.4048233032226562, 1.190136194229126
Language_33, 20.234688997268677, 3, 4, 33, 2, 11, 16.729624032974243, 5.576541344324748, 4.0, 3.49310302734375, 1.2978808879852295
Language_34, 13.604128122329712, 4, 4, 36, 3, 11, 9.014315843582153, 2.2535789608955383, 3.3333333333333335, 4.566612720489502, 1.2555608749389648
Language_35, 14.006932973861694, 3, 2, 27, 3, 11, 10.528114080429077, 3.509371360143026, 2.0, 3.4646921157836914, 1.2542357444763184
Language_36, 40.171674966812134, 6, 6, 82, 3, 11, 32.746280670166016, 5.457713445027669, 4.6, 7.319693088531494, 1.8067190647125244
Language_37, 10.55833911895752, 3, 4, 28, 3, 11, 7.028562068939209, 2.3428540229797363, 3.0, 3.513662815093994, 1.264697790145874
Language_38, 47.4243426322937, 4, 4, 43, 2, 11, 42.44613003730774, 10.611532509326935, 4.0, 4.950196743011475, 1.5225608348846436
Language_39, 37.704034090042114, 5, 4, 53, 2, 11, 31.349550247192383, 6.269910049438477, 4.0, 6.322158575057983, 1.3460009098052979
Language_40, 283.26016998291016, 3, 3, 34, 3, 11, 279.4618775844574, 93.15395919481914, 3.0, 3.781320095062256, 1.3556010723114014
Language_41, 64.4071741104126, 5, 4, 59, 3, 11, 58.543463945388794, 11.708692789077759, 3.75, 5.8163957595825195, 1.3961410522460938
Language_42, 13.676814794540405, 4, 4, 23, 5, 11, 9.197504758834839, 2.2993761897087097, 3.3333333333333335, 4.458640098571777, 1.1594741344451904
Language_43, 49.462721824645996, 4, 4, 45, 3, 11, 44.84046792984009, 11.210116982460022, 3.6666666666666665, 4.593392610549927, 1.3015198707580566
Language_44, 12.56420087814331, 3, 3, 26, 3, 11, 9.140721321105957, 3.046907107035319, 3.0, 3.409519672393799, 1.2058568000793457
Language_45, 12.320091962814331, 3, 3, 34, 2, 11, 8.759911298751831, 2.919970432917277, 3.0, 3.545383930206299, 1.3415369987487793
Language_46, 15.019043207168579, 2, 4, 26, 2, 11, 12.181850910186768, 6.090925455093384, 4.0, 2.8284318447113037, 1.352031946182251
Language_47, 10.261972904205322, 3, 5, 25, 4, 11, 6.5636255741119385, 2.187875191370646, 3.5, 3.682502031326294, 1.2398269176483154
Language_48, 112.73752021789551, 3, 3, 33, 2, 11, 108.70534825325012, 36.23511608441671, 2.5, 4.01556921005249, 1.5609889030456543
Language_49, 14.315808057785034, 2, 3, 26, 2, 11, 11.967113018035889, 5.983556509017944, 3.0, 2.3406434059143066, 1.2497141361236572
Language_50, 53.95941781997681, 2, 5, 27, 2, 11, 51.48661756515503, 25.743308782577515, 5.0, 2.4639151096343994, 1.3637430667877197
Language_51, 8.958033800125122, 3, 4, 28, 3, 11, 5.493407726287842, 1.831135908762614, 3.5, 3.449594259262085, 1.2514731884002686
