Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 2.2071030139923096, 1, 0, 6, 1, 4, 1.108384132385254, 1.108384132385254, 0, 1.09798002243042, 1.09798002243042
Language_1, 4.411062002182007, 2, 2, 4, 2, 3, 2.1949660778045654, 1.0974830389022827, 2.0, 2.2146923542022705, 1.1072373390197754
Language_2, 4.408390283584595, 2, 4, 9, 2, 4, 2.20021915435791, 1.100109577178955, 4.0, 2.2062361240386963, 1.1048088073730469
Language_3, 4.4019389152526855, 2, 2, 6, 2, 4, 2.204502820968628, 1.102251410484314, 2.0, 2.19575572013855, 1.1022288799285889
Language_4, 6.612846851348877, 3, 7, 15, 2, 4, 3.3052382469177246, 1.1017460823059082, 6.0, 3.3036012649536133, 1.1028060913085938
Language_5, 2.213629961013794, 1, 0, 6, 1, 4, 1.1123321056365967, 1.1123321056365967, 0, 1.1005001068115234, 1.1005001068115234
Language_6, 4.410921812057495, 2, 3, 9, 2, 4, 2.2189579010009766, 1.1094789505004883, 3.0, 2.19000506401062, 1.097837209701538
Language_7, 6.636828899383545, 3, 7, 15, 2, 4, 3.323219060897827, 1.1077396869659424, 4.5, 3.3093984127044678, 1.1022770404815674
Language_8, 4.444034099578857, 2, 4, 11, 1, 4, 2.227349042892456, 1.113674521446228, 4.0, 2.214726448059082, 1.1100926399230957
Language_9, 2.2055420875549316, 1, 0, 4, 1, 3, 1.1130332946777344, 1.1130332946777344, 0, 1.0917940139770508, 1.0917940139770508
Language_10, 4.4303297996521, 2, 5, 11, 1, 4, 2.219174861907959, 1.1095874309539795, 5.0, 2.2093448638916016, 1.1033079624176025
Language_11, 2.20896315574646, 1, 0, 6, 1, 4, 1.0992088317871094, 1.0992088317871094, 0, 1.1089611053466797, 1.1089611053466797
Language_12, 2.207170009613037, 1, 0, 6, 1, 4, 1.107809066772461, 1.107809066772461, 0, 1.0985751152038574, 1.0985751152038574
Language_13, 4.405561923980713, 2, 4, 9, 1, 4, 2.2111239433288574, 1.1055619716644287, 4.0, 2.1929328441619873, 1.105003833770752
Language_14, 4.416551113128662, 2, 4, 8, 2, 4, 2.2169101238250732, 1.1084550619125366, 4.0, 2.197547674179077, 1.1000308990478516
Language_15, 4.416086912155151, 2, 4, 9, 2, 4, 2.219589948654175, 1.1097949743270874, 4.0, 2.194437026977539, 1.0943019390106201
Language_16, 4.426337003707886, 2, 3, 10, 2, 4, 2.223818302154541, 1.1119091510772705, 3.0, 2.2003159523010254, 1.1075537204742432
Language_17, 4.423046350479126, 2, 4, 8, 2, 4, 2.211763858795166, 1.105881929397583, 4.0, 2.2094178199768066, 1.1109569072723389
Language_18, 2.203742027282715, 1, 0, 6, 1, 4, 1.1054489612579346, 1.1054489612579346, 0, 1.0974321365356445, 1.0974321365356445
Language_19, 2.2073988914489746, 1, 0, 7, 1, 4, 1.1070141792297363, 1.1070141792297363, 0, 1.099518060684204, 1.099518060684204
Language_20, 2.205289840698242, 1, 0, 5, 1, 4, 1.1062898635864258, 1.1062898635864258, 0, 1.098236322402954, 1.098236322402954
Language_21, 2.2093429565429688, 1, 0, 6, 1, 4, 1.1075289249420166, 1.1075289249420166, 0, 1.1010210514068604, 1.1010210514068604
Language_22, 4.389084815979004, 2, 2, 3, 2, 3, 2.195892095565796, 1.097946047782898, 2.0, 2.191912889480591, 1.0947399139404297
Language_23, 2.206461191177368, 1, 0, 6, 1, 4, 1.1070048809051514, 1.1070048809051514, 0, 1.098649024963379, 1.098649024963379
Language_24, 4.412229061126709, 2, 2, 4, 3, 4, 2.205883026123047, 1.1029415130615234, 2.0, 2.204742908477783, 1.1065988540649414
Language_25, 2.2086572647094727, 1, 0, 6, 1, 4, 1.1085479259490967, 1.1085479259490967, 0, 1.0993337631225586, 1.0993337631225586
Language_26, 2.197662115097046, 1, 0, 5, 1, 4, 1.1032850742340088, 1.1032850742340088, 0, 1.0936288833618164, 1.0936288833618164
Language_27, 13.297157287597656, 6, 6, 25, 3, 4, 6.663839101791382, 1.1106398502985637, 4.6, 6.61880087852478, 1.1052579879760742
Language_28, 4.40467095375061, 2, 4, 10, 1, 4, 2.2031409740448, 1.1015704870224, 4.0, 2.199744939804077, 1.100281000137329
Language_29, 4.415647029876709, 2, 4, 10, 1, 4, 2.2159080505371094, 1.1079540252685547, 4.0, 2.1978976726531982, 1.1011078357696533
Language_30, 2.194737195968628, 1, 0, 6, 1, 4, 1.104133129119873, 1.104133129119873, 0, 1.08982515335083, 1.08982515335083
Language_31, 2.2101168632507324, 1, 0, 6, 1, 4, 1.1082549095153809, 1.1082549095153809, 0, 1.1010570526123047, 1.1010570526123047
