Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, SAT Failed
Language_1, SAT Failed
Language_2, SAT Failed
Language_3, SAT Failed
Language_4, 130.78651905059814, 7, 10, 66, 3, 13, 122.14634084701538, 17.44947726385934, 6.666666666666667, 8.571341276168823, 1.9655570983886719
Language_5, SAT Failed
Language_6, SAT Failed
Language_7, 117.4449110031128, 5, 9, 35, 5, 13, 111.6466977596283, 22.32933955192566, 6.0, 5.774122953414917, 1.3549692630767822
Language_8, SAT Failed
Language_9, 82.82600927352905, 3, 4, 32, 3, 13, 79.04726266860962, 26.349087556203205, 4.0, 3.7669248580932617, 1.5818758010864258
Language_10, 276.73280096054077, 5, 8, 43, 4, 14, 270.67258048057556, 54.134516096115114, 5.75, 6.028561592102051, 1.6312668323516846
Language_11, SAT Failed
Language_12, SAT Failed
Language_13, SAT Failed
Language_14, SAT Failed
Language_15, SAT Failed
Language_16, SAT Failed
Language_17, SAT Failed
Language_18, SAT Failed
Language_19, SAT Failed
Language_20, SAT Failed
Language_21, 63.54878306388855, 3, 6, 29, 4, 14, 59.7077898979187, 19.90259663263957, 5.0, 3.8276548385620117, 1.584453821182251
Language_22, 179.35597491264343, 3, 4, 18, 5, 14, 176.0418312549591, 58.6806104183197, 3.5, 3.306443452835083, 1.105776071548462
Language_23, SAT Failed
Language_24, SAT Failed
Language_25, SAT Failed
Language_26, SAT Failed
Language_27, SAT Failed
Language_28, SAT Failed
Language_29, SAT Failed
Language_30, SAT Failed
Language_31, SAT Failed
Language_32, SAT Failed
Language_33, SAT Failed
Language_34, 60.68934082984924, 3, 3, 26, 4, 12, 56.928834676742554, 18.976278225580852, 3.0, 3.7498257160186768, 1.5499091148376465
Language_35, SAT Failed
Language_36, SAT Failed
Language_37, SAT Failed
Language_38, SAT Failed
Language_39, 51.31555199623108, 5, 8, 48, 5, 13, 45.15734338760376, 9.031468677520753, 5.5, 6.121070861816406, 1.6405460834503174
Language_40, 25.86523985862732, 4, 9, 27, 4, 12, 21.36719846725464, 5.34179961681366, 6.0, 4.483925819396973, 1.1879727840423584
Language_41, SAT Failed
Language_42, SAT Failed
Language_43, 57.96235680580139, 3, 4, 32, 4, 13, 54.158123254776, 18.052707751592, 3.5, 3.792865514755249, 1.5915391445159912
Language_44, 140.51602602005005, 3, 6, 30, 3, 14, 136.5813388824463, 45.52711296081543, 5.0, 3.925105094909668, 1.7110719680786133
Language_45, SAT Failed
Language_46, 16.13591694831848, 2, 4, 23, 2, 12, 13.488176107406616, 6.744088053703308, 4.0, 2.643113851547241, 1.5401909351348877
Language_47, SAT Failed
Language_48, 103.25101113319397, 4, 7, 39, 3, 13, 98.160471200943, 24.54011780023575, 6.0, 5.073507070541382, 1.756411075592041
Language_49, SAT Failed
Language_50, SAT Failed
Language_51, SAT Failed
Language_52, 16.67001700401306, 4, 5, 27, 4, 12, 12.101222038269043, 3.0253055095672607, 4.0, 4.555838108062744, 1.2345530986785889
Language_53, 106.80688285827637, 4, 5, 33, 4, 13, 101.96527886390686, 25.491319715976715, 4.666666666666667, 4.825658798217773, 1.4859378337860107
Language_54, SAT Failed
Language_55, SAT Failed
Language_56, SAT Failed
Language_57, SAT Failed
Language_58, SAT Failed
Language_59, 170.18340921401978, 4, 5, 37, 3, 14, 165.17729258537292, 41.29432314634323, 4.666666666666667, 4.992009162902832, 1.7094650268554688
Language_60, SAT Failed
Language_61, 220.2836618423462, 3, 6, 33, 4, 13, 216.41855335235596, 72.13951778411865, 4.5, 3.848783016204834, 1.6362249851226807
Language_62, SAT Failed
Language_63, SAT Failed
Language_64, 184.59835505485535, 6, 10, 52, 3, 13, 177.66499733924866, 29.610832889874775, 6.0, 6.907021760940552, 1.4009363651275635
Language_65, SAT Failed
Language_66, SAT Failed
Language_67, 18.90915083885193, 2, 3, 24, 4, 12, 16.266364097595215, 8.133182048797607, 3.0, 2.634953260421753, 1.539717197418213
Language_68, 36.26908087730408, 4, 5, 33, 4, 13, 31.529325485229492, 7.882331371307373, 3.3333333333333335, 4.72199010848999, 1.4278912544250488
Language_69, SAT Failed
Language_70, SAT Failed
Language_71, 81.85136604309082, 3, 5, 32, 3, 14, 78.01526093482971, 26.00508697827657, 3.5, 3.8247761726379395, 1.6319541931152344
Language_72, SAT Failed
Language_73, SAT Failed
Language_74, SAT Failed
Language_75, SAT Failed
Language_76, SAT Failed
Language_77, SAT Failed
Language_78, SAT Failed
Language_79, SAT Failed
Language_80, SAT Failed
Language_81, 173.14415311813354, 4, 7, 35, 3, 13, 168.42732119560242, 42.106830298900604, 5.333333333333333, 4.70311427116394, 1.406221866607666
Language_82, SAT Failed
Language_83, SAT Failed
Language_84, SAT Failed
Language_85, SAT Failed
Language_86, 17.93171000480652, 5, 6, 39, 5, 12, 12.084605693817139, 2.4169211387634277, 4.0, 5.820634365081787, 1.4314661026000977
Language_87, SAT Failed
Language_88, SAT Failed
Language_89, SAT Failed
Language_90, SAT Failed
Language_91, SAT Failed
Language_92, SAT Failed
Language_93, 64.06541681289673, 2, 4, 23, 2, 13, 61.56442713737488, 30.78221356868744, 4.0, 2.496303081512451, 1.3960599899291992
Language_94, SAT Failed
Language_95, 60.15548801422119, 3, 8, 23, 3, 12, 56.84816813468933, 18.949389378229778, 6.5, 3.300165891647339, 1.1006059646606445
Language_96, 62.78099298477173, 5, 7, 43, 5, 13, 56.8440728187561, 11.36881456375122, 4.25, 5.905097007751465, 1.515962839126587
Language_97, SAT Failed
Language_98, SAT Failed
Language_99, 133.7333860397339, 4, 8, 24, 7, 13, 129.3250732421875, 32.331268310546875, 6.333333333333333, 4.391480922698975, 1.097254991531372

Average, 98.28938935421131, 3.814814814814815, 6.148148148148148, 33.55555555555556, 3.814814814814815, 12.962962962962964, 93.67910932611537, 25.133205085498734, 4.7407407407407405, 4.592306993625782, 1.4894737667507596, 7, 27
