Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 7.031620979309082, 3, 4, 19, 3, 8, 3.6831512451171875, 1.2277170817057292, 4.0, 3.341712474822998, 1.1265559196472168
Language_1, 7.06344199180603, 3, 6, 17, 3, 8, 3.752164840698242, 1.2507216135660808, 5.0, 3.3045761585235596, 1.1001811027526855
Language_2, 7.352797746658325, 3, 5, 20, 2, 8, 4.034359931945801, 1.3447866439819336, 3.5, 3.3114027976989746, 1.1162209510803223
Language_3, 9.499413013458252, 4, 7, 28, 3, 8, 5.058387994766235, 1.2645969986915588, 4.333333333333333, 4.426900386810303, 1.1187291145324707
Language_4, 6.879068851470947, 3, 4, 19, 3, 8, 3.55869722366333, 1.1862324078877766, 3.5, 3.311704635620117, 1.1156208515167236
Language_5, 9.340044975280762, 4, 8, 22, 3, 8, 4.911413908004761, 1.2278534770011902, 4.666666666666667, 4.417139053344727, 1.1272609233856201
Language_6, 7.30610203742981, 3, 6, 25, 3, 8, 3.9630727767944336, 1.3210242589314778, 4.5, 3.3314223289489746, 1.1319670677185059
Language_7, 10.447013854980469, 4, 6, 31, 3, 8, 5.9936535358428955, 1.4984133839607239, 4.666666666666667, 4.439139366149902, 1.1293680667877197
Language_8, 4.676572799682617, 2, 3, 18, 2, 8, 2.436030149459839, 1.2180150747299194, 3.0, 2.237051010131836, 1.1311349868774414
Language_9, 10.053002119064331, 3, 6, 23, 2, 8, 6.72381329536438, 2.2412710984547934, 5.0, 3.3224658966064453, 1.1288299560546875
Language_10, 4.83628511428833, 2, 4, 18, 2, 8, 2.594697952270508, 1.297348976135254, 4.0, 2.237168788909912, 1.136861801147461
Language_11, 9.267063856124878, 4, 4, 21, 4, 8, 4.831829309463501, 1.2079573273658752, 3.0, 4.422199726104736, 1.1146328449249268
Language_12, 4.759343862533569, 2, 3, 16, 2, 8, 2.520004987716675, 1.2600024938583374, 3.0, 2.235231876373291, 1.1306018829345703
Language_13, 9.0817289352417, 4, 3, 19, 5, 8, 4.650946140289307, 1.1627365350723267, 3.0, 4.418562650680542, 1.1151230335235596
