Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 4.477092981338501, 2, 2, 10, 2, 6, 2.265984058380127, 1.1329920291900635, 2.0, 2.2092297077178955, 1.09761381149292
Language_1, 4.476716995239258, 2, 5, 13, 1, 6, 2.2537569999694824, 1.1268784999847412, 5.0, 2.220536231994629, 1.1190032958984375
Language_2, 4.450905084609985, 2, 4, 13, 2, 6, 2.2447211742401123, 1.1223605871200562, 4.0, 2.203644037246704, 1.103281021118164
Language_3, 4.4550511837005615, 2, 5, 12, 2, 6, 2.24208927154541, 1.121044635772705, 5.0, 2.210500955581665, 1.1080050468444824
Language_4, 6.73892879486084, 3, 5, 21, 2, 6, 3.430288076400757, 1.1434293588002522, 4.5, 3.3022940158843994, 1.1049940586090088
Language_5, 4.479400873184204, 2, 3, 12, 1, 6, 2.26623272895813, 1.133116364479065, 3.0, 2.2109768390655518, 1.1045558452606201
Language_6, 6.660249710083008, 3, 3, 8, 4, 6, 3.338865041732788, 1.1129550139109294, 3.0, 3.3172411918640137, 1.103550910949707
Language_7, 4.49065089225769, 2, 5, 14, 1, 6, 2.2800750732421875, 1.1400375366210938, 5.0, 2.208127737045288, 1.105947732925415
Language_8, 4.472417116165161, 2, 4, 14, 1, 6, 2.265476942062378, 1.132738471031189, 4.0, 2.2046618461608887, 1.1087620258331299
Language_9, 4.423649072647095, 2, 4, 9, 2, 6, 2.2265589237213135, 1.1132794618606567, 4.0, 2.1950018405914307, 1.0932579040527344
Language_10, 6.733828067779541, 3, 6, 18, 3, 6, 3.4182591438293457, 1.139419714609782, 4.0, 3.3095920085906982, 1.1054730415344238
Language_11, 6.643480062484741, 3, 5, 11, 4, 6, 3.3510372638702393, 1.1170124212900798, 4.0, 3.2870283126831055, 1.0890014171600342
Language_12, 4.472584962844849, 2, 4, 14, 2, 6, 2.2505619525909424, 1.1252809762954712, 4.0, 2.2188069820404053, 1.115736961364746
Language_13, 4.453924894332886, 2, 3, 14, 2, 6, 2.246640682220459, 1.1233203411102295, 3.0, 2.2042388916015625, 1.1058518886566162
Language_14, 6.735612154006958, 3, 5, 22, 1, 6, 3.411829948425293, 1.1372766494750977, 4.0, 3.318880558013916, 1.1121470928192139
Language_15, 6.712110757827759, 3, 5, 16, 1, 6, 3.396801471710205, 1.132267157236735, 4.0, 3.311829090118408, 1.1073260307312012
Language_16, 2.223433017730713, 1, 0, 8, 1, 6, 1.1185522079467773, 1.1185522079467773, 0, 1.1039657592773438, 1.1039657592773438
Language_17, 8.83577585220337, 4, 3, 11, 2, 5, 4.434140920639038, 1.1085352301597595, 3.0, 4.397729158401489, 1.0995452404022217
Language_18, 4.473146915435791, 2, 4, 15, 1, 6, 2.262539863586426, 1.131269931793213, 4.0, 2.208174228668213, 1.108065128326416
Language_19, 4.486243009567261, 2, 2, 14, 1, 6, 2.2744638919830322, 1.1372319459915161, 2.0, 2.2093777656555176, 1.1038589477539062
Language_20, 4.426031112670898, 2, 3, 12, 2, 6, 2.2260420322418213, 1.1130210161209106, 3.0, 2.1970913410186768, 1.098573923110962
Language_21, 4.4562389850616455, 2, 3, 10, 2, 6, 2.2269415855407715, 1.1134707927703857, 3.0, 2.22691011428833, 1.1249151229858398
Language_22, 6.64143705368042, 3, 4, 12, 4, 6, 3.339639902114868, 1.113213300704956, 3.5, 3.296933889389038, 1.097139835357666
Language_23, 8.873242139816284, 4, 7, 13, 3, 6, 4.463411092758179, 1.1158527731895447, 4.666666666666667, 4.404426097869873, 1.099951982498169
Language_24, 6.638017177581787, 3, 4, 9, 2, 6, 3.3346917629241943, 1.1115639209747314, 3.0, 3.300323963165283, 1.101417064666748
Language_25, 2.2031381130218506, 1, 0, 4, 1, 3, 1.1079940795898438, 1.1079940795898438, 0, 1.094449758529663, 1.094449758529663
Language_26, 18.19337010383606, 8, 5, 53, 3, 6, 9.318017959594727, 1.1647522449493408, 4.571428571428571, 8.833680152893066, 1.1150062084197998
