Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 8.930567979812622, 4, 8, 25, 3, 6, 4.5347747802734375, 1.1336936950683594, 5.666666666666667, 4.386427879333496, 1.094343900680542
Language_1, 4.431925058364868, 2, 3, 11, 2, 6, 2.222062826156616, 1.111031413078308, 3.0, 2.2077157497406006, 1.104353904724121
Language_2, 6.637414216995239, 3, 4, 13, 3, 6, 3.3305678367614746, 1.1101892789204915, 3.0, 3.30320143699646, 1.1091482639312744
Language_3, 4.4175331592559814, 2, 3, 8, 2, 5, 2.218230962753296, 1.109115481376648, 3.0, 2.1975793838500977, 1.0958902835845947
Language_4, 6.650691032409668, 3, 5, 17, 2, 6, 3.3474020957946777, 1.1158006985982258, 4.5, 3.2995989322662354, 1.1077377796173096
Language_5, 6.6777331829071045, 3, 5, 18, 2, 6, 3.3662312030792236, 1.1220770676930745, 4.5, 3.307875156402588, 1.1075952053070068
Language_6, 6.683417797088623, 3, 6, 18, 2, 6, 3.365474224090576, 1.1218247413635254, 5.5, 3.3141751289367676, 1.1069350242614746
Language_7, 6.6375181674957275, 3, 6, 17, 2, 6, 3.3310916423797607, 1.1103638807932537, 4.0, 3.3026771545410156, 1.1042540073394775
Language_8, 4.421351909637451, 2, 4, 9, 2, 6, 2.2287161350250244, 1.1143580675125122, 4.0, 2.1905314922332764, 1.091355323791504
Language_9, 6.6761698722839355, 3, 8, 16, 2, 6, 3.3686516284942627, 1.1228838761647542, 5.5, 3.304166078567505, 1.104254961013794
Language_10, 2.218982219696045, 1, 0, 9, 1, 6, 1.1185030937194824, 1.1185030937194824, 0, 1.0995981693267822, 1.0995981693267822
Language_11, 4.42828893661499, 2, 4, 10, 2, 5, 2.224235773086548, 1.112117886543274, 4.0, 2.202080011367798, 1.101289987564087
Language_12, 6.659992933273315, 3, 9, 15, 3, 6, 3.343358278274536, 1.1144527594248455, 8.0, 3.3122456073760986, 1.1029729843139648
Language_13, 6.6509928703308105, 3, 3, 13, 4, 6, 3.330709218978882, 1.110236406326294, 2.5, 3.3165371417999268, 1.1132678985595703
Language_14, 4.438610315322876, 2, 4, 12, 3, 6, 2.224421739578247, 1.1122108697891235, 4.0, 2.2115089893341064, 1.1050841808319092
Language_15, 8.936385154724121, 4, 6, 19, 3, 6, 4.515548467636108, 1.128887116909027, 5.666666666666667, 4.414263010025024, 1.1061432361602783
Language_16, 8.856849908828735, 4, 7, 17, 2, 6, 4.4572978019714355, 1.1143244504928589, 5.666666666666667, 4.395397186279297, 1.1031150817871094
Language_17, 4.424605846405029, 2, 4, 8, 4, 6, 2.218842029571533, 1.1094210147857666, 4.0, 2.203636884689331, 1.103604793548584
Language_18, 6.664920091629028, 3, 6, 17, 2, 6, 3.348562717437744, 1.116187572479248, 4.5, 3.3124921321868896, 1.1049530506134033
Language_19, 4.45920991897583, 2, 2, 14, 2, 6, 2.2486469745635986, 1.1243234872817993, 2.0, 2.2079031467437744, 1.1102581024169922
Language_20, 4.44076681137085, 2, 2, 10, 2, 6, 2.233865976333618, 1.116932988166809, 2.0, 2.2047691345214844, 1.1037161350250244
Language_21, 11.114593029022217, 5, 6, 19, 4, 6, 5.6191065311431885, 1.1238213062286377, 4.25, 5.4869384765625, 1.0948560237884521
Language_22, 8.844457864761353, 4, 5, 9, 5, 6, 4.433672904968262, 1.1084182262420654, 3.3333333333333335, 4.405901670455933, 1.1027922630310059
Language_23, 4.447715997695923, 2, 3, 9, 2, 6, 2.2357747554779053, 1.1178873777389526, 3.0, 2.210099935531616, 1.1075031757354736
Language_24, 6.668627977371216, 3, 5, 16, 3, 6, 3.3483078479766846, 1.1161026159922283, 4.5, 3.315847635269165, 1.1073379516601562
Language_25, 4.460416078567505, 2, 5, 11, 2, 6, 2.2660999298095703, 1.1330499649047852, 5.0, 2.1922500133514404, 1.0959539413452148
Language_26, 4.418823003768921, 2, 5, 8, 2, 5, 2.22381854057312, 1.11190927028656, 5.0, 2.1932373046875, 1.097668170928955
Language_27, 4.418104887008667, 2, 4, 8, 2, 5, 2.2024364471435547, 1.1012182235717773, 4.0, 2.2138919830322266, 1.1102509498596191
Language_28, 4.422377824783325, 2, 3, 10, 2, 5, 2.220240592956543, 1.1101202964782715, 3.0, 2.2003333568573, 1.1009821891784668
Language_29, 6.656946897506714, 3, 6, 16, 2, 5, 3.338122844696045, 1.1127076148986816, 4.5, 3.3152451515197754, 1.1023890972137451
Language_30, 4.430031061172485, 2, 3, 11, 2, 5, 2.214987277984619, 1.1074936389923096, 3.0, 2.213054895401001, 1.1056859493255615
Language_31, 8.837368965148926, 4, 4, 10, 5, 6, 4.422289848327637, 1.1055724620819092, 3.3333333333333335, 4.4095869064331055, 1.1075000762939453
Language_32, 6.63870096206665, 3, 9, 14, 2, 5, 3.338160753250122, 1.112720251083374, 5.5, 3.2968573570251465, 1.1045281887054443
Language_33, 6.644188165664673, 3, 5, 12, 4, 6, 3.332850456237793, 1.1109501520792644, 4.0, 3.3072681427001953, 1.1017301082611084
