Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 9.047559261322021, 4, 3, 23, 3, 6, 4.618297338485718, 1.1545743346214294, 3.0, 4.414656162261963, 1.1079421043395996
Language_1, 4.525089740753174, 2, 4, 14, 1, 6, 2.3358571529388428, 1.1679285764694214, 4.0, 2.186173915863037, 1.1003010272979736
Language_2, 4.552667856216431, 2, 3, 15, 2, 6, 2.3383429050445557, 1.1691714525222778, 3.0, 2.2102768421173096, 1.111649751663208
Language_3, 4.562731027603149, 2, 4, 16, 1, 6, 2.356870651245117, 1.1784353256225586, 4.0, 2.2023491859436035, 1.1098780632019043
Language_4, 4.564542293548584, 2, 4, 14, 1, 6, 2.3286821842193604, 1.1643410921096802, 4.0, 2.232645273208618, 1.1254169940948486
Language_5, 4.52145791053772, 2, 4, 13, 2, 6, 2.319671630859375, 1.1598358154296875, 4.0, 2.1982572078704834, 1.1004831790924072
Language_6, 8.933574199676514, 4, 3, 17, 4, 6, 4.507575988769531, 1.1268939971923828, 2.6666666666666665, 4.411801815032959, 1.1043329238891602
Language_7, 4.445426940917969, 2, 3, 9, 2, 6, 2.2388737201690674, 1.1194368600845337, 3.0, 2.203550338745117, 1.1042671203613281
Language_8, 6.661862850189209, 3, 3, 9, 4, 6, 3.3531923294067383, 1.1177307764689128, 3.0, 3.3025319576263428, 1.1033291816711426
Language_9, 4.55164098739624, 2, 4, 16, 1, 6, 2.3372466564178467, 1.1686233282089233, 4.0, 2.21042799949646, 1.1116459369659424
Language_10, 4.480302095413208, 2, 2, 11, 2, 6, 2.2712597846984863, 1.1356298923492432, 2.0, 2.205777883529663, 1.1051080226898193
Language_11, 4.535805940628052, 2, 4, 16, 1, 6, 2.3319809436798096, 1.1659904718399048, 4.0, 2.2002649307250977, 1.1035771369934082
Language_12, 11.321261644363403, 5, 5, 25, 2, 6, 5.779857158660889, 1.1559714317321776, 4.5, 5.5281171798706055, 1.1226418018341064
Language_13, 4.5642101764678955, 2, 4, 16, 1, 6, 2.3501179218292236, 1.1750589609146118, 4.0, 2.2106680870056152, 1.1128549575805664
Language_14, 9.051196098327637, 4, 5, 23, 2, 6, 4.624837875366211, 1.1562094688415527, 4.0, 4.4133946895599365, 1.110473871231079
Language_15, 4.485106945037842, 2, 4, 12, 1, 6, 2.2793118953704834, 1.1396559476852417, 4.0, 2.2030370235443115, 1.10770583152771
Language_16, 4.57115626335144, 2, 5, 16, 1, 6, 2.3488218784332275, 1.1744109392166138, 5.0, 2.2185611724853516, 1.1113770008087158
Language_17, 6.829880952835083, 3, 4, 18, 2, 6, 3.511815309524536, 1.1706051031748455, 4.0, 3.3115074634552, 1.113548755645752
Language_18, 2.2674508094787598, 1, 0, 9, 1, 6, 1.1606330871582031, 1.1606330871582031, 0, 1.105518102645874, 1.105518102645874
Language_19, 4.54759669303894, 2, 5, 16, 1, 6, 2.338252067565918, 1.169126033782959, 5.0, 2.2056772708892822, 1.1068811416625977
Language_20, 4.5296950340271, 2, 3, 15, 2, 6, 2.313812017440796, 1.156906008720398, 3.0, 2.211357593536377, 1.1097197532653809
Language_21, 4.505003929138184, 2, 5, 12, 1, 6, 2.2963297367095947, 1.1481648683547974, 5.0, 2.2057149410247803, 1.1080479621887207
Language_22, 4.53869104385376, 2, 4, 14, 1, 6, 2.319559097290039, 1.1597795486450195, 4.0, 2.215985059738159, 1.1177518367767334
Language_23, 6.697420835494995, 3, 4, 17, 2, 6, 3.39725399017334, 1.1324179967244465, 4.0, 3.2942516803741455, 1.1114509105682373
Language_24, 6.793757915496826, 3, 4, 18, 2, 6, 3.463620185852051, 1.1545400619506836, 3.5, 3.323678970336914, 1.1218619346618652
Language_25, 8.922057151794434, 4, 3, 11, 5, 6, 4.497300386428833, 1.1243250966072083, 2.6666666666666665, 4.412598609924316, 1.0971448421478271
Language_26, 4.456979990005493, 2, 2, 9, 2, 6, 2.237020254135132, 1.118510127067566, 2.0, 2.2170233726501465, 1.1072583198547363
Language_27, 4.525313138961792, 2, 3, 14, 2, 6, 2.2965750694274902, 1.1482875347137451, 3.0, 2.2250287532806396, 1.117809772491455
Language_28, 4.446911811828613, 2, 2, 9, 2, 6, 2.240295886993408, 1.120147943496704, 2.0, 2.203402280807495, 1.1009759902954102
Language_29, 4.538137912750244, 2, 4, 11, 1, 6, 2.327486038208008, 1.163743019104004, 4.0, 2.2084686756134033, 1.1027500629425049
Language_30, 4.623131036758423, 2, 5, 17, 1, 6, 2.4025509357452393, 1.2012754678726196, 5.0, 2.2166402339935303, 1.117934226989746
Language_31, 2.272247076034546, 1, 0, 10, 1, 6, 1.1622250080108643, 1.1622250080108643, 0, 1.108642816543579, 1.108642816543579
Language_32, 6.7465667724609375, 3, 5, 16, 2, 6, 3.4242963790893555, 1.1414321263631184, 4.5, 3.316422462463379, 1.1098277568817139
Language_33, 4.507318019866943, 2, 5, 12, 1, 6, 2.283921957015991, 1.1419609785079956, 5.0, 2.220428228378296, 1.10707426071167
Language_34, 4.538770914077759, 2, 3, 13, 2, 6, 2.312654972076416, 1.156327486038208, 3.0, 2.2224721908569336, 1.114018201828003
Language_35, 8.928829908370972, 4, 3, 18, 4, 6, 4.510340213775635, 1.1275850534439087, 2.6666666666666665, 4.404966354370117, 1.1123991012573242
Language_36, 4.527441024780273, 2, 2, 13, 2, 6, 2.313563823699951, 1.1567819118499756, 2.0, 2.210346221923828, 1.1122121810913086
Language_37, 4.5454020500183105, 2, 4, 14, 1, 6, 2.3365728855133057, 1.1682864427566528, 4.0, 2.2056751251220703, 1.1097800731658936
Language_38, 4.508335113525391, 2, 3, 13, 2, 6, 2.2866387367248535, 1.1433193683624268, 3.0, 2.217663049697876, 1.1159350872039795
Language_39, 4.532080173492432, 2, 5, 14, 1, 6, 2.331223726272583, 1.1656118631362915, 5.0, 2.1977288722991943, 1.1023139953613281
Language_40, 4.585190057754517, 2, 4, 15, 1, 6, 2.3698010444641113, 1.1849005222320557, 4.0, 2.2121870517730713, 1.1119449138641357
Language_41, 6.832586050033569, 3, 5, 20, 1, 6, 3.4972426891326904, 1.1657475630442302, 4.5, 3.3294336795806885, 1.1187567710876465
Language_42, 6.713392972946167, 3, 4, 15, 3, 6, 3.3852477073669434, 1.1284159024556477, 3.5, 3.32014799118042, 1.1120638847351074
Language_43, 4.597854375839233, 2, 4, 18, 1, 6, 2.3703949451446533, 1.1851974725723267, 4.0, 2.2234058380126953, 1.117642879486084
Language_44, 4.540174245834351, 2, 4, 14, 1, 6, 2.3194220066070557, 1.1597110033035278, 4.0, 2.2176690101623535, 1.115962028503418
Language_45, 4.809181213378906, 2, 4, 14, 2, 6, 2.5349109172821045, 1.2674554586410522, 4.0, 2.270346164703369, 1.1085951328277588
Language_46, 6.930109977722168, 3, 4, 24, 2, 6, 3.587167739868164, 1.1957225799560547, 3.5, 3.333803176879883, 1.124561071395874
Language_47, 4.494615077972412, 2, 4, 12, 2, 6, 2.279564619064331, 1.1397823095321655, 4.0, 2.2115767002105713, 1.1100537776947021
Language_48, 4.590101003646851, 2, 4, 17, 1, 6, 2.3638956546783447, 1.1819478273391724, 4.0, 2.222327709197998, 1.1185338497161865
Language_49, 4.55664587020874, 2, 4, 14, 1, 6, 2.3331141471862793, 1.1665570735931396, 4.0, 2.2203030586242676, 1.1156642436981201
Language_50, 6.704869031906128, 3, 3, 13, 3, 6, 3.3949785232543945, 1.1316595077514648, 3.0, 3.30277156829834, 1.1035239696502686
Language_51, 6.699175119400024, 3, 2, 14, 3, 6, 3.3823091983795166, 1.1274363994598389, 2.0, 3.309687852859497, 1.1066229343414307
Language_52, 2.280334949493408, 1, 0, 10, 1, 6, 1.1690428256988525, 1.1690428256988525, 0, 1.109809160232544, 1.109809160232544
Language_53, 4.596595048904419, 2, 2, 17, 2, 6, 2.3638596534729004, 1.1819298267364502, 2.0, 2.2274529933929443, 1.1245801448822021
Language_54, 4.571712970733643, 2, 4, 16, 1, 6, 2.3580007553100586, 1.1790003776550293, 4.0, 2.2101027965545654, 1.1117899417877197
Language_55, 4.585008859634399, 2, 3, 14, 2, 6, 2.3516900539398193, 1.1758450269699097, 3.0, 2.2293472290039062, 1.1205711364746094
Language_56, 4.595039129257202, 2, 4, 18, 1, 6, 2.363408327102661, 1.1817041635513306, 4.0, 2.227423667907715, 1.1243269443511963
Language_57, 6.865823984146118, 3, 4, 25, 2, 6, 3.546427011489868, 1.1821423371632893, 4.0, 3.310581684112549, 1.1160318851470947
Language_58, 4.545466899871826, 2, 5, 14, 1, 6, 2.33282470703125, 1.166412353515625, 5.0, 2.2093613147735596, 1.1024761199951172
Language_59, 6.843563079833984, 3, 4, 23, 2, 6, 3.509075164794922, 1.1696917215983074, 3.5, 3.325972318649292, 1.1123020648956299
Language_60, 6.736321926116943, 3, 3, 14, 3, 6, 3.409986734390259, 1.136662244796753, 3.0, 3.318917751312256, 1.1153028011322021
Language_61, 4.600245952606201, 2, 4, 16, 1, 6, 2.374666929244995, 1.1873334646224976, 4.0, 2.22196626663208, 1.1199631690979004
Language_62, 4.606611967086792, 2, 4, 15, 2, 6, 2.3659610748291016, 1.1829805374145508, 4.0, 2.236525058746338, 1.1227161884307861
Language_63, 6.821703195571899, 3, 4, 21, 2, 6, 3.4856772422790527, 1.1618924140930176, 3.5, 3.3273541927337646, 1.113663911819458
Language_64, 4.586044073104858, 2, 4, 18, 2, 6, 2.362557888031006, 1.181278944015503, 4.0, 2.2183480262756348, 1.1180150508880615
Language_65, 4.573344945907593, 2, 4, 15, 1, 6, 2.3466789722442627, 1.1733394861221313, 4.0, 2.223345994949341, 1.1152520179748535
