Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 7.359673023223877, 3, 3, 25, 3, 8, 3.9975876808166504, 1.3325292269388835, 3.0, 3.3509140014648438, 1.1454980373382568
Language_1, 4.803269147872925, 2, 3, 18, 2, 8, 2.5576891899108887, 1.2788445949554443, 3.0, 2.2402679920196533, 1.139312744140625
Language_2, 5.01689600944519, 2, 3, 15, 2, 8, 2.781447649002075, 1.3907238245010376, 3.0, 2.2318856716156006, 1.1267387866973877
Language_3, 6.931842803955078, 3, 4, 20, 3, 8, 3.5862882137298584, 1.1954294045766194, 3.5, 3.33771014213562, 1.1183459758758545
Language_4, 7.146404027938843, 3, 4, 23, 2, 8, 3.808928966522217, 1.269642988840739, 3.5, 3.330214023590088, 1.130309820175171
Language_5, 7.37232518196106, 3, 5, 25, 3, 8, 4.014110803604126, 1.3380369345347087, 4.5, 3.3460779190063477, 1.1396470069885254
Language_6, 9.732933282852173, 4, 5, 29, 2, 8, 5.281517028808594, 1.3203792572021484, 4.0, 4.439807891845703, 1.142634391784668
Language_7, 12.654750347137451, 5, 5, 50, 2, 8, 7.0582969188690186, 1.4116593837738036, 4.0, 5.555732250213623, 1.1536798477172852
Language_8, 4.88923978805542, 2, 4, 20, 2, 8, 2.6556079387664795, 1.3278039693832397, 4.0, 2.228691339492798, 1.1375150680541992
Language_9, 4.749650955200195, 2, 3, 16, 2, 8, 2.536656141281128, 1.268328070640564, 3.0, 2.2081782817840576, 1.1060442924499512
Language_10, 9.306772947311401, 4, 4, 18, 6, 8, 4.8561482429504395, 1.2140370607376099, 3.0, 4.4326088428497314, 1.1231720447540283
Language_11, 7.6058900356292725, 3, 5, 23, 2, 8, 4.251643180847168, 1.4172143936157227, 4.5, 3.346952199935913, 1.1422250270843506
Language_12, 14.617634773254395, 5, 5, 48, 2, 8, 9.036769151687622, 1.8073538303375245, 4.0, 5.554048299789429, 1.1607120037078857
Language_13, 4.976125240325928, 2, 3, 19, 2, 8, 2.7117257118225098, 1.3558628559112549, 3.0, 2.2596731185913086, 1.1513051986694336
Language_14, 7.720881223678589, 3, 5, 26, 1, 8, 4.361701965332031, 1.453900655110677, 4.0, 3.3518731594085693, 1.141024112701416
Language_15, 5.360157012939453, 2, 4, 20, 1, 8, 3.1070327758789062, 1.5535163879394531, 4.0, 2.2489192485809326, 1.1517512798309326
Language_16, 11.498702764511108, 5, 4, 23, 5, 8, 5.961677074432373, 1.1923354148864747, 2.75, 5.51511812210083, 1.115828037261963
Language_17, 10.068948030471802, 4, 5, 33, 3, 8, 5.609788179397583, 1.4024470448493958, 3.6666666666666665, 4.440939903259277, 1.1402859687805176
Language_18, 7.672729015350342, 3, 3, 30, 2, 8, 4.305058479309082, 1.4350194931030273, 3.0, 3.355839252471924, 1.1541202068328857
Language_19, 4.5403687953948975, 2, 3, 12, 3, 8, 2.3213889598846436, 1.1606944799423218, 3.0, 2.214376926422119, 1.117522954940796
Language_20, 7.189297914505005, 3, 5, 26, 3, 8, 3.8315794467926025, 1.2771931489308674, 4.0, 3.3456640243530273, 1.1443190574645996
Language_21, 7.0650999546051025, 3, 5, 23, 2, 8, 3.7096710205078125, 1.2365570068359375, 4.5, 3.347956895828247, 1.141129970550537
Language_22, 7.139064073562622, 3, 4, 21, 2, 8, 3.806459426879883, 1.268819808959961, 4.0, 3.325087308883667, 1.1263720989227295
