Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 162.892569065094, 3, 5, 35, 3, 13, 159.10011982917786, 53.033373276392616, 3.5, 3.772137403488159, 1.5596420764923096
Language_1, 61.29815888404846, 3, 4, 29, 2, 13, 57.63411545753479, 19.211371819178265, 4.0, 3.6524040699005127, 1.4483439922332764
Language_2, SAT Failed
Language_3, 55.027894020080566, 5, 5, 45, 3, 13, 49.12268137931824, 9.824536275863647, 4.25, 5.860071182250977, 1.450279951095581
Language_4, 23.300428867340088, 2, 3, 25, 3, 13, 20.644651889801025, 10.322325944900513, 3.0, 2.645122766494751, 1.5463440418243408
Language_5, 40.437928915023804, 3, 4, 26, 4, 13, 36.81234121322632, 12.270780404408773, 3.5, 3.6086418628692627, 1.3946030139923096
Language_6, SAT Failed
Language_7, 21.65477204322815, 2, 4, 25, 2, 13, 19.022904872894287, 9.511452436447144, 4.0, 2.623793125152588, 1.5166351795196533
Language_8, 23.352015018463135, 2, 3, 24, 2, 13, 20.686083793640137, 10.343041896820068, 3.0, 2.6575927734375, 1.556786060333252
Language_9, 260.4222300052643, 3, 4, 40, 2, 13, 256.1120436191559, 85.3706812063853, 4.0, 4.293837070465088, 2.0897300243377686
Language_10, 39.14584422111511, 2, 2, 28, 2, 13, 36.40136003494263, 18.200680017471313, 2.0, 2.7345259189605713, 1.6289308071136475
Language_11, 162.14704990386963, 3, 4, 22, 4, 13, 158.6336226463318, 52.87787421544393, 3.5, 3.498732805252075, 1.2976899147033691
Language_12, 115.06484317779541, 3, 4, 29, 2, 13, 111.31536769866943, 37.105122566223145, 3.5, 3.7361841201782227, 1.535426139831543
Language_13, 33.246795892715454, 3, 3, 30, 3, 13, 29.396759033203125, 9.798919677734375, 3.0, 3.832674741744995, 1.5583908557891846
Language_14, SAT Failed
Language_15, SAT Failed
Language_16, 130.76748776435852, 3, 4, 37, 2, 13, 126.90241360664368, 42.30080453554789, 4.0, 3.848968982696533, 1.6529011726379395
Language_17, 17.613724946975708, 2, 4, 29, 2, 13, 14.90605115890503, 7.453025579452515, 4.0, 2.6979169845581055, 1.6007921695709229
Language_18, SAT Failed
Language_19, 32.873270988464355, 3, 4, 40, 3, 13, 28.930076837539673, 9.643358945846558, 3.5, 3.9178237915039062, 1.7116453647613525
Language_20, 40.69534683227539, 3, 3, 34, 3, 13, 36.95921754837036, 12.319739182790121, 2.5, 3.716489315032959, 1.5184259414672852
Language_21, 24.646562099456787, 2, 2, 22, 3, 13, 22.072585105895996, 11.036292552947998, 2.0, 2.56449294090271, 1.4624528884887695
Language_22, 106.66207003593445, 2, 3, 28, 2, 13, 103.89653301239014, 51.94826650619507, 3.0, 2.755774736404419, 1.6567778587341309
Language_23, 33.3858962059021, 4, 5, 31, 5, 13, 28.763031005859375, 7.190757751464844, 3.6666666666666665, 4.587407350540161, 1.2944419384002686
Language_24, 253.76919507980347, 2, 2, 30, 2, 13, 250.44471740722656, 125.22235870361328, 2.0, 3.3144638538360596, 2.2029740810394287
Language_25, SAT Failed
Language_26, 83.2144250869751, 6, 5, 57, 3, 13, 76.07727551460266, 12.679545919100443, 3.8, 7.07781982421875, 1.581347942352295
Language_27, SAT Failed
Language_28, SAT Failed
Language_29, 45.35330891609192, 2, 3, 29, 2, 13, 42.631211042404175, 21.315605521202087, 3.0, 2.7121710777282715, 1.6113440990447998
Language_30, 25.581727981567383, 4, 5, 34, 4, 13, 20.831759214401245, 5.207939803600311, 3.6666666666666665, 4.722250461578369, 1.4137911796569824
Language_31, 76.25762605667114, 2, 4, 29, 2, 13, 73.48793005943298, 36.74396502971649, 4.0, 2.759535312652588, 1.6515071392059326
Language_32, 31.31577491760254, 4, 6, 34, 4, 13, 26.610600471496582, 6.6526501178741455, 4.333333333333333, 4.677119255065918, 1.374985933303833
Language_33, 58.887792110443115, 3, 5, 31, 3, 13, 55.19881200790405, 18.399604002634685, 4.5, 3.6739163398742676, 1.4716949462890625
Language_34, 188.66466784477234, 5, 6, 55, 2, 13, 182.53757882118225, 36.50751576423645, 5.25, 6.0836334228515625, 1.6752426624298096
Language_35, 75.24777889251709, 3, 5, 36, 2, 13, 71.28360080718994, 23.761200269063313, 4.5, 3.9468870162963867, 1.7285168170928955
Language_36, 38.60440802574158, 2, 3, 26, 2, 13, 35.944514989852905, 17.972257494926453, 3.0, 2.651197910308838, 1.5481560230255127
Language_37, 70.75378727912903, 3, 4, 34, 3, 13, 66.99065375328064, 22.330217917760212, 3.0, 3.741705894470215, 1.540773868560791
Language_38, 250.6235592365265, 3, 6, 36, 3, 13, 246.64806818962097, 82.21602272987366, 5.0, 3.9500181674957275, 1.604445219039917
Language_39, 27.35792326927185, 3, 4, 34, 3, 13, 23.5179660320282, 7.839322010676066, 4.0, 3.822216749191284, 1.6206269264221191
Language_40, 43.54217791557312, 2, 4, 29, 2, 13, 40.81211495399475, 20.406057476997375, 4.0, 2.7206220626831055, 1.618614912033081
Language_41, 33.70783305168152, 2, 4, 28, 2, 13, 30.97744083404541, 15.488720417022705, 4.0, 2.7209889888763428, 1.6135568618774414
Language_42, 110.21707391738892, 4, 5, 47, 2, 13, 105.23569631576538, 26.308924078941345, 4.666666666666667, 4.955325126647949, 1.6327192783355713
Language_43, 26.27878713607788, 2, 4, 26, 3, 13, 23.623943328857422, 11.811971664428711, 4.0, 2.6441659927368164, 1.5465788841247559
Language_44, SAT Failed
Language_45, 285.7223234176636, 4, 5, 44, 3, 13, 280.73098850250244, 70.18274712562561, 4.0, 4.960777997970581, 1.656275987625122
Language_46, 37.552940130233765, 3, 5, 27, 3, 13, 32.99483132362366, 10.998277107874552, 4.0, 4.545658826828003, 2.3517229557037354
Language_47, 64.6740939617157, 5, 5, 38, 6, 13, 58.68891406059265, 11.73778281211853, 4.0, 5.921677827835083, 1.4060969352722168
Language_48, 45.315600872039795, 2, 2, 26, 2, 13, 42.3357298374176, 21.1678649187088, 2.0, 2.9715821743011475, 1.8596010208129883
Language_49, 47.23202300071716, 5, 4, 39, 5, 13, 41.307212114334106, 8.261442422866821, 3.25, 5.8674750328063965, 1.3894948959350586
Language_50, 142.26280212402344, 2, 2, 27, 2, 13, 139.61040091514587, 69.80520045757294, 2.0, 2.64359712600708, 1.5365841388702393
Language_51, SAT Failed
Language_52, 25.42237901687622, 3, 4, 31, 3, 13, 21.56374478340149, 7.187914927800496, 3.0, 3.839718818664551, 1.5742781162261963
Language_53, 238.6346709728241, 6, 8, 57, 3, 13, 230.8524260520935, 38.47540434201559, 5.2, 7.7071921825408936, 1.597100019454956
Language_54, SAT Failed
