Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, SAT Failed
Language_1, SAT Failed
Language_2, SAT Failed
Language_3, 27.237664699554443, 2, 4, 23, 3, 13, 24.638898849487305, 12.319449424743652, 4.0, 2.591376781463623, 1.4809677600860596
Language_4, SAT Failed
Language_5, SAT Failed
Language_6, 164.03058218955994, 3, 4, 35, 3, 14, 159.94500064849854, 53.315000216166176, 3.5, 4.068579912185669, 1.9002320766448975
Language_7, SAT Failed
Language_8, SAT Failed
Language_9, SAT Failed
Language_10, SAT Failed
Language_11, SAT Failed
Language_12, 133.52448272705078, 6, 6, 37, 5, 14, 126.56368231773376, 21.093947052955627, 4.0, 6.918210983276367, 1.410315990447998
Language_13, SAT Failed
Language_14, SAT Failed
Language_15, SAT Failed
Language_16, 130.5339252948761, 4, 6, 40, 4, 14, 125.53402304649353, 31.383505761623383, 5.0, 4.971374273300171, 1.6691579818725586
Language_17, SAT Failed
Language_18, SAT Failed
Language_19, 132.969486951828, 3, 5, 36, 3, 14, 128.95085620880127, 42.98361873626709, 4.5, 3.9998388290405273, 1.8073410987854004
Language_20, SAT Failed
Language_21, SAT Failed
Language_22, SAT Failed
Language_23, SAT Failed
Language_24, 66.45591497421265, 4, 4, 30, 4, 14, 61.78825807571411, 15.447064518928528, 3.3333333333333335, 4.6490397453308105, 1.3482649326324463
Language_25, SAT Failed
Language_26, 115.80770087242126, 4, 5, 41, 4, 14, 110.74847078323364, 27.68711769580841, 3.6666666666666665, 5.027353048324585, 1.7197990417480469
Language_27, SAT Failed
Language_28, 112.84396576881409, 3, 5, 33, 3, 14, 109.08718776702881, 36.362395922342934, 4.0, 3.7391529083251953, 1.5316338539123535
Language_29, 108.54990887641907, 2, 3, 25, 2, 14, 105.73166990280151, 52.86583495140076, 3.0, 2.8116018772125244, 1.712636947631836
Language_30, SAT Failed
Language_31, SAT Failed
Language_32, SAT Failed
Language_33, SAT Failed
Language_34, 84.14819884300232, 4, 5, 43, 3, 14, 79.05103182792664, 19.76275795698166, 4.333333333333333, 5.070826768875122, 1.7796909809112549
Language_35, SAT Failed
Language_36, SAT Failed
Language_37, 182.5998408794403, 2, 4, 31, 2, 14, 179.58672523498535, 89.79336261749268, 4.0, 3.004143714904785, 1.9196019172668457
Language_38, SAT Failed
Language_39, SAT Failed
Language_40, SAT Failed
Language_41, SAT Failed
Language_42, SAT Failed
Language_43, SAT Failed
Language_44, SAT Failed
Language_45, SAT Failed
Language_46, SAT Failed
Language_47, SAT Failed
Language_48, 162.75247073173523, 3, 7, 31, 3, 14, 158.91099953651428, 52.970333178838096, 5.5, 3.8261847496032715, 1.5376248359680176
Language_49, SAT Failed
Language_50, SAT Failed
Language_51, SAT Failed
Language_52, SAT Failed
Language_53, 102.66528487205505, 3, 4, 33, 3, 14, 98.78680372238159, 32.9289345741272, 3.5, 3.864208936691284, 1.6455998420715332
Language_54, 161.7699830532074, 3, 4, 34, 3, 14, 157.8310513496399, 52.61035044987997, 3.0, 3.920593738555908, 1.7147128582000732
Language_55, SAT Failed
Language_56, SAT Failed
Language_57, SAT Failed
Language_58, 260.1968357563019, 4, 4, 34, 5, 14, 255.16494607925415, 63.79123651981354, 3.3333333333333335, 4.999432563781738, 1.7066650390625
Language_59, SAT Failed
Language_60, SAT Failed
Language_61, SAT Failed
Language_62, SAT Failed
Language_63, SAT Failed
Language_64, SAT Failed
Language_65, 111.41740608215332, 4, 5, 39, 4, 14, 106.21091198921204, 26.55272799730301, 4.333333333333333, 5.1830363273620605, 1.892613172531128
Language_66, SAT Failed
Language_67, SAT Failed
Language_68, SAT Failed
Language_69, SAT Failed
Language_70, SAT Failed
Language_71, 293.990021944046, 2, 3, 25, 2, 14, 290.88779973983765, 145.44389986991882, 3.0, 3.0953948497772217, 1.9980838298797607
Language_72, 122.26563310623169, 4, 5, 37, 4, 14, 117.13118100166321, 29.282795250415802, 4.0, 5.106961727142334, 1.78694486618042
Language_73, SAT Failed
Language_74, SAT Failed
Language_75, SAT Failed
Language_76, SAT Failed
Language_77, SAT Failed
Language_78, SAT Failed
Language_79, 163.1016080379486, 5, 4, 36, 5, 14, 157.1760401725769, 31.43520803451538, 3.25, 5.885798931121826, 1.4822959899902344
Language_80, Time Out, 300.46131706237793
Language_81, SAT Failed
Language_82, 146.04062795639038, 4, 4, 41, 4, 14, 141.02050232887268, 35.25512558221817, 3.0, 4.9902379512786865, 1.6784319877624512
Language_83, SAT Failed
Language_84, SAT Failed
Language_85, SAT Failed
Language_86, SAT Failed
Language_87, SAT Failed
Language_88, 123.09922480583191, 3, 5, 33, 3, 14, 118.780601978302, 39.593533992767334, 4.5, 4.30267596244812, 2.1117002964019775
Language_89, SAT Failed
Language_90, 174.97883009910583, 5, 6, 45, 5, 14, 168.53237891197205, 33.706475782394406, 4.25, 6.390920639038086, 2.0031988620758057
Language_91, SAT Failed
Language_92, SAT Failed
Language_93, SAT Failed
Language_94, SAT Failed
Language_95, SAT Failed
Language_96, SAT Failed
Language_97, SAT Failed
Language_98, SAT Failed
Language_99, SAT Failed

Average, 140.04452720555392, 3.5, 4.636363636363637, 34.63636363636363, 3.5, 13.954545454545455, 135.54813733967868, 43.0265761857683, 3.8636363636363638, 4.47349750995636, 1.719887007366527, 6, 22
