Lang_name, Total_time, #Equiv. Queries, LongestCounterExampleLength, |P|, |S|, NoStates, Sat_Time, Time_perSAT, AvgCounter_Example_Length, Total_Equiv_Time, Last_Equiv_Time
Language_0, 8.849920988082886, 4, 5, 10, 1, 3, 4.435043096542358, 1.1087607741355896, 4.666666666666667, 4.411799907684326, 1.1051509380340576
Language_1, 4.418053150177002, 2, 5, 9, 1, 3, 2.2082679271698, 1.1041339635849, 5.0, 2.2080845832824707, 1.100315809249878
Language_2, 4.417524099349976, 2, 4, 9, 1, 3, 2.209724187850952, 1.104862093925476, 4.0, 2.2060508728027344, 1.1053760051727295
Language_3, 2.208124876022339, 1, 0, 4, 1, 3, 1.1006557941436768, 1.1006557941436768, 0, 1.1067531108856201, 1.1067531108856201
Language_4, 2.1958770751953125, 1, 0, 4, 1, 3, 1.101855993270874, 1.101855993270874, 0, 1.0933458805084229, 1.0933458805084229
Language_5, 4.41434907913208, 2, 4, 8, 1, 3, 2.2105581760406494, 1.1052790880203247, 4.0, 2.20235276222229, 1.1027698516845703
Language_6, 2.2111260890960693, 1, 0, 5, 1, 3, 1.0991261005401611, 1.0991261005401611, 0, 1.1112611293792725, 1.1112611293792725
Language_7, 2.2047951221466064, 1, 0, 5, 1, 3, 1.1112749576568604, 1.1112749576568604, 0, 1.0928049087524414, 1.0928049087524414
Language_8, 2.2116169929504395, 1, 0, 5, 1, 3, 1.1058452129364014, 1.1058452129364014, 0, 1.1050748825073242, 1.1050748825073242
Language_9, 4.412460088729858, 2, 3, 7, 3, 3, 2.2094528675079346, 1.1047264337539673, 3.0, 2.2010550498962402, 1.1021361351013184
Language_10, 2.202157974243164, 1, 0, 3, 1, 2, 1.0978460311889648, 1.0978460311889648, 0, 1.103667974472046, 1.103667974472046
Language_11, 2.2020559310913086, 1, 0, 5, 1, 3, 1.101943016052246, 1.101943016052246, 0, 1.0993738174438477, 1.0993738174438477
Language_12, 2.1969821453094482, 1, 0, 4, 1, 3, 1.0970659255981445, 1.0970659255981445, 0, 1.0992341041564941, 1.0992341041564941
Language_13, 2.1939468383789062, 1, 0, 4, 1, 3, 1.0950801372528076, 1.0950801372528076, 0, 1.0981659889221191, 1.0981659889221191
Language_14, 4.424583911895752, 2, 2, 8, 2, 3, 2.2183828353881836, 1.1091914176940918, 2.0, 2.204444169998169, 1.101499080657959
Language_15, 2.2181100845336914, 1, 0, 4, 1, 3, 1.1032319068908691, 1.1032319068908691, 0, 1.1141767501831055, 1.1141767501831055
Language_16, 4.408123016357422, 2, 4, 7, 1, 3, 2.209487199783325, 1.1047435998916626, 4.0, 2.197305202484131, 1.1044001579284668
Language_17, 2.2026329040527344, 1, 0, 5, 1, 3, 1.0988218784332275, 1.0988218784332275, 0, 1.1030769348144531, 1.1030769348144531
Language_18, 4.421431064605713, 2, 2, 3, 2, 3, 2.2151291370391846, 1.1075645685195923, 2.0, 2.20501708984375, 1.1018271446228027
Language_19, 2.1954190731048584, 1, 0, 5, 1, 3, 1.0954761505126953, 1.0954761505126953, 0, 1.0991880893707275, 1.0991880893707275
Language_20, 2.195564031600952, 1, 0, 4, 1, 3, 1.0944538116455078, 1.0944538116455078, 0, 1.1004319190979004, 1.1004319190979004
Language_21, 4.385266304016113, 2, 3, 5, 2, 3, 2.1933107376098633, 1.0966553688049316, 3.0, 2.190448045730591, 1.0901379585266113
Language_22, 4.402847051620483, 2, 2, 5, 2, 3, 2.198153257369995, 1.0990766286849976, 2.0, 2.2031166553497314, 1.101503849029541
Language_23, 2.198928117752075, 1, 0, 5, 1, 3, 1.0967330932617188, 1.0967330932617188, 0, 1.1014409065246582, 1.1014409065246582
Language_24, 4.402565240859985, 2, 4, 8, 1, 3, 2.2018208503723145, 1.1009104251861572, 4.0, 2.199347496032715, 1.1016807556152344
Language_25, 4.400997161865234, 2, 4, 8, 1, 3, 2.2110650539398193, 1.1055325269699097, 4.0, 2.188326120376587, 1.0927622318267822
Language_26, 4.387964248657227, 2, 2, 4, 2, 3, 2.2012722492218018, 1.1006361246109009, 2.0, 2.1852757930755615, 1.1005449295043945
Language_27, 2.221216917037964, 1, 0, 4, 1, 3, 1.105159044265747, 1.105159044265747, 0, 1.1153779029846191, 1.1153779029846191
Language_28, 2.2063350677490234, 1, 0, 3, 1, 2, 1.1071197986602783, 1.1071197986602783, 0, 1.0985841751098633, 1.0985841751098633
Language_29, 4.423326015472412, 2, 2, 4, 2, 3, 2.217616558074951, 1.1088082790374756, 2.0, 2.20434308052063, 1.1029648780822754
Language_30, 4.406445026397705, 2, 4, 9, 1, 3, 2.200679063796997, 1.1003395318984985, 4.0, 2.204209089279175, 1.1006639003753662
Language_31, 2.2071149349212646, 1, 0, 4, 1, 3, 1.1044280529022217, 1.1044280529022217, 0, 1.1020050048828125, 1.1020050048828125
Language_32, 4.426607131958008, 2, 2, 7, 2, 3, 2.233279228210449, 1.1166396141052246, 2.0, 2.191659927368164, 1.0914759635925293
Language_33, 4.421133041381836, 2, 4, 8, 1, 3, 2.209685802459717, 1.1048429012298584, 4.0, 2.2098429203033447, 1.1094169616699219
Language_34, 6.636228084564209, 3, 4, 11, 1, 3, 3.319329023361206, 1.1064430077870686, 3.5, 3.314378261566162, 1.1022019386291504
Language_35, 2.202855110168457, 1, 0, 5, 1, 3, 1.0990159511566162, 1.0990159511566162, 0, 1.1031110286712646, 1.1031110286712646
Language_36, 4.421766996383667, 2, 4, 8, 1, 3, 2.216874122619629, 1.1084370613098145, 4.0, 2.203315496444702, 1.1032493114471436
Language_37, 2.197744846343994, 1, 0, 5, 1, 3, 1.0996971130371094, 1.0996971130371094, 0, 1.0973341464996338, 1.0973341464996338
Language_38, 6.637449026107788, 3, 5, 10, 1, 3, 3.32867693901062, 1.1095589796702068, 3.5, 3.306469202041626, 1.1128950119018555
Language_39, 2.1944580078125, 1, 0, 4, 1, 3, 1.1052658557891846, 1.1052658557891846, 0, 1.088512897491455, 1.088512897491455
Language_40, 2.20750093460083, 1, 0, 4, 1, 3, 1.1053659915924072, 1.1053659915924072, 0, 1.1014537811279297, 1.1014537811279297
Language_41, 4.417168855667114, 2, 2, 5, 2, 3, 2.2143595218658447, 1.1071797609329224, 2.0, 2.2013487815856934, 1.1016099452972412
Language_42, 2.210232973098755, 1, 0, 4, 1, 3, 1.1072020530700684, 1.1072020530700684, 0, 1.1023268699645996, 1.1023268699645996
Language_43, 2.2018187046051025, 1, 0, 3, 1, 3, 1.102921962738037, 1.102921962738037, 0, 1.0982401371002197, 1.0982401371002197
Language_44, 2.2171361446380615, 1, 0, 5, 1, 3, 1.111971139907837, 1.111971139907837, 0, 1.1044352054595947, 1.1044352054595947
Language_45, 4.399762153625488, 2, 4, 8, 1, 3, 2.1992712020874023, 1.0996356010437012, 4.0, 2.1990182399749756, 1.0986571311950684
Language_46, 4.42157506942749, 2, 6, 9, 1, 3, 2.214050054550171, 1.1070250272750854, 6.0, 2.2057948112487793, 1.1028099060058594
Language_47, 2.20382022857666, 1, 0, 4, 1, 3, 1.1034760475158691, 1.1034760475158691, 0, 1.0996308326721191, 1.0996308326721191
Language_48, 4.404543876647949, 2, 3, 4, 2, 3, 2.2026658058166504, 1.1013329029083252, 3.0, 2.200403928756714, 1.099905014038086
Language_49, 2.2132480144500732, 1, 0, 5, 1, 3, 1.1074011325836182, 1.1074011325836182, 0, 1.1051239967346191, 1.1051239967346191
Language_50, 2.1985459327697754, 1, 0, 2, 1, 2, 1.0967121124267578, 1.0967121124267578, 0, 1.1012299060821533, 1.1012299060821533
